P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,2.753569109381626e-05,0.9999724391988943,2.5109990926928157e-08
1e-12,1.6050298867753554e-09,0.0011695086598275672,0.998817482606478,1.3007128466476033e-05
6.691585063833827e-10,4.444158934191478e-07,0.00757679618280882,0.9921268016186262,0.000295957113513077
1e-12,9.145435519997136e-10,0.0009697510531511133,0.9990207317805232,9.516251694168764e-06
1e-12,1e-12,1.7231572746911894e-05,0.9999827569310563,1.14961917166371e-08
1e-12,1e-12,5.691027649135094e-09,0.9999999943089543,1e-12
1e-12,1e-12,1.6832410513534235e-05,0.9999831565337023,1.1055779533013138e-08
1e-12,7.671259183439361e-10,0.0009146129194759212,0.9990767554401718,8.630873158170958e-06
3.9261038864424336e-10,3.0730727329508767e-07,0.0067055402284449395,0.9930530570084698,0.00024109506320156088
1e-12,1e-12,4.544222210345339e-05,0.9999544999062053,5.7871597291280487e-08
1e-12,1e-12,7.488277928668907e-05,0.999924984167476,1.330528173928353e-07
1.731059739995544e-12,7.197673124181847e-09,0.001927197008897763,0.9980428550290525,2.994076264549223e-05
1e-12,1e-12,2.430320717583534e-05,0.9999756764009471,2.039186269436089e-08
1e-12,1e-12,6.7586749530335055e-09,0.9999999932413008,1e-12
1e-12,1e-12,1.1270806510310649e-10,0.9999999998872919,1e-12
1e-12,1e-12,2.368835414157111e-06,0.9999976307436397,4.2094613501159116e-10
1e-12,4.050138002753556e-11,0.00034330257728543145,0.99965501324944,1.6841327723565778e-06
4.6922021823547766e-11,7.065222151769746e-08,0.004117862588767451,0.9957755528667793,0.00010651384530972727
1.0298497943317386e-08,2.943498472074424e-06,0.014142176763764502,0.9850083787694837,0.0008464906697818212
1e-12,1e-12,6.624599078375315e-05,0.9999336455378595,1.0847106590887663e-07
1e-12,1e-12,9.041276412680155e-05,0.9999094050771195,1.8215801459035336e-07
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
1e-12,1.6050298867753554e-09,0.0011695086598275672,0.998817482606478,1.3007128466476033e-05
1e-12,1e-12,1.892514823909064e-05,0.9999810614113442,1.3440409770490403e-08
1e-12,9.145435519997136e-10,0.0009697510531511133,0.9990207317805232,9.516251694168764e-06
4.45755654610025e-10,3.3552210443321684e-07,0.00690350210336188,0.9928430055566271,0.00025315637215092633
1e-12,1e-12,2.2959191444682503e-06,0.9999977036812827,3.9957285559631595e-10
1e-12,3.8645753264177074e-11,0.00033797938654345216,0.9996603797543172,1.6408204926803617e-06
1e-12,1e-12,2.5208268583654103e-08,0.9999999747915147,1e-12
