P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
1e-12,1e-12,5.829126546308405e-05,0.9999416210918644,8.764247451323235e-08
1.0060841049153169e-12,4.94344432055982e-09,0.001700717466984747,0.9982749773478216,2.43002407432796e-05
1e-12,1e-12,2.282799718078543e-05,0.9999771536319453,1.8370861928652623e-08
1e-12,1e-12,5.307507807716938e-05,0.9999468499571914,7.496458199894615e-08
1e-12,4.294991917674906e-09,0.0016229627656558776,0.9983545588486767,2.2474089854291754e-05
1e-12,1e-12,2.229919898844024e-05,0.9999776831339152,1.7667085272609827e-08
1e-12,1e-12,5.2456767127839754e-05,0.999947469718092,7.351463583715618e-08
1e-12,1e-12,8.045481467433557e-05,0.9999193952238344,1.499609702619919e-07
2.022382261657185e-12,8.015779040526638e-09,0.001997476423232558,0.9979707293200156,3.1786238950420896e-05
1e-12,1.2275380711912476e-10,0.0004967465056785469,0.9995001350815355,3.118290027347805e-06
1e-12,1.5189627333711542e-11,0.00024759542757091246,0.9997514278826432,9.766745960634456e-07
2.3107959989943083e-11,4.327312341789735e-08,0.003499094542655845,0.9964197466846197,8.111547649304424e-05
1e-12,2.852491576277316e-10,0.0006578555332020786,0.9993371626980014,4.981483530860998e-06
1.921565129237024e-10,1.874366543086481e-07,0.005692106609970438,0.9941245314076842,0.00018317435353454838
1e-12,5.937994540516911e-10,0.0008398329387933057,0.999152680287662,7.486179698095806e-06
1e-12,1e-12,1.6034797194142136e-05,0.9999839550063111,1.0196490553923436e-08
1e-12,1e-12,4.4482657923783364e-05,0.9999554614928181,5.5849170135487745e-08
1e-12,1e-12,7.408796677466079e-05,0.9999257813255608,1.3070725775789338e-07
1e-12,1e-12,4.760792423841309e-06,0.999995237860262,1.3473141025242072e-09
1e-12,1e-12,2.4238456538872022e-05,0.9999757412420555,2.0301391435760887e-08
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,2.753569109381626e-05,0.9999724391988943,2.5109990926928157e-08
1e-12,1e-12,1.4449800378457667e-07,0.9999998554980173,3.978962535821408e-12
1e-12,1e-12,5.211413522943076e-10,0.9999999994788583,1e-12
1e-12,1e-12,3.129696501957824e-11,0.999999999968703,1e-12
1e-12,1e-12,1.540489957818636e-10,0.999999999845951,1e-12
1e-12,1e-12,3.417728322574476e-10,0.999999999658227,1e-12
1e-12,1e-12,2.5345059384562774e-11,0.9999999999746549,1e-12
1e-12,1e-12,1.386291081928448e-10,0.9999999998613709,1e-12
1e-12,1e-12,3.2421665352444506e-10,0.9999999996757832,1e-12
1e-12,1e-12,4.958218280393112e-10,0.9999999995041778,1e-12
1e-12,1e-12,6.131555263522159e-10,0.999999999386844,1e-12
1e-12,1e-12,6.818570152944403e-10,0.9999999993181424,1e-12
1e-12,1e-12,3.579891938443325e-11,0.9999999999642011,1e-12
1e-12,1e-12,8.202771795140507e-12,0.9999999999917972,1e-12
1e-12,1e-12,7.88655807326677e-11,0.9999999999211344,1e-12
1e-12,1e-12,2.4454105407301086e-10,0.9999999997554588,1e-12
1e-12,1e-12,2.1438850694721623e-11,0.9999999999785611,1e-12
1e-12,1e-12,1.2749934441558253e-10,0.9999999998725007,1e-12
1e-12,1e-12,1.5480283721558408e-11,0.9999999999845197,1e-12
1e-12,1e-12,1.083420020364656e-10,0.999999999891658,1e-12
1e-12,1e-12,1.4269918580112062e-11,0.9999999999857301,1e-12
0.5,1e-12,1e-12,1e-12,0.5
0.0015011822567370103,0.009485760373856178,0.17143858117576316,0.7417162961724001,0.07585818002124355
1.317650433207973e-10,1.4436623874125587e-07,0.005219981195554557,0.9946214380873392,0.00015843621910252592
1e-12,5.211022724438408e-10,0.0008040854144878429,0.9991889518081206,6.9622562501383685e-06
1e-12,3.129629888576346e-11,0.0003150386627842616,0.9996835019296977,1.459376221076886e-06
1e-12,1e-12,9.818326982768966e-06,0.999990177171043,4.501973393078081e-09
1e-12,1e-12,3.480812191891669e-05,0.9999651547678784,3.711016049232958e-08
1e-12,1e-12,6.553815639187555e-05,0.999934355297176,1.0654615061575322e-07
1.2967404927621828e-12,5.893364685150004e-09,0.0018031605131345607,0.9981700406094787,2.6792982725292547e-05
1.7120971307349464e-09,8.511992479753872e-07,0.009393543191325238,0.9901808907983901,0.0004247130989395322
1e-12,1.265984650444807e-09,0.0010806592806952287,0.9989079388847109,1.1400568468679269e-05
5.637632582988772e-10,3.947236378865071e-07,0.007285149968860871,0.9924373721959431,0.00027708254779490194
3.5697206857143726e-08,6.948690996599893e-06,0.018749605707360617,0.9798787153035871,0.001364694600848908
1e-12,3.6225402677558804e-09,0.0015335426213839431,0.9984460083001941,2.0445455239488272e-05
1e-12,1e-12,2.167522784235487e-05,0.9999783079212978,1.6850849551293797e-08
1e-12,1e-12,5.171766533718092e-05,0.9999482105381923,7.17963322660018e-08
1e-12,1e-12,7.988602652631016e-05,0.9999199657749215,1.4819804219651875e-07
1.991518061572606e-12,7.930928913602031e-09,0.001990416730818234,0.9979779764819062,3.159885435506006e-05
1e-12,1.2210232824827472e-10,0.0004958665777431426,0.9995010242153625,3.1090847872148728e-06
1e-12,1e-12,1.2319021419626708e-05,0.999987674407511,6.571067544603577e-09
1e-12,4.803035746903106e-10,0.0007825440668239869,0.999210801512958,6.653939879706504e-06
2.799576126477632e-10,2.4319164348973743e-07,0.006205293658458344,0.9935827668328118,0.00021169603712882778
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
1e-12,1e-12,5.829126546308405e-05,0.9999416210918644,8.764247451323235e-08
1.0060841049153169e-12,4.94344432055982e-09,0.001700717466984747,0.9982749773478216,2.43002407432796e-05
