P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,2.753569109381626e-05,0.9999724391988943,2.5109990926928157e-08
1e-12,1e-12,2.9023119851867563e-06,0.9999970970974844,5.905303995456778e-10
1e-12,5.4926285741885295e-11,0.0003799844598241231,0.9996180207555265,1.994729721527057e-06
1e-12,1.0160317032159583e-11,0.0002165440397345897,0.9997826748017742,7.811483306372579e-07
1e-12,4.370059869529541e-12,0.00016346469808403707,0.9998360464672685,4.888302773361011e-07
1e-12,2.865929715767379e-12,0.00014202363736415258,0.9998575896631529,3.8669661702261996e-07
1e-12,2.3208102106764272e-12,0.0001323818632766871,0.9998672741992969,3.439351055812443e-07
1e-12,1e-12,1.5774931583223406e-08,0.9999999842249692,1e-12
1e-12,1e-12,3.4585310171308947e-09,0.9999999965414611,1e-12
1e-12,1e-12,6.533116316820298e-07,0.9999993466391793,4.918897698516021e-11
1e-12,1e-12,4.470452952265447e-07,0.9999995529285679,2.613682748810201e-11
1e-12,1e-12,3.698001529439665e-07,0.9999996301807949,1.905221228515642e-11
1e-12,1e-12,6.755469244557055e-06,0.9999932421166061,2.4141491090431633e-09
1e-12,1.9504819981364108e-10,0.0005796095922074862,0.9994163570653816,4.033147353433704e-06
1.4602430375987296e-10,1.550054907761833e-07,0.005344560730455639,0.994490462137419,0.0001648219806102727
1.816764305662133e-08,4.357566979806826e-06,0.016088672791255698,0.9828541422458594,0.001052809228261959
1e-12,1e-12,3.5216691792738786e-06,0.999996477515647,8.151736687501931e-10
1e-12,1e-12,5.167529448790731e-08,0.9999999483239886,1e-12
1e-12,1e-12,5.071982420667975e-05,0.9999492106732976,6.950236521926443e-08
1e-12,4.012304932743405e-09,0.0015866000454670681,0.998391756093566,2.163984791772357e-05
1e-12,1e-12,1.0977072789630782e-06,0.9999989021759115,1.168095545767529e-10
0.5,1e-12,1e-12,1e-12,0.5
0.0015011822567370103,0.009485760373856178,0.17143858117576316,0.7417162961724001,0.07585818002124355
1e-12,1e-12,1.3007128464304074e-05,0.9999869856774005,7.194132978569834e-09
1e-12,1e-12,1.994729721510602e-06,0.9999980049541903,3.1608814533145753e-10
1e-12,1e-12,1.9362746961348876e-09,0.9999999980637223,1e-12
1e-12,1e-12,6.032641053366206e-11,0.9999999999396736,1e-12
1e-12,1e-12,1.0648149029179876e-11,0.9999999999893519,1e-12
1e-12,1e-12,4.473754700029531e-12,0.9999999999955262,1e-12
1e-12,1e-12,4.71943424562582e-07,0.9999995280279677,2.860774158249516e-11
1e-12,3.601785536488933e-12,0.00015326280611915877,0.9998462981489629,4.3904131615939207e-07
