P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,1.3709572069808829e-06,0.9999986288736032,1.6918979223288784e-10
1e-12,1e-12,1.6052279505629485e-09,0.9999999983947698,1e-12
1e-12,1e-12,5.492784005411977e-11,0.9999999999450722,1e-12
1e-12,1e-12,1.0160539076764508e-11,0.9999999999898395,1e-12
1e-12,1e-12,4.370059869529541e-12,0.9999999999956299,1e-12
1e-12,1e-12,2.865929715767379e-12,0.9999999999971341,1e-12
1e-12,1e-12,3.777388030146156e-07,0.9999996222414582,1.9738748166469445e-11
1e-12,2.5790480862042386e-12,0.00013711804013882833,0.9998625172676305,3.6468965158084053e-07
1e-12,1e-12,1.605467692122886e-08,0.9999999839452209,1e-12
1e-12,1e-12,1.7371015736955542e-10,0.9999999998262898,1e-12
1e-12,1e-12,1.8069101770379348e-11,0.9999999999819309,1e-12
1e-12,1e-12,5.827560656257447e-12,0.9999999999941724,1e-12
1e-12,1e-12,3.3095748364075916e-12,0.9999999999966904,1e-12
1e-12,1e-12,2.4940050025179517e-12,0.999999999997506,1e-12
1e-12,1e-12,2.1651569426239803e-12,0.9999999999978348,1e-12
1e-12,1e-12,2.0172752357439094e-12,0.9999999999979827,1e-12
1e-12,1e-12,1.9471091405875995e-12,0.9999999999980529,1e-12
1e-12,1e-12,1.9131363160340698e-12,0.9999999999980869,1e-12
1e-12,1e-12,1.8962609260597674e-12,0.9999999999981037,1e-12
1e-12,1e-12,1.887823231072616e-12,0.9999999999981122,1e-12
1e-12,1e-12,1.8836043835790406e-12,0.9999999999981164,1e-12
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,1.3709572069808829e-06,0.9999986288736032,1.6918979223288784e-10
1e-12,1e-12,1.6052279505629485e-09,0.9999999983947698,1e-12
1e-12,1e-12,5.492784005411977e-11,0.9999999999450722,1e-12
1e-12,1e-12,1.0160539076764508e-11,0.9999999999898395,1e-12
1e-12,1e-12,4.370059869529541e-12,0.9999999999956299,1e-12
1e-12,1e-12,4.6644511964011315e-07,0.9999995335268259,2.80544177721416e-11
1e-12,1e-12,9.363212427615508e-10,0.9999999990636779,1e-12
1e-12,1e-12,4.1950443119276315e-11,0.9999999999580496,1e-12
1e-12,1e-12,8.879563750952002e-12,0.9999999999911204,1e-12
1e-12,1e-12,4.085176641410726e-12,0.9999999999959148,1e-12
1e-12,1e-12,2.7708946248594657e-12,0.9999999999972291,1e-12
1e-12,1e-12,2.2821744494194718e-12,0.9999999999977178,1e-12
1e-12,1e-12,2.071010030135767e-12,0.999999999997929,1e-12
1e-12,1e-12,1.9730883593638282e-12,0.9999999999980269,1e-12
1e-12,1e-12,1.9257928585147965e-12,0.9999999999980742,1e-12
1e-12,1e-12,1.9024781749976682e-12,0.9999999999980975,1e-12
1e-12,1e-12,1.8909318555415666e-12,0.9999999999981091,1e-12
1e-12,1e-12,1.885158695813516e-12,0.9999999999981148,1e-12
1e-12,1e-12,1.8822721159494904e-12,0.9999999999981177,1e-12
1e-12,1e-12,3.061342410681789e-07,0.9999996938518534,1.3905504019469501e-11
1e-12,1.8816059821347153e-12,0.0001234413542962054,0.9998762525482624,3.0609555978663945e-07
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,1.3709572069808829e-06,0.9999986288736032,1.6918979223288784e-10
1e-12,1e-12,1.6052279505629485e-09,0.9999999983947698,1e-12
1e-12,1e-12,5.492784005411977e-11,0.9999999999450722,1e-12
1e-12,1e-12,1.0160539076764508e-11,0.9999999999898395,1e-12
1e-12,1e-12,4.370059869529541e-12,0.9999999999956299,1e-12
1e-12,1e-12,4.6644511964011315e-07,0.9999995335268259,2.80544177721416e-11
1e-12,1e-12,9.363212427615508e-10,0.9999999990636779,1e-12
1e-12,1e-12,6.8275949435259164e-06,0.9999931699477959,2.457260433565974e-09
1e-12,1e-12,3.5822826927045526e-09,0.9999999964177089,1e-12
1e-12,1e-12,8.205480739320592e-11,0.9999999999179452,1e-12
1e-12,1e-12,1.2418732708852076e-11,0.9999999999875813,1e-12
1e-12,1e-12,4.831246513958831e-12,0.9999999999951688,1e-12
1e-12,1e-12,3.0133673334376e-12,0.9999999999969866,1e-12
1e-12,1e-12,2.3798740755864856e-12,0.9999999999976201,1e-12
1e-12,1e-12,2.1149748619109232e-12,0.999999999997885,1e-12
1e-12,1e-12,1.993738507621856e-12,0.9999999999980063,1e-12
1e-12,1e-12,1.935784865736423e-12,0.9999999999980642,1e-12
1e-12,1e-12,1.907363156306019e-12,0.9999999999980926,1e-12
1e-12,1e-12,1.893374346195742e-12,0.9999999999981066,1e-12
1e-12,1e-12,1.886490963443066e-12,0.9999999999981135,1e-12
1e-12,1e-12,1.8829382497642655e-12,0.9999999999981171,1e-12
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,1.3709572069808829e-06,0.9999986288736032,1.6918979223288784e-10
1e-12,1e-12,1.6052279505629485e-09,0.9999999983947698,1e-12
1e-12,1e-12,5.492784005411977e-11,0.9999999999450722,1e-12
1e-12,1e-12,1.0160539076764508e-11,0.9999999999898395,1e-12
1e-12,1e-12,4.370059869529541e-12,0.9999999999956299,1e-12
1e-12,1e-12,2.865929715767379e-12,0.9999999999971341,1e-12
1e-12,1e-12,2.3208102106764272e-12,0.9999999999976792,1e-12
1e-12,1e-12,2.0885515539248445e-12,0.9999999999979114,1e-12
1e-12,1e-12,1.9813040097460544e-12,0.9999999999980187,1e-12
1e-12,1e-12,1.929789661403447e-12,0.9999999999980702,1e-12
1e-12,1e-12,1.9044765764419935e-12,0.9999999999980955,1e-12
1e-12,1e-12,1.8920420785661918e-12,0.999999999998108,1e-12
1e-12,1e-12,1.885824829628291e-12,0.9999999999981142,1e-12
1e-12,1e-12,1.8827162051593405e-12,0.9999999999981173,1e-12
1e-12,1e-12,1.8811618929248652e-12,0.9999999999981188,1e-12
1e-12,1e-12,1.880273714505165e-12,0.9999999999981197,1e-12
1e-12,1e-12,1.879829625295315e-12,0.9999999999981202,1e-12
1e-12,1e-12,1.879829625295315e-12,0.9999999999981202,1e-12
1e-12,1e-12,1.87960758069039e-12,0.9999999999981204,1e-12
1e-12,1e-12,1.87960758069039e-12,0.9999999999981204,1e-12
1e-12,1e-12,1.87960758069039e-12,0.9999999999981204,1e-12
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,1.3709572069808829e-06,0.9999986288736032,1.6918979223288784e-10
1e-12,1e-12,1.6052279505629485e-09,0.9999999983947698,1e-12
1e-12,1e-12,5.492784005411977e-11,0.9999999999450722,1e-12
1e-12,1e-12,1.0160539076764508e-11,0.9999999999898395,1e-12
1e-12,1e-12,4.370059869529541e-12,0.9999999999956299,1e-12
1e-12,1e-12,4.6644511964011315e-07,0.9999995335268259,2.80544177721416e-11
1e-12,1e-12,9.363212427615508e-10,0.9999999990636779,1e-12
1e-12,1e-12,4.1950443119276315e-11,0.9999999999580496,1e-12
1e-12,1e-12,8.879563750952002e-12,0.9999999999911204,1e-12
1e-12,1e-12,4.085176641410726e-12,0.9999999999959148,1e-12
1e-12,1e-12,2.7708946248594657e-12,0.9999999999972291,1e-12
1e-12,1e-12,2.2821744494194718e-12,0.9999999999977178,1e-12
1e-12,1e-12,2.071010030135767e-12,0.999999999997929,1e-12
1e-12,1e-12,1.9730883593638282e-12,0.9999999999980269,1e-12
1e-12,1e-12,1.9257928585147965e-12,0.9999999999980742,1e-12
1e-12,1e-12,1.9024781749976682e-12,0.9999999999980975,1e-12
1e-12,1e-12,1.8909318555415666e-12,0.9999999999981091,1e-12
1e-12,1e-12,1.885158695813516e-12,0.9999999999981148,1e-12
1e-12,1e-12,1.8822721159494904e-12,0.9999999999981177,1e-12
1e-12,1e-12,3.061342410681789e-07,0.9999996938518534,1.3905504019469501e-11
1e-12,1e-12,7.585434502743738e-10,0.9999999992414559,1e-12
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1e-12,1.3709572069808829e-06,0.9999986288736032,1.6918979223288784e-10
1e-12,1e-12,1.6052279505629485e-09,0.9999999983947698,1e-12
1e-12,1e-12,5.492784005411977e-11,0.9999999999450722,1e-12
1e-12,1e-12,1.0160539076764508e-11,0.9999999999898395,1e-12
1e-12,1e-12,4.370059869529541e-12,0.9999999999956299,1e-12
1e-12,1e-12,2.865929715767379e-12,0.9999999999971341,1e-12
1e-12,1e-12,2.3208102106764272e-12,0.9999999999976792,1e-12
1e-12,1e-12,2.0885515539248445e-12,0.9999999999979114,1e-12
1e-12,1e-12,1.9813040097460544e-12,0.9999999999980187,1e-12
1e-12,1e-12,1.929789661403447e-12,0.9999999999980702,1e-12
1e-12,1e-12,1.9044765764419935e-12,0.9999999999980955,1e-12
1e-12,1e-12,1.8920420785661918e-12,0.999999999998108,1e-12
1e-12,1e-12,1.885824829628291e-12,0.9999999999981142,1e-12
1e-12,1e-12,1.8827162051593405e-12,0.9999999999981173,1e-12
1e-12,1e-12,1.8811618929248652e-12,0.9999999999981188,1e-12
1e-12,1e-12,1.880273714505165e-12,0.9999999999981197,1e-12
1e-12,1e-12,1.879829625295315e-12,0.9999999999981202,1e-12
1e-12,1e-12,1.879829625295315e-12,0.9999999999981202,1e-12
1e-12,1e-12,1.87960758069039e-12,0.9999999999981204,1e-12
1e-12,1e-12,1.87960758069039e-12,0.9999999999981204,1e-12
1e-12,1e-12,1.87960758069039e-12,0.9999999999981204,1e-12
