P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1.6918200174131925e-10,0.0005527784677338277,0.9994434947237922,3.726639284186561e-06
1e-12,1.783218017692434e-11,0.0002611903012632588,0.9997377419780343,1.067702870044147e-06
1e-12,1e-12,8.939696304222089e-06,0.9999910564529532,3.850741907939403e-09
1e-12,1e-12,3.321419491120192e-05,0.9999667514837641,3.43212879853116e-08
1e-12,1e-12,3.187565216555832e-06,0.9999968117443835,6.903999830637495e-10
1e-12,1e-12,1.983336705246863e-05,0.9999801521003918,1.4532547983785554e-08
1e-12,1e-12,1.226338656179493e-07,0.9999998773631074,3.027035070679901e-12
1e-12,1e-12,1.9368524495355643e-07,0.9999998063082712,6.4837715211489355e-12
1e-12,1e-12,1.2118705927655071e-08,0.9999999878812301,1e-12
1e-12,1e-12,2.4562679116435504e-05,0.9999754165648528,2.075601592369593e-08
1e-12,1e-12,5.505466454736041e-05,0.9999448656527119,7.968257372448905e-08
1e-12,1e-12,4.10391748195682e-06,0.9999958950305545,1.0519634959218888e-09
1e-12,1e-12,5.578380268822514e-08,0.9999999442153829,1e-12
1e-12,1e-12,3.2380120806863033e-10,0.9999999996761987,1e-12
1e-12,1e-12,1.9990056743246498e-07,0.9999998000925984,6.834239429927757e-12
1e-12,1e-12,4.9668349821896385e-06,0.9999950317191235,1.4458940813381398e-09
1e-12,1e-12,3.0553815033584897e-09,0.9999999969446121,1e-12
1e-12,1e-12,6.140550170563586e-07,0.9999993859006208,4.436214984571945e-11
1e-12,1e-12,8.705121280705441e-06,0.9999912911949048,3.6838138499217122e-09
1e-12,1e-12,4.044955925763816e-09,0.9999999959550339,1e-12
1e-12,1e-12,1.7513173133920645e-09,0.9999999982486801,1e-12
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
1e-12,1e-12,5.829126546308405e-05,0.9999416210918644,8.764247451323235e-08
1e-12,1e-12,4.2228334447003135e-06,0.9999957760632993,1.10325603112638e-09
1e-12,1e-12,5.658623625226511e-08,0.9999999434129297,1e-12
1e-12,1e-12,1.315669313495249e-07,0.9999998684296653,3.403387012548093e-12
1e-12,1e-12,2.0061559935502515e-07,0.9999997993775256,6.875030747605894e-12
1e-12,1e-12,1.2333613352843997e-08,0.9999999876663208,1e-12
1e-12,1e-12,6.142377806384047e-08,0.9999999385752657,1e-12
1e-12,1e-12,6.8245844531134026e-09,0.999999993175391,1e-12
1e-12,1e-12,1.8432675596313786e-05,0.9999815544618408,1.2862556729199765e-08
1e-12,1e-12,4.769274395866052e-05,0.9999522445288612,6.272707157229691e-08
1e-12,1e-12,3.819673475624619e-06,0.9999961793931702,9.333542209837333e-10
1e-12,1e-12,5.381729506481747e-08,0.9999999461819378,1e-12
1e-12,1e-12,3.1804270328450457e-10,0.9999999996819572,1e-12
1e-12,1e-12,9.86356940568811e-09,0.9999999901363852,1e-12
1e-12,1e-12,5.4929850112905854e-08,0.9999999450693562,1e-12
1e-12,1e-12,2.603621923502608e-06,0.9999973958853207,4.927558066736609e-10
1e-12,1e-12,2.21214713214124e-09,0.9999999977878491,1e-12
1e-12,1e-12,6.448086509180939e-11,0.9999999999355191,1e-12
1e-12,1e-12,8.920527672096057e-08,0.9999999107929424,1.7809469064431247e-12
1e-12,1e-12,1.6519108503310065e-07,0.9999998348039417,4.973297765362685e-12
0.5,1e-12,1e-12,1e-12,0.5
0.0015011822567370103,0.009485760373856178,0.17143858117576316,0.7417162961724001,0.07585818002124355
1.317650433207973e-10,1.4436623874125587e-07,0.005219981195554557,0.9946214380873392,0.00015843621910252592
1e-12,1e-12,4.006369216469352e-05,0.9999598893961329,4.691163801764229e-08
1e-12,1e-12,1.7429785792444363e-07,0.9999998256967034,5.4385969604618635e-12
1e-12,1e-12,5.723617135799941e-10,0.9999999994276378,1e-12
1e-12,1e-12,5.338155705025827e-06,0.999994660213788,1.6305067161552946e-09
1e-12,1e-12,6.362161508732811e-08,0.999999936377371,1.0139297431432127e-12
1e-12,1e-12,6.945608532760161e-09,0.9999999930543662,1e-12
1e-12,1e-12,4.609422477042102e-08,0.9999999539051827,1e-12
1e-12,1e-12,5.911956257875772e-09,0.9999999940880244,1e-12
1e-12,1e-12,4.252623853062687e-08,0.9999999574732433,1e-12
1e-12,1e-12,1.1405644506634616e-07,0.9999998859408725,2.682459255892442e-12
1e-12,1e-12,4.6300363543139156e-10,0.9999999995369961,1e-12
1e-12,1e-12,5.925160362352244e-10,0.9999999994074835,1e-12
1e-12,1e-12,6.702827182181181e-10,0.9999999993297167,1e-12
1e-12,1e-12,5.776766023202207e-06,0.9999942213741227,1.8598538153723585e-09
1e-12,1e-12,2.6699730557133705e-05,0.9999732764170953,2.3852328436316868e-08
1e-12,1e-12,1.4228762013068774e-07,0.9999998577085019,3.8780371243501315e-12
1e-12,1e-12,4.190410798465827e-06,0.9999958085000272,1.0891742527031003e-09
1e-12,1e-12,2.2740193990178348e-05,0.999977241552754,1.8253244082418526e-08
1e-12,1e-12,5.297291164640949e-05,0.9999469523639852,7.472421956060953e-08
0.5,1e-12,1e-12,1e-12,0.5
0.0015011822567370103,0.009485760373856178,0.17143858117576316,0.7417162961724001,0.07585818002124355
1.317650433207973e-10,1.4436623874125587e-07,0.005219981195554557,0.9946214380873392,0.00015843621910252592
1e-12,1e-12,4.006369216469352e-05,0.9999598893961329,4.691163801764229e-08
1e-12,1e-12,1.7429785792444363e-07,0.9999998256967034,5.4385969604618635e-12
1e-12,1e-12,5.723617135799941e-10,0.9999999994276378,1e-12
1e-12,1e-12,5.338155705025827e-06,0.999994660213788,1.6305067161552946e-09
1e-12,1e-12,1.2778727485063257e-06,0.999998721976771,1.5048051626545644e-10
1e-12,1.6047163597932013e-11,0.00025216964182450674,0.9997468234023577,1.0069397703998503e-06
1e-12,5.492051258215724e-12,0.00017640032499388614,0.9998230446693513,5.550001627258351e-07
1e-12,3.212763388660278e-12,0.00014753625269270376,0.9998520517055138,4.120385806862684e-07
1e-12,2.4573676427053215e-12,0.00013492661968594888,0.9998647183517726,3.550260841199077e-07
1e-12,1e-12,6.424905145907545e-06,0.999993572874362,2.2204918498937543e-09
1e-12,1e-12,1.4019274267029758e-06,0.9999985978969655,1.7560770547324922e-10
1e-12,1e-12,1.623257972482861e-09,0.9999999983767398,1e-12
1e-12,1e-12,4.4757767869718634e-07,0.9999995523961326,2.618872506807044e-11
1e-12,1e-12,7.432003587992675e-06,0.9999925651660067,2.8304048693017496e-09
1e-12,1e-12,3.737481657495323e-09,0.9999999962625093,1e-12
1e-12,1e-12,3.3812781907727185e-08,0.9999999661868645,1e-12
1e-12,1e-12,1.0170254027830339e-07,0.9999998982952438,2.215914881472236e-12
1e-12,1e-12,4.3721026798948515e-10,0.9999999995627895,1e-12
1e-12,1e-12,1.1564759039295325e-08,0.9999999884351818,1e-12
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
1e-12,1.6050298867753554e-09,0.0011695086598275672,0.998817482606478,1.3007128466476033e-05
1e-12,5.4926285741885295e-11,0.0003799844598241231,0.9996180207555265,1.994729721527057e-06
1e-12,1.0160317032159583e-11,0.0002165440397345897,0.9997826748017742,7.811483306372579e-07
1e-12,4.370059869529541e-12,0.00016346469808403707,0.9998360464672685,4.888302773361011e-07
9.39714972503225e-12,2.3213548083766966e-08,0.002844886442034178,0.9970977027398062,5.7387595214376774e-05
4.608734727185038e-09,1.6882969033904516e-06,0.011776149782881551,0.9876006942953419,0.0006214630161383599
1e-12,1e-12,6.0376890590130294e-05,0.9999395301779843,9.293120553722181e-08
1e-12,1e-12,2.1397169680525963e-07,0.9999997860206485,7.654685859111022e-12
1e-12,1.099564883588755e-12,0.00010320284305398442,0.9998965700504873,2.271053592211563e-07
1e-12,1.4375167722846527e-12,0.00011284804983269225,0.9998868883732462,2.6357548357039416e-07
1e-12,1e-12,5.87571025878475e-06,0.9999941223764918,1.9132491920352093e-09
1e-12,1e-12,6.674817143448308e-08,0.9999999332507302,1.0983287108189609e-12
1e-12,1e-12,3.54196449947608e-10,0.9999999996458033,1e-12
1e-12,1e-12,4.1993159451969575e-06,0.99999579959102,1.0930347200580632e-09
1e-12,1e-12,1.1333944479607894e-06,0.9999988664823449,1.232071623221424e-10
1e-12,1e-12,1.1826615613164115e-05,0.9999881672452196,6.139165773838467e-09
1e-12,1e-12,4.714735268862569e-09,0.9999999952852515,1e-12
