P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1.6918200174131925e-10,0.0005527784677338277,0.9994434947237922,3.726639284186561e-06
1e-12,1.783218017692434e-11,0.0002611903012632588,0.9997377419780343,1.067702870044147e-06
1e-12,1e-12,8.939696304222089e-06,0.9999910564529532,3.850741907939403e-09
1e-12,1e-12,1.6536895859342593e-06,0.999998346079159,2.312550272688699e-10
1e-12,1e-12,1.7629981918787507e-09,0.9999999982369993,1e-12
1e-12,1e-12,9.368717267865811e-06,0.9999906271190865,4.163644751127875e-09
1e-12,3.1854807680531394e-10,0.0006825015896961828,0.9993122014776685,5.2966140681446665e-06
2.0810708711849202e-10,1.9807025020135427e-07,0.005797202976076776,0.9940137204418814,0.00018887830368456845
2.168848434180859e-08,4.924952396456739e-06,0.016748339790590427,0.9821197596849314,0.001126953883597403
2.214116032739355e-07,2.448560838086422e-05,0.028276736655688195,0.9689489789245788,0.0027495773997489328
7.074337855517143e-07,5.450875147272605e-05,0.036627879174239375,0.9590252299612795,0.004291674679222893
2.858158154595003e-12,1.0184690091286086e-08,0.0021631205809395926,0.99780055950782,3.63097236921226e-05
1e-12,1.3836976009429236e-10,0.0005169657316261844,0.9994797013296727,3.3328003256023254e-06
1.1395662191659994e-10,1.3056463421534659e-07,0.005048844128866303,0.9948011933602782,0.00014983183226463772
1e-12,1e-12,3.939807696706765e-05,0.9999605563031548,4.561981708633692e-08
1e-12,1e-12,8.605390067195628e-09,0.9999999913945739,1e-12
1e-12,1e-12,1.0305276882949244e-06,0.999998969367172,1.051397292055511e-10
1e-12,1e-12,1.3917285102138521e-09,0.9999999986082697,1e-12
1e-12,1e-12,2.0633297959093966e-08,0.9999999793665468,1e-12
1e-12,1e-12,3.955416882917007e-09,0.9999999960445732,1e-12
1e-12,1e-12,8.622258462764876e-11,0.9999999999137774,1e-12
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1.6918200174131925e-10,0.0005527784677338277,0.9994434947237922,3.726639284186561e-06
1e-12,1e-12,1.3007128464304074e-05,0.9999869856774005,7.194132978569834e-09
1e-12,1e-12,4.006369216469352e-05,0.9999598893961329,4.691163801764229e-08
1e-12,2.816816335737826e-09,0.001410355679355213,0.9985718629515187,1.7778551863194697e-05
1e-12,1e-12,2.078517042625183e-05,0.9999791991161339,1.5713430951040203e-08
1e-12,1e-12,5.064471640203738e-05,0.9999492859525629,6.933090508556216e-08
1e-12,1e-12,7.905303809974118e-05,0.9999208013300908,1.4563131545560454e-07
1.9468870959826745e-12,7.807210544719112e-09,0.0019800321505079044,0.9979886360119377,3.1324028396991125e-05
1e-12,1.2114620417946753e-10,0.000494569405508738,0.9995023349388457,3.0955344947349784e-06
1.0352474433261705e-10,1.2217158784633142e-07,0.004938765170639625,0.9949167117625312,0.00014440079171661806
1.5297055400154136e-08,3.869266278933026e-06,0.01547266102764,0.9835379655078544,0.000985488901171172
1e-12,2.701648682545965e-09,0.0013908922636723942,0.9985917340745878,1.7370959670819965e-05
9.746903284479913e-10,5.764864992041652e-07,0.00825801679211946,0.9913994019576765,0.00034200378901454317
1e-12,1.0416978390992426e-09,0.0010127171994498418,0.9989770517341114,1.0230024634688341e-05
4.897013905491576e-10,3.580751257725723e-07,0.0070538477000030575,0.9926833172816488,0.00026247645352099245
3.32699015004323e-08,6.618785587164666e-06,0.018453176479100053,0.9802118942393225,0.0013282772260887904
2.742278218947902e-07,2.8376902780902213e-05,0.02966256803512357,0.9673240950908987,0.002984685743374983
1e-12,1e-12,9.674051618335788e-05,0.9999030555828861,2.0390002481987614e-07
3.015365734881925e-12,1.0568821706691267e-08,0.0021899251479984283,0.9977729999307255,3.7064349438944045e-05
1e-12,1.4095524747403942e-10,0.0005201642422542063,0.9994764683605727,3.3672562118093552e-06
1.1549072809202698e-10,1.3177838698030797e-07,0.005064367134942294,0.9947848967320617,0.000150604239118322
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
8.764247449999374e-08,1.2919485992024526e-05,0.02296436278155911,0.9750958954266469,0.0019267346633274757
1e-12,1e-12,8.481104111335291e-05,0.9999150252205902,1.63737686249047e-07
2.2670754162845697e-12,8.675513751832398e-09,0.002050734862136583,0.9979160422651346,3.321419494792514e-05
2.2637343111142627e-09,1.0325894059803886e-06,0.010012535770032915,0.9895135749423065,0.0004728544345203107
7.15317041155572e-08,1.1229276629332041e-05,0.0219369529065343,0.9762695499627658,0.0017821963223663923
1e-12,4.6078258986170795e-09,0.001661386064600423,0.9983152399917701,2.336933489472016e-05
1e-12,9.306777570827762e-11,0.00045297571920688284,0.9995443504520191,2.673735702990348e-06
8.557399233666274e-11,1.070867029495659e-07,0.004727443043519242,0.9951382458258544,0.0001342039583494018
1e-12,1e-12,1.8978164201266523e-06,0.99999810189267,2.9090981444400986e-10
1e-12,2.9043434324194095e-11,0.0003072927203300324,0.999691307204404,1.4000462218272067e-06
1e-12,1e-12,4.827815057728557e-07,0.9999995171887832,2.971105393041591e-11
1e-12,1e-12,9.525766841989025e-10,0.9999999990474224,1e-12
1e-12,1e-12,4.231304195911889e-11,0.999999999957687,1e-12
1e-12,1e-12,8.917977467604032e-12,0.999999999991082,1e-12
1e-12,1e-12,4.094058425607727e-12,0.9999999999959059,1e-12
1e-12,1e-12,2.774003249328416e-12,0.999999999997226,1e-12
1e-12,1e-12,9.211758023042194e-10,0.9999999990788233,1e-12
1e-12,1e-12,3.371676668972867e-07,0.9999996628159997,1.6333406792026698e-11
1e-12,1e-12,1.5989355839352015e-08,0.9999999840105427,1e-12
1e-12,1e-12,1.7335644031390984e-10,0.9999999998266436,1e-12
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1.6918200174131925e-10,0.0005527784677338277,0.9994434947237922,3.726639284186561e-06
1e-12,1e-12,3.2241866398941e-08,0.999999967757807,1e-12
1e-12,1e-12,9.931193323264864e-08,0.999999900685937,2.129785170951249e-12
1e-12,1e-12,4.3204129163143534e-10,0.9999999995679585,1e-12
1e-12,1e-12,5.723617135799941e-10,0.9999999994276378,1e-12
1e-12,1e-12,3.279887472729115e-11,0.9999999999672011,1e-12
1e-12,1e-12,1.2778727485063257e-06,0.999998721976771,1.5048051626545644e-10
1e-12,1e-12,6.252233598624812e-07,0.9999993747309252,4.571504088140873e-11
1e-12,1e-12,1.0840324193850392e-09,0.9999999989159665,1e-12
1e-12,1e-12,4.513833751218499e-11,0.9999999999548617,1e-12
1e-12,1e-12,1.499099399726589e-06,0.9999985007042408,1.9635944779567977e-10
1e-12,2.038968993645085e-11,0.0002731210379329774,0.9997257286997421,1.150241934812571e-06
2.858335790278943e-11,5.013465165237818e-08,0.003674434495839929,0.9962374874266818,8.80279142432133e-05
8.037890686374283e-09,2.4800546541969837e-06,0.013366867375916969,0.9858610556936236,0.0007695888379146015
1.3478974780767317e-07,1.7387910292043784e-05,0.025298759233877588,0.9724108609163934,0.0022728571496891847
5.519682380050739e-07,4.594867434259964e-05,0.03466578123048225,0.9613851920758548,0.003902526051082338
1.1169726681359293e-06,7.463283026842848e-05,0.0405193309549996,0.9542932807517975,0.005111638490266341
3.5915714846623814e-12,1.1928915299996845e-08,0.0022799063409242315,0.9976804386766557,3.96430499131961e-05
2.849216418354672e-09,1.2106518243459874e-06,0.010552511604399073,0.9889297020993582,0.0005165727952020205
1e-12,1e-12,5.7118048065407656e-05,0.9999427972296104,8.472213785972395e-08
1e-12,1e-12,8.39532376427643e-05,0.9999158857751433,1.60986621867781e-07
0.5,1e-12,1e-12,1e-12,0.5
1e-12,1.6918200174131925e-10,0.0005527784677338277,0.9994434947237922,3.726639284186561e-06
1e-12,1e-12,1.3007128464304074e-05,0.9999869856774005,7.194132978569834e-09
1e-12,1e-12,1.994729721510602e-06,0.9999980049541903,3.1608814533145753e-10
1e-12,1e-12,1.568954972397396e-05,0.9999843006170583,9.833213883008256e-09
1e-12,1e-12,4.4001184493991374e-05,0.9999559439701599,5.4845260911330566e-08
1e-12,1e-12,3.6688633093806544e-06,0.9999963302639433,8.727473547604233e-10
1e-12,1e-12,2.6259778795889588e-09,0.9999999973740171,1e-12
1e-12,1e-12,5.692723791250742e-07,0.9999994306885187,3.910214660583934e-11
1e-12,1e-12,1.0343907952403697e-09,0.9999999989656081,1e-12
1e-12,1e-12,1.7788270079144297e-08,0.9999999822116087,1e-12
1e-12,1e-12,7.376633648359388e-08,0.999999926232366,1.2974692640414007e-12
