P1,P2,P3,P4,P5
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
8.764247449999374e-08,1.2919485992024526e-05,0.02296436278155911,0.9750958954266469,0.0019267346633274757
4.4508505192553116e-07,3.9618607177160925e-05,0.03304591469647511,0.9633204190298758,0.00359360258142009
2.2670754162845697e-12,8.675513751832398e-09,0.002050734862136583,0.9979160422651346,3.321419494792514e-05
2.2637343111142627e-09,1.0325894059803886e-06,0.010012535770032915,0.9895135749423065,0.0004728544345203107
1e-12,1e-12,5.562206256448654e-05,0.9999442968812243,8.105603907476482e-08
1e-12,4.6078258986170795e-09,0.001661386064600423,0.9983152399917701,2.336933489472016e-05
1.433307250664484e-09,7.527299249465713e-07,0.009019525338169965,0.990583059277883,0.00039666122071475634
1e-12,1.1904479624291753e-09,0.0010587462987485807,0.998930235021718,1.1017488956951757e-05
1e-12,1e-12,1.8005690814448805e-05,0.9999819819393798,1.2369799925183337e-08
1e-12,8.487130997991699e-10,0.000945922787360276,0.9990449469862398,9.12937760800769e-06
1e-12,3.9940717400099857e-11,0.0003417117341488751,0.9996566170843965,1.6711415130947422e-06
1e-12,8.664402528779647e-12,0.00020534768379876223,0.9997939373206908,7.149868460535022e-07
1e-12,1e-12,7.926426776827533e-06,0.9999920704220794,3.1511433193694657e-09
1e-12,1e-12,3.127531520163984e-05,0.9999686936373524,3.104741529999957e-08
1e-12,1e-12,6.212343888523097e-05,0.9999377791058862,9.745498873620058e-08
1e-12,1e-12,8.75544123420946e-05,0.9999122729263373,1.7266064927934613e-07
2.4289459332749175e-12,9.099824560543368e-09,0.00208357233019163,0.9978823113960685,3.4107171486282e-05
1e-12,1.3079204386201582e-10,0.0005073556218651021,0.9994894141155498,3.2301317877670205e-06
1e-12,1.567901364296631e-11,0.00025022610291680625,0.9997487798461748,9.94035229102247e-07
1e-12,5.4285465012071654e-12,0.0001757191767189914,0.9998237293854902,5.51432362262481e-07
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
1e-12,1e-12,5.829126546308405e-05,0.9999416210918644,8.764247451323235e-08
1e-12,1e-12,8.481104111335291e-05,0.9999150252205902,1.63737686249047e-07
1e-12,1.070921129553426e-12,0.00010229985365495242,0.9998974763424056,2.238028685224453e-07
1e-12,1.418642980866025e-12,0.00011235327922010097,0.9998873850673092,2.6165205199192004e-07
4.169997680492088e-12,1.322786546964494e-08,0.002359647450027591,0.9975983530097001,4.198630823683514e-05
3.0700790798476874e-09,1.274802669426478e-06,0.01073388473634218,0.9887332241132408,0.0005316132776684705
8.330299505754368e-08,1.2474494036518458e-05,0.02270319852744751,0.975394705017681,0.0018895386578398718
1e-12,4.85731499466624e-09,0.0016907983205326493,0.998285132726821,2.4064094350627773e-05
1e-12,9.555445323883305e-11,0.0004569726691331377,0.9995403140453962,2.7131899128319506e-06
1e-12,1.3401502130250265e-11,0.00023747400279383601,0.999761614955907,9.110278974409572e-07
1e-12,5.018874205120483e-12,0.0001711827859552928,0.9998282893023035,5.279067223662618e-07
1e-12,3.071320975323033e-12,0.00014533791470938695,0.9998542602267143,4.018555049284536e-07
1e-12,1e-12,6.6682138417650805e-06,0.9999933294237549,2.3624032066180585e-09
1e-12,1e-12,2.8685906604764e-05,0.9999712872109502,2.6882421500279583e-08
1e-12,1.7066374979890497e-09,0.0011936567728503267,0.998792883160043,1.3458360252630216e-05
1e-12,5.663847169046221e-11,0.0003838905416569949,0.9996140803668752,2.0290348278019846e-06
1e-12,1e-12,1.0838615085551062e-05,0.9999891560765067,5.308406414917134e-09
1e-12,1e-12,3.65719567798628e-05,0.9999633877461029,4.029706835784594e-08
1e-12,2.456723047217224e-09,0.0013475779146064903,0.9986359420503916,1.647757791244521e-05
1e-12,6.795519702507136e-11,0.00040791317016775075,0.9995898416361005,2.245125774462905e-06
0.5,1e-12,1e-12,1e-12,0.5
3.3982678893096363e-09,1.3675589390915732e-06,0.010985571673386207,0.9884602787324832,0.0005527786369235996
8.764247449999374e-08,1.2919485992024526e-05,0.02296436278155911,0.9750958954266469,0.0019267346633274757
1.0060841049153169e-12,4.94344432055982e-09,0.001700717466984747,0.9982749773478216,2.43002407432796e-05
1e-12,9.639800069294324e-11,0.0004583128042336959,0.9995389606290943,2.72647027069593e-06
1e-12,1.3460343950555398e-11,0.0002378220371797024,0.9997612646945578,9.132548018955539e-07
2.117661601630516e-11,4.073636106216583e-08,0.0034295631665568482,0.9964919581846841,7.843789122138342e-05
6.918530193189554e-09,2.2358158239255133e-06,0.012918230304724942,0.9863530394396045,0.0007264875213164841
1e-12,2.0528352351334433e-09,0.0012693624172491758,0.9987157228117939,1.4912717839084402e-05
1e-12,6.211831049540706e-11,0.0003958874921330402,0.9996019765891189,2.135856627963748e-06
6.390443729742401e-11,8.749302360389066e-08,0.004420764447143566,0.9954591985597463,0.00011994943618209325
1e-12,4.056399660612442e-10,0.0007397216154334529,0.9992542201931592,6.057785740235603e-06
1e-12,1e-12,3.730091113762768e-08,0.9999999626986724,1e-12
1e-12,1e-12,2.1455252389168677e-06,0.999997854117852,3.569090817975957e-10
1e-12,3.491118505394297e-11,0.00032672592187710237,0.9996717232927412,1.5507504695830855e-06
1e-12,1e-12,9.998844667680196e-06,0.9999899965145588,4.640772421526015e-09
1e-12,1e-12,3.5126643849525685e-05,0.999964835678223,3.767788412685947e-08
1e-12,1e-12,6.583732736520354e-05,0.999934055314303,1.0735804648700885e-07
1e-12,1e-12,4.487865479241293e-06,0.9999955109134627,1.221058016431493e-09
1e-12,1e-12,2.3533444645895685e-05,0.9999764472285599,1.9326781074762388e-08
