Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6410fea09502ce8eaf03cd5f,63153455849b153d56dd81db,APPROVED,2023-03-14T23:09:24.494000Z,2023-03-15T00:23:53.923000Z,2023-03-15T16:05:47.704000,2023-03-15T00:23:54.327400Z,4470,70AE6036,343,English,19,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64110064fcefdeabdcfdcb95,610745dee13497549c9d6fba,APPROVED,2023-03-14T23:16:55.774000Z,2023-03-15T00:36:24.244000Z,2023-03-15T16:05:57.948000,2023-03-15T00:36:24.709072Z,4769,70AE6036,125,English,22,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
641103c67790a7d535cb3d08,62f94c417a55be0afc4c5a4b,APPROVED,2023-03-14T23:31:24.035000Z,2023-03-15T00:49:48.624000Z,2023-03-15T16:05:47.869000,2023-03-15T00:49:49.036042Z,4705,70AE6036,226,English,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64110467df6cf3d1fcb2cb63,63fe39cd075bd5283fad495d,APPROVED,2023-03-14T23:34:03.244000Z,2023-03-15T00:26:24.086000Z,2023-03-15T16:05:48.054000,2023-03-15T00:26:25.766912Z,3141,70AE6036,32,English,30,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
641104e89d64cbcfc903cd78,63615888b5606b24a845f73e,APPROVED,2023-03-14T23:36:17.886000Z,2023-03-15T00:38:42.174000Z,2023-03-15T16:05:48.227000,2023-03-15T00:38:42.596314Z,3745,70AE6036,403,English,26,Male,White,United States,United States,United States,English,No,Full-Time
64110637a8411fd31fcb3cbc,5971640e7ec240000170cb69,APPROVED,2023-03-14T23:41:51.293000Z,2023-03-15T00:26:38.377000Z,2023-03-15T16:05:48.410000,2023-03-15T00:26:38.738322Z,2688,70AE6036,93,"English, Spanish, Chinese",39,Male,Mixed,United States,United States,United States,Spanish,Yes,Part-Time
6411084e7ffa876bb89b8ad6,6063a00c6fd08d0a972382a4,APPROVED,2023-03-14T23:50:44.766000Z,2023-03-15T00:44:41.261000Z,2023-03-15T16:05:58.123000,2023-03-15T00:44:41.583144Z,3237,70AE6036,377,English,24,Female,White,United States,United States,United States,English,No,Due to start a new job within the next month
64110a66643bb9fd65755786,605fb0818ad4067b3d99ece0,APPROVED,2023-03-14T23:59:39.511000Z,2023-03-15T00:52:34.228000Z,2023-03-15T16:05:58.321000,2023-03-15T00:52:34.720585Z,3175,70AE6036,144,English,33,Female,Mixed,United States,United States,United States,English,Yes,Full-Time
64110b7d8280221bb8cac642,63d40528f7676637efbd18eb,APPROVED,2023-03-15T00:08:24.443000Z,2023-03-15T01:03:01.743000Z,2023-03-15T16:05:48.586000,2023-03-15T01:03:02.186657Z,3278,70AE6036,92,"English, Spanish",34,Male,White,United States,United States,United States,English,No,Part-Time
64110d0f77ea03c104a861bb,5b65f7935c431c000127ae5f,APPROVED,2023-03-15T00:11:30.946000Z,2023-03-15T02:11:38.772000Z,2023-03-15T16:05:58.536000,2023-03-15T02:11:39.141941Z,7208,70AE6036,363,English,31,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64110f35bfcb408bb8a950b9,5f934f7fdc89a111b5712011,APPROVED,2023-03-15T00:20:07.973000Z,2023-03-15T01:07:30.689000Z,2023-03-15T16:05:58.764000,2023-03-15T01:07:31.419547Z,2843,70AE6036,315,English,29,Female,White,United States,United States,United States,English,Yes,Other
64110f4dee86990e36c4f39c,5ecbd383243b3438410dae19,APPROVED,2023-03-15T00:20:32.787000Z,2023-03-15T01:18:07.939000Z,2023-03-15T16:05:58.980000,2023-03-15T01:18:08.323414Z,3456,70AE6036,376,English,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6411111edda243f3d4e005cd,63356ce6be65e7962bfc424d,APPROVED,2023-03-15T00:28:20.748000Z,2023-03-15T01:54:14.835000Z,2023-03-15T16:05:48.771000,2023-03-15T01:54:15.196851Z,5155,70AE6036,190,English,42,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6411115624086a558311b5ab,5e535a49ac9ed13700f62def,APPROVED,2023-03-15T00:29:14.921000Z,2023-03-15T02:46:53.484000Z,2023-03-15T16:05:59.210000,2023-03-15T02:46:53.874678Z,8259,70AE6036,421,English,35,Female,White,United States,United States,United States,English,No,Full-Time
641111d98ee6b920865c4911,63d7d7b654e057b287d2bd9b,APPROVED,2023-03-15T00:31:24.803000Z,2023-03-15T01:28:16.769000Z,2023-03-15T16:05:48.944000,2023-03-15T01:28:17.170712Z,3412,70AE6036,189,"English, Spanish",21,Male,White,"Venezuela, Bolivarian Republic of",United States,United States,English,Yes,Other
641112094edc222b0bee8b35,5e7fb4743c00ce69510024fb,APPROVED,2023-03-15T00:32:18.168000Z,2023-03-15T01:40:30.054000Z,2023-03-15T16:05:59.387000,2023-03-15T01:40:30.389917Z,4092,70AE6036,241,English,28,Female,White,United States,United States,United States,English,No,Full-Time
6411124ff703d7a1df93fb4f,63f58712a2c1bd62fa7bb352,APPROVED,2023-03-15T00:34:16.737000Z,2023-03-15T01:39:20.686000Z,2023-03-15T16:05:49.123000,2023-03-15T01:39:21.088608Z,3904,70AE6036,23,English,29,Male,Mixed,United States,United States,United States,English,No,Full-Time
64111254abac60bc8efedee5,63f79204eb27c9dc523185d9,APPROVED,2023-03-15T00:33:30.558000Z,2023-03-15T01:57:03.053000Z,2023-03-15T16:05:49.322000,2023-03-15T01:57:03.468757Z,5013,70AE6036,11,English,35,Male,White,United States,United States,United States,English,No,Full-Time
6411127c387ecba3a806ca58,63ced2da9cad1ae3f98ce914,APPROVED,2023-03-15T00:35:09.347000Z,2023-03-15T01:31:31.110000Z,2023-03-15T16:05:59.569000,2023-03-15T01:31:31.517204Z,3382,70AE6036,325,"English, Spanish",20,Female,Other,United States,United States,United States,English,Yes,Part-Time
641112901c415d740193fb49,63ea6e6d78fced1e97a149c8,APPROVED,2023-03-15T00:34:32.031000Z,2023-03-15T01:48:14.048000Z,2023-03-15T16:05:49.527000,2023-03-15T01:48:14.428243Z,4423,70AE6036,144,English,35,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6411129762d48c5a11d5eb0e,63d40583fbdb78bfb9b0d3a4,APPROVED,2023-03-15T00:34:34.452000Z,2023-03-15T01:21:39.003000Z,2023-03-15T16:05:49.715000,2023-03-15T01:21:39.631668Z,2825,70AE6036,259,English,23,Male,White,United States,United States,United States,English,No,Part-Time
641112fb6f3c36c949b2cbb1,63d7a9346e833b93500723d4,APPROVED,2023-03-15T00:36:16.637000Z,2023-03-15T01:20:37.516000Z,2023-03-15T16:05:49.897000,2023-03-15T01:20:37.873926Z,2661,70AE6036,250,English,45,Male,White,United States,United States,United States,English,No,Full-Time
6411141339c3877a7575578e,636598a7a571403968d03bf2,APPROVED,2023-03-15T00:41:01.081000Z,2023-03-15T02:04:22.675000Z,2023-03-15T16:05:50.078000,2023-03-15T02:04:23.082376Z,5002,70AE6036,473,"English, French",27,Male,Black,United States,United States,United States,English,Yes,Full-Time
641114c0db702c6f2cb2cb47,60429021c960ed190edaedca,APPROVED,2023-03-15T00:43:49.303000Z,2023-03-15T01:35:05.010000Z,2023-03-15T16:05:50.245000,2023-03-15T01:35:05.509998Z,3076,70AE6036,475,English,24,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
6411155d6dc7748c6c6ffc69,63bd8d4ca46f8313570e6fa4,APPROVED,2023-03-15T00:46:34.265000Z,2023-03-15T01:28:49.160000Z,2023-03-15T16:05:50.422000,2023-03-15T01:28:49.521963Z,2535,70AE6036,324,English,45,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
641116f27b042c08f0022aec,62e19208352cd518d7b2f085,APPROVED,2023-03-15T00:53:27.657000Z,2023-03-15T02:39:49.672000Z,2023-03-15T16:05:50.604000,2023-03-15T02:40:24.893213Z,6383,70AE6036,480,English,33,Male,White,United States,United States,United States,English,No,Full-Time
641117222188f01f5b03cd4f,63d53c6bc368b9fa8d33f4cf,APPROVED,2023-03-15T00:53:57.923000Z,2023-03-15T01:47:49.937000Z,2023-03-15T16:05:59.788000,2023-03-15T01:47:50.601768Z,3233,70AE6036,80,English,20,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64111739800d15cad24b6e67,62dc4a5fef307ee53c61afcc,APPROVED,2023-03-15T00:54:38.119000Z,2023-03-15T01:52:59.203000Z,2023-03-15T16:05:50.757000,2023-03-15T01:52:59.574677Z,3502,70AE6036,279,English,29,Male,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
