"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","3","0.0-0.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","","","","","","","","","","","","",""
"instructions","1","1335","0.0-1.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","[{""page_index"":0,""viewing_time"":1332}]","1332","","","","","","","","","","","",""
"","","","","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","","fullscreenenter","2","6028","fullscreenenter","","","","","","","",""
"fullscreen","2","7019","0.0-2.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","","","","","","true","","","","","","",""
"instructions","3","87506","0.0-4.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","[{""page_index"":0,""viewing_time"":16703},{""page_index"":1,""viewing_time"":11793},{""page_index"":2,""viewing_time"":35298},{""page_index"":3,""viewing_time"":4912},{""page_index"":4,""viewing_time"":1963},{""page_index"":5,""viewing_time"":2146},{""page_index"":6,""viewing_time"":1389},{""page_index"":7,""viewing_time"":6283}]","80487","","","","","","","","","","","",""
"html-slider-response","4","117646","0.0-5.0-1.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","30139","","","","decision","","39","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
"html-slider-response","5","135191","0.0-5.0-1.1","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","17544","","","","decision","","10","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/4 or 25%","","50",""
"html-slider-response","6","157199","0.0-5.0-1.2","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","22007","","","","decision","","29","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/3 or 33%","","50",""
"html-slider-response","7","164521","0.0-5.0-1.3","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","7320","","","","decision","","28","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/2 or 50%","","50",""
"html-slider-response","8","170768","0.0-5.0-1.4","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","6246","","","","decision","","31","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","2/3 or 67%","","50",""
"instructions","9","173673","0.0-6.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","[{""page_index"":0,""viewing_time"":2904}]","2904","","","","","","","","","","","",""
"html-slider-response","10","186651","0.0-7.0-1.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","12977","","","","simRating","","1","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"html-slider-response","11","193806","0.0-7.0-1.1","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","7154","","","","simRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","12","202142","0.0-7.0-1.2","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","8334","","","","simRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","",""
"html-slider-response","13","206282","0.0-7.0-1.3","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","4140","","","","simRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","14","215907","0.0-7.0-1.4","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","9624","","","","simRating","","9","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","",""
"instructions","15","218109","0.0-8.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","[{""page_index"":0,""viewing_time"":2200}]","2200","","","","","","","","","","","",""
"html-slider-response","16","224307","0.0-9.0-1.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","6198","","","","abilRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","17","232291","0.0-9.0-1.1","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","7982","","","","abilRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","18","237418","0.0-9.0-1.2","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","5126","","","","abilRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your high school classmates","","","",""
"html-slider-response","19","275232","0.0-9.0-1.3","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","37812","","","","abilRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","other prolific workers","","","",""
"html-slider-response","20","282113","0.0-9.0-1.4","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","6881","","","","abilRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your closest friends","","","",""
"","","","","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","","fullscreenexit","21","282133","fullscreenexit","","","","","","","",""
"fullscreen","21","283114","0.0-10.0","5c9bfbfa325c3d001ad360a8","bdp_bc","Thu Mar 30 2023 22:53:14 GMT-0400 (Eastern Daylight Time)","283115","","","","","","","true","","","","","","",""
"html-keyboard-response","22","283615","0.0-11.0","","","","","","null","","","","","","","","","","","","null"
