"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","3","0.0-0.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","","","","","","","","","","","","",""
"instructions","1","898","0.0-1.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","[{""page_index"":0,""viewing_time"":894}]","895","","","","","","","","","","","",""
"","","","","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","","fullscreenenter","2","3321","fullscreenenter","","","","","","","",""
"fullscreen","2","4306","0.0-2.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","","","","","","true","","","","","","",""
"instructions","3","124726","0.0-4.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","[{""page_index"":0,""viewing_time"":40467},{""page_index"":1,""viewing_time"":34924},{""page_index"":2,""viewing_time"":16796},{""page_index"":3,""viewing_time"":6184},{""page_index"":4,""viewing_time"":5297},{""page_index"":5,""viewing_time"":2628},{""page_index"":6,""viewing_time"":2843},{""page_index"":7,""viewing_time"":11280}]","120419","","","","","","","","","","","",""
"html-slider-response","4","144647","0.0-5.0-1.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","19919","","","","decision","","34","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","3/4 or 75%","","50",""
"html-slider-response","5","154676","0.0-5.0-1.1","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","10026","","","","decision","","45","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50",""
"html-slider-response","6","160037","0.0-5.0-1.2","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","5360","","","","decision","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/2 or 50%","","50",""
"html-slider-response","7","166415","0.0-5.0-1.3","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","6376","","","","decision","","85","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/4 or 25%","","50",""
"html-slider-response","8","171352","0.0-5.0-1.4","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","4936","","","","decision","","70","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/3 or 33%","","50",""
"instructions","9","177832","0.0-6.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","[{""page_index"":0,""viewing_time"":6480}]","6480","","","","","","","","","","","",""
"html-slider-response","10","182718","0.0-7.0-1.0","5dbf692c2a1dd63f64ef5ae4","bdp_bc","Sat Mar 25 2023 16:31:25 GMT-0700 (Pacific Daylight Time)","219981","","4884","","","","simRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
