"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","3","0.0-0.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","","","","","","","","","","","","",""
"instructions","1","1385","0.0-1.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","[{""page_index"":0,""viewing_time"":1382}]","1382","","","","","","","","","","","",""
"","","","","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","","fullscreenenter","2","2948","fullscreenenter","","","","","","","",""
"fullscreen","2","3921","0.0-2.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","","","","","","true","","","","","","",""
"instructions","3","57906","0.0-4.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","[{""page_index"":0,""viewing_time"":12708},{""page_index"":1,""viewing_time"":5484},{""page_index"":2,""viewing_time"":2379},{""page_index"":1,""viewing_time"":3873},{""page_index"":2,""viewing_time"":7737},{""page_index"":3,""viewing_time"":2788},{""page_index"":4,""viewing_time"":2286},{""page_index"":5,""viewing_time"":1716},{""page_index"":6,""viewing_time"":2898},{""page_index"":7,""viewing_time"":12116}]","53985","","","","","","","","","","","",""
"html-slider-response","4","72131","0.0-5.0-1.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","14220","","","","decision","","10","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/2 or 50%","","50",""
"html-slider-response","5","80392","0.0-5.0-1.1","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","8258","","","","decision","","55","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
"html-slider-response","6","85944","0.0-5.0-1.2","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","5550","","","","decision","","25","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/4 or 25%","","50",""
"html-slider-response","7","92135","0.0-5.0-1.3","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","6188","","","","decision","","60","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","2/3 or 67%","","50",""
"html-slider-response","8","96988","0.0-5.0-1.4","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","4850","","","","decision","","29","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/3 or 33%","","50",""
"instructions","9","102739","0.0-6.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","[{""page_index"":0,""viewing_time"":5750}]","5750","","","","","","","","","","","",""
"html-slider-response","10","109035","0.0-7.0-1.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","6293","","","","simRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","",""
"html-slider-response","11","113894","0.0-7.0-1.1","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","4856","","","","simRating","","4","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"html-slider-response","12","116600","0.0-7.0-1.2","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","2705","","","","simRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","13","119880","0.0-7.0-1.3","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","3277","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","14","123235","0.0-7.0-1.4","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","3353","","","","simRating","","4","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","",""
"instructions","15","126235","0.0-8.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","[{""page_index"":0,""viewing_time"":2999}]","2999","","","","","","","","","","","",""
"html-slider-response","16","131648","0.0-9.0-1.0","60761cf3cc35a2a9b127b414","bdp_bc","Sun Mar 26 2023 18:42:47 GMT-0400 (Eastern Daylight Time)","146326","","5410","","","","abilRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","other prolific workers","","","",""
