"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","2","0.0-0.0","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","","","","","","","","","","","","",""
"instructions","1","939","0.0-1.0","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","[{""page_index"":0,""viewing_time"":936}]","936","","","","","","","","","","","",""
"","","","","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","","fullscreenenter","2","2285","fullscreenenter","","","","","","","",""
"fullscreen","2","3266","0.0-2.0","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","","","","","","true","","","","","","",""
"instructions","3","65915","0.0-4.0","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","[{""page_index"":0,""viewing_time"":23399},{""page_index"":1,""viewing_time"":13556},{""page_index"":2,""viewing_time"":13549},{""page_index"":3,""viewing_time"":2339},{""page_index"":4,""viewing_time"":1383},{""page_index"":5,""viewing_time"":1460},{""page_index"":6,""viewing_time"":1178},{""page_index"":7,""viewing_time"":5784}]","62648","","","","","","","","","","","",""
"html-slider-response","4","78059","0.0-5.0-1.0","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","12136","","","","decision","","70","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/2 or 50%","","50",""
"html-slider-response","5","84024","0.0-5.0-1.1","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","5962","","","","decision","","29","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","2/3 or 67%","","50",""
"html-slider-response","6","88484","0.0-5.0-1.2","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","4457","","","","decision","","59","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/3 or 33%","","50",""
"html-slider-response","7","94424","0.0-5.0-1.3","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","5938","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/4 or 25%","","50",""
"html-slider-response","8","100048","0.0-5.0-1.4","60fcf7102d7c9907d95a0920","bdp_bc","Thu Apr 13 2023 10:10:43 GMT-0700 (PDT)","138736","","5621","","","","decision","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","3/4 or 75%","","50",""
