"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","3","0.0-0.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","","","","","","","","","","","","",""
"instructions","1","1743","0.0-1.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","[{""page_index"":0,""viewing_time"":1739}]","1739","","","","","","","","","","","",""
"","","","","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","","fullscreenenter","2","4761","fullscreenenter","","","","","","","",""
"fullscreen","2","5742","0.0-2.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","","","","","","true","","","","","","",""
"instructions","3","86167","0.0-4.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","[{""page_index"":0,""viewing_time"":21101},{""page_index"":1,""viewing_time"":18323},{""page_index"":2,""viewing_time"":14286},{""page_index"":3,""viewing_time"":7436},{""page_index"":4,""viewing_time"":2999},{""page_index"":5,""viewing_time"":3744},{""page_index"":6,""viewing_time"":4328},{""page_index"":7,""viewing_time"":8206}]","80423","","","","","","","","","","","",""
"html-slider-response","4","104252","0.0-5.0-1.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","18082","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/4 or 25%","","50",""
"html-slider-response","5","113638","0.0-5.0-1.1","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","9384","","","","decision","","25","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","2/3 or 67%","","50",""
"html-slider-response","6","120693","0.0-5.0-1.2","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","7053","","","","decision","","21","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/3 or 33%","","50",""
"html-slider-response","7","133776","0.0-5.0-1.3","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","13080","","","","decision","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/2 or 50%","","50",""
"html-slider-response","8","145040","0.0-5.0-1.4","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","11262","","","","decision","","9","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","3/4 or 75%","","50",""
"instructions","9","147895","0.0-6.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","[{""page_index"":0,""viewing_time"":2855}]","2855","","","","","","","","","","","",""
"html-slider-response","10","165257","0.0-7.0-1.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","17361","","","","simRating","","4","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","11","172731","0.0-7.0-1.1","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","7472","","","","simRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","",""
"html-slider-response","12","177600","0.0-7.0-1.2","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","4867","","","","simRating","","3","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","13","184319","0.0-7.0-1.3","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","6718","","","","simRating","","3","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","",""
"html-slider-response","14","187619","0.0-7.0-1.4","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","3299","","","","simRating","","5","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"instructions","15","192192","0.0-8.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","[{""page_index"":0,""viewing_time"":4572}]","4572","","","","","","","","","","","",""
"html-slider-response","16","201567","0.0-9.0-1.0","61038afee6aa0fcfbf968e56","bdp_bc","Tue Mar 28 2023 00:25:49 GMT-0400 (Eastern Daylight Time)","218488","","9374","","","","abilRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","complete strangers","","","",""
