"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","6","0.0-0.0","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","","","","","","","","","","","","","",""
"instructions","1","2880","0.0-1.0","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","[{""page_index"":0,""viewing_time"":2873}]","2873","","","","","","","","","","","","",""
"","","","","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","","fullscreenenter","2","4182","fullscreenenter","","","","","","","","",""
"fullscreen","2","5154","0.0-2.0","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","","","","","","true","","","","","","","",""
"","","","","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","","fullscreenexit","3","7758","fullscreenexit","","","","","","","","",""
"","","","","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","","blur","3","9295","blurevent","","1","","","","","","",""
"","","","","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","","focus","3","20308","focusevent","","","","","","","","",""
"instructions","3","241146","0.0-4.0","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","[{""page_index"":0,""viewing_time"":139721},{""page_index"":1,""viewing_time"":18407},{""page_index"":2,""viewing_time"":19279},{""page_index"":1,""viewing_time"":320},{""page_index"":0,""viewing_time"":5817},{""page_index"":1,""viewing_time"":542},{""page_index"":2,""viewing_time"":13285},{""page_index"":3,""viewing_time"":4680},{""page_index"":4,""viewing_time"":5383},{""page_index"":5,""viewing_time"":3523},{""page_index"":6,""viewing_time"":12727},{""page_index"":7,""viewing_time"":12307}]","235991","","","","","","","","","","","","",""
"image-keyboard-response","4","266336","0.0-5.0-0.0-0.0","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","25187","","","","blurwarn","","1","","49","","","","",""
"html-slider-response","5","323397","0.0-5.0-1.0","61650ba8e42101c561bf7335","bdp_bc","Wed Mar 29 2023 13:42:31 GMT-0400 (Eastern Daylight Time)","456703","","56806","","","","decision","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","19","your high school classmates","1/3 or 33%","","50"
