"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","8","0.0-0.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","","","","","","","","","","","","",""
"instructions","1","1815","0.0-1.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","[{""page_index"":0,""viewing_time"":1806}]","1806","","","","","","","","","","","",""
"","","","","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","","fullscreenenter","2","3811","fullscreenenter","","","","","","","",""
"fullscreen","2","4789","0.0-2.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","","","","","","true","","","","","","",""
"instructions","3","84003","0.0-4.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","[{""page_index"":0,""viewing_time"":16231},{""page_index"":1,""viewing_time"":12536},{""page_index"":2,""viewing_time"":8735},{""page_index"":3,""viewing_time"":2436},{""page_index"":4,""viewing_time"":1363},{""page_index"":5,""viewing_time"":2448},{""page_index"":6,""viewing_time"":8999},{""page_index"":7,""viewing_time"":26463}]","79212","","","","","","","","","","","",""
"html-slider-response","4","107502","0.0-5.0-1.0","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","23444","","","","decision","","70","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","3/4 or 75%","","50",""
"html-slider-response","5","120559","0.0-5.0-1.1","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","13053","","","","decision","","67","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","2/3 or 67%","","50",""
"html-slider-response","6","137771","0.0-5.0-1.2","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","17209","","","","decision","","76","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/2 or 50%","","50",""
"html-slider-response","7","140874","0.0-5.0-1.3","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","3101","","","","decision","","39","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/3 or 33%","","50",""
"html-slider-response","8","143368","0.0-5.0-1.4","62d06d1b651d6922f62fab9b","bdp_bc","Sat Mar 25 2023 22:02:10 GMT-0600 (Mountain Daylight Time)","217472","","2492","","","","decision","","41","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/4 or 25%","","50",""
