"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","4","0.0-0.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","","","","","","","","","","","","",""
"instructions","1","2662","0.0-1.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","[{""page_index"":0,""viewing_time"":2657}]","2657","","","","","","","","","","","",""
"","","","","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","","fullscreenenter","2","8283","fullscreenenter","","","","","","","",""
"fullscreen","2","9267","0.0-2.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","","","","","","true","","","","","","",""
"instructions","3","202407","0.0-4.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","[{""page_index"":0,""viewing_time"":38559},{""page_index"":1,""viewing_time"":86225},{""page_index"":2,""viewing_time"":15458},{""page_index"":3,""viewing_time"":9116},{""page_index"":4,""viewing_time"":7999},{""page_index"":5,""viewing_time"":1814},{""page_index"":6,""viewing_time"":10148},{""page_index"":7,""viewing_time"":23821}]","193140","","","","","","","","","","","",""
"html-slider-response","4","228767","0.0-5.0-1.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","26357","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/4 or 25%","","50",""
"html-slider-response","5","250013","0.0-5.0-1.1","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","21245","","","","decision","","40","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","2/3 or 67%","","50",""
"html-slider-response","6","270213","0.0-5.0-1.2","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","20197","","","","decision","","36","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/2 or 50%","","50",""
"html-slider-response","7","282350","0.0-5.0-1.3","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","12135","","","","decision","","22","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/3 or 33%","","50",""
"html-slider-response","8","293817","0.0-5.0-1.4","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","11465","","","","decision","","29","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","3/4 or 75%","","50",""
"instructions","9","300102","0.0-6.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","[{""page_index"":0,""viewing_time"":6284}]","6284","","","","","","","","","","","",""
"html-slider-response","10","308626","0.0-7.0-1.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","8522","","","","simRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","",""
"html-slider-response","11","319950","0.0-7.0-1.1","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","11323","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","12","323772","0.0-7.0-1.2","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","3820","","","","simRating","","3","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","13","328242","0.0-7.0-1.3","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","4468","","","","simRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","",""
"html-slider-response","14","331769","0.0-7.0-1.4","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","3525","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"instructions","15","336559","0.0-8.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","[{""page_index"":0,""viewing_time"":4790}]","4790","","","","","","","","","","","",""
"html-slider-response","16","340957","0.0-9.0-1.0","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","4397","","","","abilRating","","2","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","17","350920","0.0-9.0-1.1","63356ce6be65e7962bfc424d","bdp_bc","Mon Apr 03 2023 21:48:08 GMT-0500 (Central Daylight Time)","365110","","9961","","","","abilRating","","9","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your closest friends","","","",""
