"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","3","0.0-0.0","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","","","","","","","","","","","","",""
"instructions","1","2592","0.0-1.0","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","[{""page_index"":0,""viewing_time"":2589}]","2589","","","","","","","","","","","",""
"","","","","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","","fullscreenenter","2","5323","fullscreenenter","","","","","","","",""
"fullscreen","2","6313","0.0-2.0","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","","","","","","true","","","","","","",""
"instructions","3","88977","0.0-4.0","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","[{""page_index"":0,""viewing_time"":30182},{""page_index"":1,""viewing_time"":20338},{""page_index"":2,""viewing_time"":15551},{""page_index"":3,""viewing_time"":3297},{""page_index"":4,""viewing_time"":3854},{""page_index"":5,""viewing_time"":2521},{""page_index"":6,""viewing_time"":1783},{""page_index"":7,""viewing_time"":5137}]","82664","","","","","","","","","","","",""
"html-slider-response","4","104955","0.0-5.0-1.0","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","15973","","","","decision","","66","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","2/3 or 67%","","50",""
"html-slider-response","5","111942","0.0-5.0-1.1","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","6986","","","","decision","","24","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/4 or 25%","","50",""
"html-slider-response","6","114726","0.0-5.0-1.2","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","2783","","","","decision","","77","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/3 or 33%","","50",""
"html-slider-response","7","117718","0.0-5.0-1.3","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","2991","","","","decision","","34","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/2 or 50%","","50",""
"html-slider-response","8","120382","0.0-5.0-1.4","63614ad63aec6bcf8a045124","bdp_bc","Sun Mar 26 2023 15:30:12 GMT-0400 (Eastern Daylight Time)","169470","","2663","","","","decision","","75","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
