"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","2","0.0-0.0","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","","","","","","","","","","","","",""
"instructions","1","8213","0.0-1.0","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","[{""page_index"":0,""viewing_time"":8209}]","8210","","","","","","","","","","","",""
"","","","","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","","fullscreenenter","2","12120","fullscreenenter","","","","","","","",""
"fullscreen","2","13108","0.0-2.0","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","","","","","","true","","","","","","",""
"instructions","3","169539","0.0-4.0","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","[{""page_index"":0,""viewing_time"":56016},{""page_index"":1,""viewing_time"":26040},{""page_index"":2,""viewing_time"":21752},{""page_index"":3,""viewing_time"":18775},{""page_index"":4,""viewing_time"":4632},{""page_index"":5,""viewing_time"":24},{""page_index"":6,""viewing_time"":10759},{""page_index"":7,""viewing_time"":18432}]","156431","","","","","","","","","","","",""
"html-slider-response","4","191597","0.0-5.0-1.0","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","22057","","","","decision","","27","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/3 or 33%","","50",""
"html-slider-response","5","199653","0.0-5.0-1.1","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","8054","","","","decision","","46","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","2/3 or 67%","","50",""
"html-slider-response","6","205317","0.0-5.0-1.2","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","5664","","","","decision","","31","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/2 or 50%","","50",""
"html-slider-response","7","209054","0.0-5.0-1.3","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","3735","","","","decision","","64","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","3/4 or 75%","","50",""
"html-slider-response","8","213533","0.0-5.0-1.4","6362c4beb39ee39d15890c5c","bdp_bc","Mon Mar 27 2023 23:18:57 GMT-0400 (GMT-04:00)","276331","","4479","","","","decision","","18","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/4 or 25%","","50",""
