"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","12","0.0-0.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","","","","","","","","","","","","",""
"instructions","1","6090","0.0-1.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","[{""page_index"":0,""viewing_time"":6076}]","6077","","","","","","","","","","","",""
"","","","","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","","fullscreenenter","2","10398","fullscreenenter","","","","","","","",""
"fullscreen","2","11353","0.0-2.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","","","","","","true","","","","","","",""
"instructions","3","122425","0.0-4.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","[{""page_index"":0,""viewing_time"":25991},{""page_index"":1,""viewing_time"":23215},{""page_index"":2,""viewing_time"":22816},{""page_index"":3,""viewing_time"":5896},{""page_index"":4,""viewing_time"":10040},{""page_index"":5,""viewing_time"":2680},{""page_index"":6,""viewing_time"":6432},{""page_index"":7,""viewing_time"":14001}]","111071","","","","","","","","","","","",""
"html-slider-response","4","133966","0.0-5.0-1.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","11537","","","","decision","","4","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/2 or 50%","","50",""
"html-slider-response","5","145357","0.0-5.0-1.1","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","11388","","","","decision","","13","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","2/3 or 67%","","50",""
"html-slider-response","6","150135","0.0-5.0-1.2","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","4775","","","","decision","","4","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/4 or 25%","","50",""
"html-slider-response","7","154773","0.0-5.0-1.3","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","4634","","","","decision","","24","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
"html-slider-response","8","158721","0.0-5.0-1.4","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","3945","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/3 or 33%","","50",""
"instructions","9","165162","0.0-6.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","[{""page_index"":0,""viewing_time"":6439}]","6440","","","","","","","","","","","",""
"html-slider-response","10","173305","0.0-7.0-1.0","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","8141","","","","simRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","11","178549","0.0-7.0-1.1","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","5240","","","","simRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"html-slider-response","12","181605","0.0-7.0-1.2","63b6e5e23b31a38790ff1ce2","bdp_bc","Mon Mar 27 2023 01:45:20 GMT-0400 (Eastern Daylight Time)","213611","","3052","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","",""
