"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","4","0.0-0.0","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","","","","","","","","","","","","",""
"instructions","1","1173","0.0-1.0","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","[{""page_index"":0,""viewing_time"":1169}]","1169","","","","","","","","","","","",""
"","","","","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","","fullscreenenter","2","3703","fullscreenenter","","","","","","","",""
"fullscreen","2","4669","0.0-2.0","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","","","","","","true","","","","","","",""
"instructions","3","98130","0.0-4.0","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","[{""page_index"":0,""viewing_time"":22660},{""page_index"":1,""viewing_time"":22964},{""page_index"":2,""viewing_time"":12818},{""page_index"":3,""viewing_time"":7466},{""page_index"":4,""viewing_time"":10663},{""page_index"":5,""viewing_time"":4047},{""page_index"":6,""viewing_time"":2892},{""page_index"":7,""viewing_time"":9950}]","93460","","","","","","","","","","","",""
"html-slider-response","4","135178","0.0-5.0-1.0","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","37045","","","","decision","","29","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/3 or 33%","","50",""
"html-slider-response","5","156801","0.0-5.0-1.1","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","21622","","","","decision","","50","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
"html-slider-response","6","167381","0.0-5.0-1.2","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","10578","","","","decision","","24","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/4 or 25%","","50",""
"html-slider-response","7","175301","0.0-5.0-1.3","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","7917","","","","decision","","70","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50",""
"html-slider-response","8","179117","0.0-5.0-1.4","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","","3813","","","","decision","","50","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/2 or 50%","","50",""
"instructions","9","186040","0.0-6.0","63d420b1d5b7dc6a3a4c50aa","bdp_bc","Mon Mar 27 2023 16:23:01 GMT-0400 (Eastern Daylight Time)","248966","[{""page_index"":0,""viewing_time"":6923}]","6923","","","","","","","","","","","",""
