"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","7","0.0-0.0","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","","","","","","","","","","","","",""
"instructions","1","3775","0.0-1.0","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","[{""page_index"":0,""viewing_time"":3766}]","3767","","","","","","","","","","","",""
"","","","","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","","fullscreenenter","2","6822","fullscreenenter","","","","","","","",""
"fullscreen","2","7800","0.0-2.0","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","","","","","","true","","","","","","",""
"instructions","3","140050","0.0-4.0","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","[{""page_index"":0,""viewing_time"":31101},{""page_index"":1,""viewing_time"":18546},{""page_index"":2,""viewing_time"":41474},{""page_index"":3,""viewing_time"":14667},{""page_index"":4,""viewing_time"":10141},{""page_index"":5,""viewing_time"":4837},{""page_index"":6,""viewing_time"":7457},{""page_index"":7,""viewing_time"":4026}]","132250","","","","","","","","","","","",""
"html-slider-response","4","188016","0.0-5.0-1.0","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","47959","","","","decision","","24","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/4 or 25%","","50",""
"html-slider-response","5","219438","0.0-5.0-1.1","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","31419","","","","decision","","10","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/2 or 50%","","50",""
"html-slider-response","6","243872","0.0-5.0-1.2","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","24431","","","","decision","","35","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","3/4 or 75%","","50",""
"html-slider-response","7","249709","0.0-5.0-1.3","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","5835","","","","decision","","20","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","2/3 or 67%","","50",""
"html-slider-response","8","262238","0.0-5.0-1.4","63dcc00d97b599698e60a1a6","bdp_bc","Sun Mar 26 2023 02:52:52 GMT-0400 (Eastern Daylight Time)","363772","","12525","","","","decision","","34","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/3 or 33%","","50",""
