"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","success","stimulus","key_press","trialtype","response","group","fraction","maxAmt","sliderStart"
"pavlovia","0","4","0.0-0.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","","","","","","","","","",""
"instructions","1","783","0.0-1.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","[{""page_index"":0,""viewing_time"":778}]","778","","","","","","","","",""
"fullscreen","2","4096","0.0-2.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","","true","","","","","","","",""
"image-keyboard-response","3","4949","0.0-3.0-0.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","851","","","32","fullscreenfail","","","","",""
"instructions","4","64313","0.0-4.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","[{""page_index"":0,""viewing_time"":17728},{""page_index"":1,""viewing_time"":12868},{""page_index"":2,""viewing_time"":12574},{""page_index"":3,""viewing_time"":5127},{""page_index"":4,""viewing_time"":2734},{""page_index"":5,""viewing_time"":2474},{""page_index"":6,""viewing_time"":1697},{""page_index"":7,""viewing_time"":3910}]","59113","","","","","","","","",""
"html-slider-response","5","78735","0.0-5.0-1.0","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","14417","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","decision","0","your closest friends","1/4 or 25%","","50"
"html-slider-response","6","84434","0.0-5.0-1.1","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","5696","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","decision","1","complete strangers","1/2 or 50%","","50"
"html-slider-response","7","88599","0.0-5.0-1.2","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","4160","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","decision","1","your acquaintances","2/3 or 67%","","50"
"html-slider-response","8","92402","0.0-5.0-1.3","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","3799","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","decision","3","your high school classmates","1/3 or 33%","","50"
"html-slider-response","9","101615","0.0-5.0-1.4","63e51ddb19fccd05514c629c","bdp_bc","Tue Mar 28 2023 18:34:07 GMT-0700 (Pacific Daylight Time)","144732","","9210","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","decision","5","other prolific workers","3/4 or 75%","","50"
