"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","2","0.0-0.0","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","","","","","","","","","","","","",""
"instructions","1","851","0.0-1.0","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","[{""page_index"":0,""viewing_time"":848}]","848","","","","","","","","","","","",""
"","","","","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","","fullscreenenter","2","2338","fullscreenenter","","","","","","","",""
"fullscreen","2","3333","0.0-2.0","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","","","","","","true","","","","","","",""
"instructions","3","74572","0.0-4.0","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","[{""page_index"":0,""viewing_time"":18810},{""page_index"":1,""viewing_time"":19916},{""page_index"":2,""viewing_time"":15432},{""page_index"":3,""viewing_time"":3245},{""page_index"":4,""viewing_time"":1752},{""page_index"":5,""viewing_time"":853},{""page_index"":6,""viewing_time"":2158},{""page_index"":7,""viewing_time"":9071}]","71237","","","","","","","","","","","",""
"html-slider-response","4","84579","0.0-5.0-1.0","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","10001","","","","decision","","44","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50",""
"html-slider-response","5","92511","0.0-5.0-1.1","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","7929","","","","decision","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/3 or 33%","","50",""
"html-slider-response","6","99611","0.0-5.0-1.2","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","7097","","","","decision","","61","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/2 or 50%","","50",""
"html-slider-response","7","105528","0.0-5.0-1.3","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","5913","","","","decision","","35","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","3/4 or 75%","","50",""
"html-slider-response","8","108411","0.0-5.0-1.4","63e573b546bc72bbe9bffc5f","bdp_bc","Sat Mar 25 2023 19:35:26 GMT-0400 (Eastern Daylight Time)","167106","","2879","","","","decision","","60","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/4 or 25%","","50",""
