"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"blur","0","0","blurevent","1","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","","","","","","","","","","","","","",""
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","pavlovia","0","2","0.0-0.0","","","","","","","","","",""
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","instructions","1","5064","0.0-1.0","[{""page_index"":0,""viewing_time"":5062}]","5062","","","","","","","",""
"fullscreenenter","2","6249","fullscreenenter","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","","","","","","","","","","","","","",""
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","fullscreen","2","7243","0.0-2.0","","","true","","","","","","",""
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","instructions","3","321392","0.0-4.0","[{""page_index"":0,""viewing_time"":290460},{""page_index"":1,""viewing_time"":7731},{""page_index"":2,""viewing_time"":5857},{""page_index"":3,""viewing_time"":2106},{""page_index"":4,""viewing_time"":1283},{""page_index"":5,""viewing_time"":1379},{""page_index"":6,""viewing_time"":1004},{""page_index"":7,""viewing_time"":4328}]","314148","","","","","","","",""
"","","","blurwarn","1","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","image-keyboard-response","4","323844","0.0-5.0-0.0-0.0","","2452","","","49","","","","",""
"","","","decision","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","5","337532","0.0-5.0-1.0","","13436","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","","70","your closest friends","3/4 or 75%","","50"
"","","","decision","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","6","343295","0.0-5.0-1.1","","5762","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","","32","other prolific workers","2/3 or 67%","","50"
"","","","decision","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","7","350413","0.0-5.0-1.2","","7116","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","","60","your high school classmates","1/2 or 50%","","50"
"","","","decision","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","8","354506","0.0-5.0-1.3","","4092","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","20","complete strangers","1/3 or 33%","","50"
"","","","decision","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","9","357437","0.0-5.0-1.4","","2930","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","","50","your acquaintances","1/4 or 25%","","50"
"","","","","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","instructions","10","360676","0.0-6.0","[{""page_index"":0,""viewing_time"":3239}]","3239","","","","","","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","11","387086","0.0-7.0-1.0","","26409","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your acquaintances","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","12","391864","0.0-7.0-1.1","","4777","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your high school classmates","","",""
"","","","simRating","","63e5c56c4ddeee504b9fa17f","bdp_bc","Sun Apr 02 2023 05:32:53 GMT-0700 (Pacific Daylight Time)","439372","html-slider-response","13","396809","0.0-7.0-1.2","","4944","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","complete strangers","","",""
