"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","2","0.0-0.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","","","","","","","","","","","","",""
"instructions","1","2632","0.0-1.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","[{""page_index"":0,""viewing_time"":2630}]","2630","","","","","","","","","","","",""
"","","","","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","","fullscreenenter","2","6422","fullscreenenter","","","","","","","",""
"fullscreen","2","7414","0.0-2.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","","","","","","true","","","","","","",""
"instructions","3","219624","0.0-4.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","[{""page_index"":0,""viewing_time"":44427},{""page_index"":1,""viewing_time"":36834},{""page_index"":2,""viewing_time"":53222},{""page_index"":3,""viewing_time"":14521},{""page_index"":4,""viewing_time"":25079},{""page_index"":5,""viewing_time"":7539},{""page_index"":6,""viewing_time"":8648},{""page_index"":7,""viewing_time"":21939}]","212209","","","","","","","","","","","",""
"html-slider-response","4","249052","0.0-5.0-1.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","29424","","","","decision","","19","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","3/4 or 75%","","50",""
"html-slider-response","5","266332","0.0-5.0-1.1","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","17278","","","","decision","","30","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","2/3 or 67%","","50",""
"html-slider-response","6","277332","0.0-5.0-1.2","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","10999","","","","decision","","9","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","1/3 or 33%","","50",""
"html-slider-response","7","283706","0.0-5.0-1.3","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","6373","","","","decision","","38","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/2 or 50%","","50",""
"html-slider-response","8","291232","0.0-5.0-1.4","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","7524","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/4 or 25%","","50",""
"instructions","9","299344","0.0-6.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","[{""page_index"":0,""viewing_time"":8112}]","8112","","","","","","","","","","","",""
"html-slider-response","10","317472","0.0-7.0-1.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","18127","","","","simRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your acquaintances","","","",""
"html-slider-response","11","324559","0.0-7.0-1.1","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","7085","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your high school classmates","","","",""
"html-slider-response","12","332949","0.0-7.0-1.2","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","8389","","","","simRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","other prolific workers","","","",""
"html-slider-response","13","338678","0.0-7.0-1.3","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","5727","","","","simRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","14","347811","0.0-7.0-1.4","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","9131","","","","simRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","your closest friends","","","",""
"instructions","15","357970","0.0-8.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","[{""page_index"":0,""viewing_time"":10159}]","10159","","","","","","","","","","","",""
"html-slider-response","16","373228","0.0-9.0-1.0","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","15257","","","","abilRating","","6","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","complete strangers","","","",""
"html-slider-response","17","377188","0.0-9.0-1.1","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","3958","","","","abilRating","","7","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your high school classmates","","","",""
"html-slider-response","18","380946","0.0-9.0-1.2","63ea6fc5092518554c9b8111","bdp_bc","Sat Mar 25 2023 17:27:02 GMT-0700 (Pacific Daylight Time)","388409","","3758","","","","abilRating","","8","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","your closest friends","","","",""
