"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","10","0.0-0.0","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","","","","","","","","","","","","",""
"instructions","1","4612","0.0-1.0","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","[{""page_index"":0,""viewing_time"":4601}]","4601","","","","","","","","","","","",""
"","","","","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","","fullscreenenter","2","6695","fullscreenenter","","","","","","","",""
"fullscreen","2","7659","0.0-2.0","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","","","","","","true","","","","","","",""
"instructions","3","287144","0.0-4.0","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","[{""page_index"":0,""viewing_time"":70512},{""page_index"":1,""viewing_time"":57953},{""page_index"":2,""viewing_time"":96174},{""page_index"":3,""viewing_time"":9406},{""page_index"":4,""viewing_time"":4775},{""page_index"":5,""viewing_time"":14312},{""page_index"":6,""viewing_time"":5859},{""page_index"":7,""viewing_time"":20492}]","279483","","","","","","","","","","","",""
"html-slider-response","4","319214","0.0-5.0-1.0","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","32063","","","","decision","","11","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","1/3 or 33%","","50",""
"html-slider-response","5","339987","0.0-5.0-1.1","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","20766","","","","decision","","8","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/4 or 25%","","50",""
"html-slider-response","6","348321","0.0-5.0-1.2","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","8331","","","","decision","","43","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","3/4 or 75%","","50",""
"html-slider-response","7","353272","0.0-5.0-1.3","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","4947","","","","decision","","36","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","2/3 or 67%","","50",""
"html-slider-response","8","366624","0.0-5.0-1.4","6400ed09421b2727c2f7c553","bdp_bc","Sat Mar 25 2023 22:24:51 GMT-0400 (Eastern Daylight Time)","458741","","13348","","","","decision","","21","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/2 or 50%","","50",""
