"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","response","stimulus","group","fraction","maxAmt","sliderStart","key_press"
"pavlovia","0","10","0.0-0.0","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","","","","","","","","","","","","",""
"instructions","1","1779","0.0-1.0","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","[{""page_index"":0,""viewing_time"":1767}]","1768","","","","","","","","","","","",""
"","","","","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","","fullscreenenter","2","4555","fullscreenenter","","","","","","","",""
"fullscreen","2","5492","0.0-2.0","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","","","","","","true","","","","","","",""
"instructions","3","209968","0.0-4.0","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","[{""page_index"":0,""viewing_time"":46131},{""page_index"":1,""viewing_time"":35556},{""page_index"":2,""viewing_time"":32058},{""page_index"":3,""viewing_time"":8234},{""page_index"":4,""viewing_time"":11995},{""page_index"":5,""viewing_time"":4702},{""page_index"":6,""viewing_time"":33494},{""page_index"":7,""viewing_time"":32303}]","204474","","","","","","","","","","","",""
"html-slider-response","4","238257","0.0-5.0-1.0","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","28283","","","","decision","","14","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your high school classmates</strong>.<p>The target value for this round is:<br><strong>3/4 or 75%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>3/4 or 75%</strong> of the average of what a group of <strong>your high school classmates</strong> would guess.</div></div>","your high school classmates","3/4 or 75%","","50",""
"html-slider-response","5","254162","0.0-5.0-1.1","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","15902","","","","decision","","28","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>2/3 or 67%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>2/3 or 67%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","complete strangers","2/3 or 67%","","50",""
"html-slider-response","6","270561","0.0-5.0-1.2","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","16394","","","","decision","","54","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>other prolific workers</strong>.<p>The target value for this round is:<br><strong>1/2 or 50%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/2 or 50%</strong> of the average of what a group of <strong>other prolific workers</strong> would guess.</div></div>","other prolific workers","1/2 or 50%","","50",""
"html-slider-response","7","278938","0.0-5.0-1.3","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","8373","","","","decision","","25","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your acquaintances</strong>.<p>The target value for this round is:<br><strong>1/4 or 25%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/4 or 25%</strong> of the average of what a group of <strong>your acquaintances</strong> would guess.</div></div>","your acquaintances","1/4 or 25%","","50",""
"html-slider-response","8","286714","0.0-5.0-1.4","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","","7769","","","","decision","","10","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>your closest friends</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>your closest friends</strong> would guess.</div></div>","your closest friends","1/3 or 33%","","50",""
"instructions","9","297143","0.0-6.0","641359eb0e2dc93999637e35","bdp_bc","Sun Apr 09 2023 20:31:08 GMT-0700 (Pacific Daylight Time)","422210","[{""page_index"":0,""viewing_time"":10427}]","10427","","","","","","","","","","","",""
