"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","5799","0.0-1.0","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","[{""page_index"":0,""viewing_time"":5796}]","5796","","","","","","","","","","","","","","",""
"","","","","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","fullscreenenter","2","8471","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","9477","0.0-2.0","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","53560","0.0-4.0","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","[{""page_index"":0,""viewing_time"":44083}]","44083","","","","","","","","","","","","","","",""
"image-keyboard-response","4","56065","0.0-5.0-1.0","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","2502","","","","choice","","img/2to1/1.png","1","225","719","0.5","0.5","2","1","",""
"animation","5","57353","0.0-5.0-2.0","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":596},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":793},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","6","57857","0.0-5.0-1.1","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","null","","","","observe","","img/1to3/1.png","null","224","502","0.5","0.5","1","3","",""
"animation","7","59145","0.0-5.0-2.1","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":101},{""stimulus"":""img/1to3/2.png"",""time"":198},{""stimulus"":""img/1to3/3.png"",""time"":298},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":893},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1090},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","8","59762","0.0-5.0-1.2","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","null","","","","observe","","img/3to2/1.png","null","223","616","0.5","0.5","3","1","",""
"animation","9","61050","0.0-5.0-2.2","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","","","","","","","","223","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":101},{""stimulus"":""img/3to1/2.png"",""time"":199},{""stimulus"":""img/3to1/3.png"",""time"":298},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":497},{""stimulus"":""img/3to1/6.png"",""time"":596},{""stimulus"":""img/3to1/7.png"",""time"":695},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":892},{""stimulus"":""img/3to1/10.png"",""time"":991},{""stimulus"":""img/3to1/11.png"",""time"":1091},{""stimulus"":""img/3to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","10","61602","0.0-5.0-1.3","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","null","","","","observe","","img/1to3/1.png","null","222","550","0.5","0.5","1","2","",""
"animation","11","62889","0.0-5.0-2.3","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","","","","","","","","","222","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":100},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":396},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":695},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1089},{""stimulus"":""img/1to2/12.png"",""time"":1188}]","[]"
"image-keyboard-response","12","62939","0.0-5.0-1.4","5ecbd383243b3438410dae19","bdp_cybrbll","Sat Mar 25 2023 18:36:11 GMT-0500 (Central Daylight Time)","455205","1","3","","49","","","","choice","","img/2to1/1.png","2","221","308","0.5","0.5","2","3","",""
