"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","4","0.0-0.0","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","1977","0.0-1.0","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","[{""page_index"":0,""viewing_time"":1972}]","1972","","","","","","","","","","","","","","",""
"","","","","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","","fullscreenenter","2","3410","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","4406","0.0-2.0","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","15092","0.0-4.0","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","[{""page_index"":0,""viewing_time"":10679}]","10680","","","","","","","","","","","","","","",""
"image-keyboard-response","4","15908","0.0-5.0-1.0","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","816","","","","choice","","img/2to1/1.png","1","225","946","0.5","0.5","2","1","",""
"animation","5","17201","0.0-5.0-2.0","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":299},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":697},{""stimulus"":""img/2to1/8.png"",""time"":797},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":996},{""stimulus"":""img/2to1/11.png"",""time"":1095},{""stimulus"":""img/2to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","6","17426","0.0-5.0-1.1","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","null","","","","observe","","img/1to3/1.png","null","224","218","0.5","0.5","1","3","",""
"animation","7","18719","0.0-5.0-2.1","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":105},{""stimulus"":""img/1to3/2.png"",""time"":201},{""stimulus"":""img/1to3/3.png"",""time"":301},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":497},{""stimulus"":""img/1to3/6.png"",""time"":600},{""stimulus"":""img/1to3/7.png"",""time"":695},{""stimulus"":""img/1to3/8.png"",""time"":797},{""stimulus"":""img/1to3/9.png"",""time"":894},{""stimulus"":""img/1to3/10.png"",""time"":990},{""stimulus"":""img/1to3/11.png"",""time"":1095},{""stimulus"":""img/1to3/12.png"",""time"":1192}]","[]"
"image-keyboard-response","8","19562","0.0-5.0-1.2","5f5691fb24d1090e6bcdf1ec","bdp_cybrbll","Sat Mar 25 2023 09:33:54 GMT-0500 (Central Daylight Time)","410055","1","3","","null","","","","observe","","img/3to2/1.png","null","223","840","0.5","0.5","3","2","",""
