"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","3","0.0-0.0","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","","","","","","","","","","","","","","","",""
"instructions","1","912","0.0-1.0","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","[{""page_index"":0,""viewing_time"":907}]","907","","","","","","","","","","","","","","",""
"","","","","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","","fullscreenenter","2","3039","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","4033","0.0-2.0","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","","","","","","true","","","","","","","","","",""
"instructions","3","30184","0.0-4.0","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","[{""page_index"":0,""viewing_time"":26150}]","26150","","","","","","","","","","","","","","",""
"image-keyboard-response","4","31590","0.0-5.0-1.0","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","1402","","","","choice","","img/2to1/1.png","1","225","382","0.5","0.5","2","1","",""
"animation","5","32885","0.0-5.0-2.0","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":210},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":402},{""stimulus"":""img/2to1/5.png"",""time"":507},{""stimulus"":""img/2to1/6.png"",""time"":598},{""stimulus"":""img/2to1/7.png"",""time"":697},{""stimulus"":""img/2to1/8.png"",""time"":803},{""stimulus"":""img/2to1/9.png"",""time"":896},{""stimulus"":""img/2to1/10.png"",""time"":1000},{""stimulus"":""img/2to1/11.png"",""time"":1098},{""stimulus"":""img/2to1/12.png"",""time"":1191}]","[]"
"image-keyboard-response","6","33050","0.0-5.0-1.1","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","null","","","","observe","","img/1to3/1.png","null","224","157","0.5","0.5","1","2","",""
"animation","7","34344","0.0-5.0-2.1","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":208},{""stimulus"":""img/1to2/3.png"",""time"":301},{""stimulus"":""img/1to2/4.png"",""time"":406},{""stimulus"":""img/1to2/5.png"",""time"":502},{""stimulus"":""img/1to2/6.png"",""time"":597},{""stimulus"":""img/1to2/7.png"",""time"":702},{""stimulus"":""img/1to2/8.png"",""time"":795},{""stimulus"":""img/1to2/9.png"",""time"":899},{""stimulus"":""img/1to2/10.png"",""time"":998},{""stimulus"":""img/1to2/11.png"",""time"":1091},{""stimulus"":""img/1to2/12.png"",""time"":1195}]","[]"
"image-keyboard-response","8","34473","0.0-5.0-1.2","614fe09fec9ce4a2a415476d","bdp_cybrbll","Tue Mar 28 2023 05:50:36 GMT-0500 (Central Daylight Time)","441796","3","1","","128","","","","choice","","img/2to1/1.png","1","223","285","0.5","0.5","2","1","",""
