"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","4315","0.0-1.0","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","[{""page_index"":0,""viewing_time"":4312}]","4312","","","","","","","","","","","","","","",""
"","","","","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","fullscreenenter","2","9232","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","10222","0.0-2.0","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","40176","0.0-4.0","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","[{""page_index"":0,""viewing_time"":29953}]","29953","","","","","","","","","","","","","","",""
"image-keyboard-response","4","42569","0.0-5.0-1.0","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","2391","","","","choice","","img/2to1/1.png","2","225","292","0.5","0.5","2","3","",""
"animation","5","43857","0.0-5.0-2.0","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":101},{""stimulus"":""img/2to3/2.png"",""time"":201},{""stimulus"":""img/2to3/3.png"",""time"":301},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":597},{""stimulus"":""img/2to3/7.png"",""time"":697},{""stimulus"":""img/2to3/8.png"",""time"":793},{""stimulus"":""img/2to3/9.png"",""time"":893},{""stimulus"":""img/2to3/10.png"",""time"":993},{""stimulus"":""img/2to3/11.png"",""time"":1092},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","6","44194","0.0-5.0-1.1","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","null","","","","observe","","img/3to2/1.png","null","224","335","0.5","0.5","3","2","",""
"animation","7","45482","0.0-5.0-2.1","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","","","","224","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":100},{""stimulus"":""img/3to2/2.png"",""time"":200},{""stimulus"":""img/3to2/3.png"",""time"":300},{""stimulus"":""img/3to2/4.png"",""time"":400},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":596},{""stimulus"":""img/3to2/7.png"",""time"":695},{""stimulus"":""img/3to2/8.png"",""time"":796},{""stimulus"":""img/3to2/9.png"",""time"":892},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1092},{""stimulus"":""img/3to2/12.png"",""time"":1191}]","[]"
"image-keyboard-response","8","46830","0.0-5.0-1.2","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","1348","","","","choice","","img/2to1/1.png","1","223","1175","0.5","0.5","2","1","",""
"animation","9","48117","0.0-5.0-2.2","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","","","","223","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":299},{""stimulus"":""img/2to1/4.png"",""time"":400},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":596},{""stimulus"":""img/2to1/7.png"",""time"":696},{""stimulus"":""img/2to1/8.png"",""time"":796},{""stimulus"":""img/2to1/9.png"",""time"":895},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1092},{""stimulus"":""img/2to1/12.png"",""time"":1192}]","[]"
"image-keyboard-response","10","48766","0.0-5.0-1.3","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","null","","","","observe","","img/1to3/1.png","null","222","647","0.5","0.5","1","2","",""
"animation","11","50057","0.0-5.0-2.3","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","","","","222","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":104},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":300},{""stimulus"":""img/1to2/4.png"",""time"":400},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":695},{""stimulus"":""img/1to2/8.png"",""time"":796},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":992},{""stimulus"":""img/1to2/11.png"",""time"":1092},{""stimulus"":""img/1to2/12.png"",""time"":1192}]","[]"
"image-keyboard-response","12","52304","0.0-5.0-1.4","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","2247","","","","choice","","img/2to1/1.png","2","221","216","0.5","0.5","2","3","",""
"animation","13","53593","0.0-5.0-2.4","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","","","","","","","","","221","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":102},{""stimulus"":""img/2to3/2.png"",""time"":202},{""stimulus"":""img/2to3/3.png"",""time"":298},{""stimulus"":""img/2to3/4.png"",""time"":398},{""stimulus"":""img/2to3/5.png"",""time"":497},{""stimulus"":""img/2to3/6.png"",""time"":597},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":794},{""stimulus"":""img/2to3/9.png"",""time"":894},{""stimulus"":""img/2to3/10.png"",""time"":993},{""stimulus"":""img/2to3/11.png"",""time"":1090},{""stimulus"":""img/2to3/12.png"",""time"":1190}]","[]"
"image-keyboard-response","14","54054","0.0-5.0-1.5","628dec55823f672331c68577","bdp_cybrbll","Sat Mar 25 2023 23:34:22 GMT-0400 (Eastern Daylight Time)","458334","1","3","","null","","","","observe","","img/3to2/1.png","null","220","458","0.5","0.5","3","1","",""
