"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","3","0.0-0.0","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","2374","0.0-1.0","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","[{""page_index"":0,""viewing_time"":2370}]","2370","","","","","","","","","","","","","","",""
"","","","","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","fullscreenenter","2","3672","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","4665","0.0-2.0","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","44358","0.0-4.0","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","[{""page_index"":0,""viewing_time"":39691}]","39692","","","","","","","","","","","","","","",""
"image-keyboard-response","4","46325","0.0-5.0-1.0","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","1966","","","","choice","","img/2to1/1.png","1","225","509","0.5","0.5","2","1","",""
"animation","5","47615","0.0-5.0-2.0","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":108},{""stimulus"":""img/2to1/2.png"",""time"":203},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":408},{""stimulus"":""img/2to1/5.png"",""time"":502},{""stimulus"":""img/2to1/6.png"",""time"":598},{""stimulus"":""img/2to1/7.png"",""time"":707},{""stimulus"":""img/2to1/8.png"",""time"":793},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","6","48118","0.0-5.0-1.1","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","null","","","","observe","","img/1to3/1.png","null","224","501","0.5","0.5","1","2","",""
"animation","7","49406","0.0-5.0-2.1","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":102},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":307},{""stimulus"":""img/1to2/4.png"",""time"":402},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":605},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":797},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":1002},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","8","49621","0.0-5.0-1.2","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","215","","","","choice","","img/2to1/1.png","2","223","675","0.5","0.5","2","3","",""
"animation","9","50914","0.0-5.0-2.2","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":112},{""stimulus"":""img/2to3/2.png"",""time"":207},{""stimulus"":""img/2to3/3.png"",""time"":302},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":595},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":806},{""stimulus"":""img/2to3/9.png"",""time"":899},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1103},{""stimulus"":""img/2to3/12.png"",""time"":1190}]","[]"
"image-keyboard-response","10","51279","0.0-5.0-1.3","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","null","","","","observe","","img/3to2/1.png","null","222","356","0.5","0.5","3","2","",""
"animation","11","52569","0.0-5.0-2.3","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","222","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":113},{""stimulus"":""img/3to2/2.png"",""time"":206},{""stimulus"":""img/3to2/3.png"",""time"":299},{""stimulus"":""img/3to2/4.png"",""time"":412},{""stimulus"":""img/3to2/5.png"",""time"":505},{""stimulus"":""img/3to2/6.png"",""time"":601},{""stimulus"":""img/3to2/7.png"",""time"":709},{""stimulus"":""img/3to2/8.png"",""time"":803},{""stimulus"":""img/3to2/9.png"",""time"":897},{""stimulus"":""img/3to2/10.png"",""time"":991},{""stimulus"":""img/3to2/11.png"",""time"":1090},{""stimulus"":""img/3to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","12","52661","0.0-5.0-1.4","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","91","","","","choice","","img/2to1/1.png","1","221","989","0.5","0.5","2","1","",""
"animation","13","53950","0.0-5.0-2.4","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","221","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":115},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":306},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":799},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","14","54310","0.0-5.0-1.5","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","null","","","","observe","","img/1to3/1.png","null","220","359","0.5","0.5","1","2","",""
"animation","15","55597","0.0-5.0-2.5","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","220","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":115},{""stimulus"":""img/1to2/2.png"",""time"":211},{""stimulus"":""img/1to2/3.png"",""time"":297},{""stimulus"":""img/1to2/4.png"",""time"":397},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":605},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1203}]","[]"
"image-keyboard-response","16","56429","0.0-5.0-1.6","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","831","","","","choice","","img/2to1/1.png","2","219","270","0.5","0.5","2","3","",""
"animation","17","57718","0.0-5.0-2.6","63174f52c207f299e8f8dc08","bdp_cybrbll","Sun Apr 09 2023 19:22:14 GMT-0400 (Eastern Daylight Time)","441242","1","3","","","","","","","","","","219","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":113},{""stimulus"":""img/2to3/2.png"",""time"":209},{""stimulus"":""img/2to3/3.png"",""time"":303},{""stimulus"":""img/2to3/4.png"",""time"":396},{""stimulus"":""img/2to3/5.png"",""time"":495},{""stimulus"":""img/2to3/6.png"",""time"":604},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":792},{""stimulus"":""img/2to3/9.png"",""time"":891},{""stimulus"":""img/2to3/10.png"",""time"":990},{""stimulus"":""img/2to3/11.png"",""time"":1094},{""stimulus"":""img/2to3/12.png"",""time"":1190}]","[]"
