"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","6","0.0-0.0","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","","","","","","","",""
"instructions","1","3237","0.0-1.0","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","[{""page_index"":0,""viewing_time"":3230}]","3230","","","","","","","","","","","","","","",""
"","","","","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","fullscreenenter","2","4707","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5691","0.0-2.0","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","true","","","","","","","","","",""
"instructions","3","59021","0.0-4.0","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","[{""page_index"":0,""viewing_time"":53330}]","53330","","","","","","","","","","","","","","",""
"image-keyboard-response","4","72780","0.0-5.0-1.0","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","13757","","","","choice","","img/2to1/1.png","1","225","291","0.5","0.5","2","1","",""
"animation","5","74069","0.0-5.0-2.0","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":99},{""stimulus"":""img/2to1/2.png"",""time"":198},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":396},{""stimulus"":""img/2to1/5.png"",""time"":495},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":792},{""stimulus"":""img/2to1/9.png"",""time"":891},{""stimulus"":""img/2to1/10.png"",""time"":990},{""stimulus"":""img/2to1/11.png"",""time"":1089},{""stimulus"":""img/2to1/12.png"",""time"":1188}]","[]"
"image-keyboard-response","6","74321","0.0-5.0-1.1","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","null","","","","observe","","img/1to3/1.png","null","224","251","0.5","0.5","1","2","",""
"animation","7","75609","0.0-5.0-2.1","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":100},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":397},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":992},{""stimulus"":""img/1to2/11.png"",""time"":1089},{""stimulus"":""img/1to2/12.png"",""time"":1190}]","[]"
"image-keyboard-response","8","75946","0.0-5.0-1.2","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","337","","","","choice","","img/2to1/1.png","2","223","499","0.5","0.5","2","3","",""
"animation","9","77234","0.0-5.0-2.2","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":99},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":297},{""stimulus"":""img/2to3/4.png"",""time"":396},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":607},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":793},{""stimulus"":""img/2to3/9.png"",""time"":893},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1089},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","10","77539","0.0-5.0-1.3","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","null","","","","observe","","img/3to2/1.png","null","222","304","0.5","0.5","3","1","",""
"animation","11","78826","0.0-5.0-2.3","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","222","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":100},{""stimulus"":""img/3to1/2.png"",""time"":199},{""stimulus"":""img/3to1/3.png"",""time"":298},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":594},{""stimulus"":""img/3to1/7.png"",""time"":693},{""stimulus"":""img/3to1/8.png"",""time"":792},{""stimulus"":""img/3to1/9.png"",""time"":891},{""stimulus"":""img/3to1/10.png"",""time"":990},{""stimulus"":""img/3to1/11.png"",""time"":1089},{""stimulus"":""img/3to1/12.png"",""time"":1188}]","[]"
"image-keyboard-response","12","79105","0.0-5.0-1.4","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","null","","","","observe","","img/1to3/1.png","null","221","278","0.5","0.5","1","2","",""
"animation","13","80393","0.0-5.0-2.4","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","221","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":101},{""stimulus"":""img/1to2/2.png"",""time"":200},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":398},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":794},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","14","81027","0.0-5.0-1.5","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","634","","","","choice","","img/2to1/1.png","1","220","265","0.5","0.5","2","1","",""
"animation","15","82315","0.0-5.0-2.5","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","","","","","","","","","220","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":198},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":396},{""stimulus"":""img/2to1/5.png"",""time"":495},{""stimulus"":""img/2to1/6.png"",""time"":594},{""stimulus"":""img/2to1/7.png"",""time"":693},{""stimulus"":""img/2to1/8.png"",""time"":792},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","16","82561","0.0-5.0-1.6","63356ce6be65e7962bfc424d","bdp_cybrbll","Mon Apr 03 2023 21:13:29 GMT-0500 (Central Daylight Time)","474931","3","1","","null","","","","observe","","img/1to3/1.png","null","219","245","0.5","0.5","1","2","",""
