"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","5831","0.0-1.0","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","[{""page_index"":0,""viewing_time"":5828}]","5829","","","","","","","","","","","","","","",""
"","","","","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","fullscreenenter","2","10212","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","11206","0.0-2.0","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","93379","0.0-4.0","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","[{""page_index"":0,""viewing_time"":82171}]","82171","","","","","","","","","","","","","","",""
"image-keyboard-response","4","97660","0.0-5.0-1.0","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","4279","","","","choice","","img/2to1/1.png","1","225","399","0.5","0.5","2","1","",""
"animation","5","98953","0.0-5.0-2.0","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":306},{""stimulus"":""img/2to1/4.png"",""time"":399},{""stimulus"":""img/2to1/5.png"",""time"":507},{""stimulus"":""img/2to1/6.png"",""time"":599},{""stimulus"":""img/2to1/7.png"",""time"":706},{""stimulus"":""img/2to1/8.png"",""time"":798},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":999},{""stimulus"":""img/2to1/11.png"",""time"":1092},{""stimulus"":""img/2to1/12.png"",""time"":1200}]","[]"
"image-keyboard-response","6","99289","0.0-5.0-1.1","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","null","","","","observe","","img/1to3/1.png","null","224","333","0.5","0.5","1","3","",""
"animation","7","100585","0.0-5.0-2.1","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":200},{""stimulus"":""img/1to3/3.png"",""time"":307},{""stimulus"":""img/1to3/4.png"",""time"":400},{""stimulus"":""img/1to3/5.png"",""time"":508},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":695},{""stimulus"":""img/1to3/8.png"",""time"":802},{""stimulus"":""img/1to3/9.png"",""time"":893},{""stimulus"":""img/1to3/10.png"",""time"":1003},{""stimulus"":""img/1to3/11.png"",""time"":1090},{""stimulus"":""img/1to3/12.png"",""time"":1203}]","[]"
"image-keyboard-response","8","100876","0.0-5.0-1.2","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","null","","","","observe","","img/3to2/1.png","null","223","281","0.5","0.5","3","2","",""
"animation","9","102167","0.0-5.0-2.2","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","","","","","","","","223","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":108},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":307},{""stimulus"":""img/3to2/4.png"",""time"":399},{""stimulus"":""img/3to2/5.png"",""time"":506},{""stimulus"":""img/3to2/6.png"",""time"":598},{""stimulus"":""img/3to2/7.png"",""time"":706},{""stimulus"":""img/3to2/8.png"",""time"":798},{""stimulus"":""img/3to2/9.png"",""time"":906},{""stimulus"":""img/3to2/10.png"",""time"":998},{""stimulus"":""img/3to2/11.png"",""time"":1091},{""stimulus"":""img/3to2/12.png"",""time"":1199}]","[]"
"image-keyboard-response","10","102489","0.0-5.0-1.3","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","321","","","","choice","","img/2to1/1.png","2","222","234","0.5","0.5","2","3","",""
"animation","11","103783","0.0-5.0-2.3","63bd8be8f8c532da7bb5431e","bdp_cybrbll","Sun Mar 26 2023 03:32:42 GMT-0400 (Eastern Daylight Time)","501360","1","3","","","","","","","","","","222","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":306},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":507},{""stimulus"":""img/2to3/6.png"",""time"":600},{""stimulus"":""img/2to3/7.png"",""time"":708},{""stimulus"":""img/2to3/8.png"",""time"":793},{""stimulus"":""img/2to3/9.png"",""time"":893},{""stimulus"":""img/2to3/10.png"",""time"":1002},{""stimulus"":""img/2to3/11.png"",""time"":1095},{""stimulus"":""img/2to3/12.png"",""time"":1202}]","[]"
