"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","5","0.0-0.0","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","","","","","","","","","","","","","","","",""
"instructions","1","107834","0.0-1.0","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","[{""page_index"":0,""viewing_time"":107827}]","107827","","","","","","","","","","","","","","",""
"","","","","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","","fullscreenenter","2","111335","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","112301","0.0-2.0","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","","","","","","true","","","","","","","","","",""
"instructions","3","122022","0.0-4.0","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","[{""page_index"":0,""viewing_time"":9719}]","9719","","","","","","","","","","","","","","",""
"image-keyboard-response","4","123365","0.0-5.0-1.0","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","1337","","","","choice","","img/2to1/1.png","1","225","359","0.5","0.5","2","1","",""
"animation","5","124656","0.0-5.0-2.0","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":104},{""stimulus"":""img/2to1/2.png"",""time"":204},{""stimulus"":""img/2to1/3.png"",""time"":313},{""stimulus"":""img/2to1/4.png"",""time"":402},{""stimulus"":""img/2to1/5.png"",""time"":499},{""stimulus"":""img/2to1/6.png"",""time"":596},{""stimulus"":""img/2to1/7.png"",""time"":710},{""stimulus"":""img/2to1/8.png"",""time"":798},{""stimulus"":""img/2to1/9.png"",""time"":895},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1097},{""stimulus"":""img/2to1/12.png"",""time"":1194}]","[]"
"image-keyboard-response","6","124958","0.0-5.0-1.1","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","null","","","","observe","","img/1to3/1.png","null","224","292","0.5","0.5","1","3","",""
"animation","7","126247","0.0-5.0-2.1","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":107},{""stimulus"":""img/1to3/2.png"",""time"":204},{""stimulus"":""img/1to3/3.png"",""time"":302},{""stimulus"":""img/1to3/4.png"",""time"":398},{""stimulus"":""img/1to3/5.png"",""time"":503},{""stimulus"":""img/1to3/6.png"",""time"":599},{""stimulus"":""img/1to3/7.png"",""time"":698},{""stimulus"":""img/1to3/8.png"",""time"":796},{""stimulus"":""img/1to3/9.png"",""time"":892},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1097},{""stimulus"":""img/1to3/12.png"",""time"":1193}]","[]"
"image-keyboard-response","8","126541","0.0-5.0-1.2","63d12f8c48b235842187c959","bdp_cybrbll","Mon Mar 27 2023 19:49:23 GMT-0500 (Central Daylight Time)","540949","3","1","","null","","","","observe","","img/3to2/1.png","null","223","286","0.5","0.5","3","1","",""
