"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","3","0.0-0.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","","","","","","","",""
"instructions","1","4472","0.0-1.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","[{""page_index"":0,""viewing_time"":4468}]","4469","","","","","","","","","","","","","","","",""
"","","","","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","fullscreenenter","2","6996","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","7993","0.0-2.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","true","","","","","","","","","","",""
"","","","","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","blur","3","308086","blurevent","","1","","","","","","","","","",""
"","","","","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","focus","3","343434","focusevent","","","","","","","","","","","",""
"instructions","3","360216","0.0-4.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","[{""page_index"":0,""viewing_time"":352222}]","352222","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","371242","0.0-5.0-0.0-0.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","11022","","","","blurwarn","","1","","49","","","","","","","",""
"image-keyboard-response","5","373923","0.0-5.0-1.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","2428","","","","choice","","","img/2to1/1.png","1","225","325","0.5","0.5","2","1","",""
"animation","6","375212","0.0-5.0-2.0","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":695},{""stimulus"":""img/2to1/8.png"",""time"":794},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":993},{""stimulus"":""img/2to1/11.png"",""time"":1091},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","7","375532","0.0-5.0-1.1","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/1to3/1.png","null","224","319","0.5","0.5","1","3","",""
"animation","8","376820","0.0-5.0-2.1","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":99},{""stimulus"":""img/1to3/2.png"",""time"":199},{""stimulus"":""img/1to3/3.png"",""time"":298},{""stimulus"":""img/1to3/4.png"",""time"":396},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":693},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":892},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1090},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","9","377714","0.0-5.0-1.2","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/3to2/1.png","null","223","892","0.5","0.5","3","2","",""
