"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","3","0.0-0.0","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","3928","0.0-1.0","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","[{""page_index"":0,""viewing_time"":3925}]","3925","","","","","","","","","","","","","","",""
"","","","","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","","fullscreenenter","2","6383","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","7335","0.0-2.0","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","44298","0.0-4.0","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","[{""page_index"":0,""viewing_time"":36961}]","36961","","","","","","","","","","","","","","",""
"image-keyboard-response","4","45277","0.0-5.0-1.0","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","974","","","","choice","","img/2to1/1.png","2","225","599","0.5","0.5","2","3","",""
"animation","5","46567","0.0-5.0-2.0","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","","","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":107},{""stimulus"":""img/2to3/2.png"",""time"":202},{""stimulus"":""img/2to3/3.png"",""time"":306},{""stimulus"":""img/2to3/4.png"",""time"":402},{""stimulus"":""img/2to3/5.png"",""time"":498},{""stimulus"":""img/2to3/6.png"",""time"":602},{""stimulus"":""img/2to3/7.png"",""time"":697},{""stimulus"":""img/2to3/8.png"",""time"":794},{""stimulus"":""img/2to3/9.png"",""time"":898},{""stimulus"":""img/2to3/10.png"",""time"":994},{""stimulus"":""img/2to3/11.png"",""time"":1098},{""stimulus"":""img/2to3/12.png"",""time"":1194}]","[]"
"image-keyboard-response","6","48048","0.0-5.0-1.1","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","null","","","","observe","","img/3to2/1.png","null","224","1472","0.5","0.5","3","2","",""
"animation","7","49344","0.0-5.0-2.1","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","","","","","","","","","224","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":104},{""stimulus"":""img/3to2/2.png"",""time"":200},{""stimulus"":""img/3to2/3.png"",""time"":304},{""stimulus"":""img/3to2/4.png"",""time"":400},{""stimulus"":""img/3to2/5.png"",""time"":504},{""stimulus"":""img/3to2/6.png"",""time"":600},{""stimulus"":""img/3to2/7.png"",""time"":696},{""stimulus"":""img/3to2/8.png"",""time"":800},{""stimulus"":""img/3to2/9.png"",""time"":895},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1096},{""stimulus"":""img/3to2/12.png"",""time"":1192}]","[]"
"image-keyboard-response","8","50023","0.0-5.0-1.2","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","677","","","","choice","","img/2to1/1.png","1","223","254","0.5","0.5","2","1","",""
"animation","9","51311","0.0-5.0-2.2","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","","","","","","","","","223","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":201},{""stimulus"":""img/2to1/3.png"",""time"":305},{""stimulus"":""img/2to1/4.png"",""time"":401},{""stimulus"":""img/2to1/5.png"",""time"":497},{""stimulus"":""img/2to1/6.png"",""time"":601},{""stimulus"":""img/2to1/7.png"",""time"":697},{""stimulus"":""img/2to1/8.png"",""time"":801},{""stimulus"":""img/2to1/9.png"",""time"":896},{""stimulus"":""img/2to1/10.png"",""time"":993},{""stimulus"":""img/2to1/11.png"",""time"":1097},{""stimulus"":""img/2to1/12.png"",""time"":1193}]","[]"
"image-keyboard-response","10","53175","0.0-5.0-1.3","63d6873b65a6170d64a652f6","bdp_cybrbll","Fri Mar 24 2023 18:12:36 GMT-0500 (Central Daylight Time)","460064","1","3","","null","","","","observe","","img/1to3/1.png","null","222","1861","0.5","0.5","1","2","",""
