"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"blur","0","0","blurevent","1","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","","","","","","","","","","","","","","","","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","",""
"focus","1","1018","focusevent","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","","","","","","","","","","","","","","","","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","instructions","1","2417","0.0-1.0","[{""page_index"":0,""viewing_time"":2412}]","2412","","","","","","","","","","",""
"fullscreenenter","2","4523","fullscreenenter","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","","","","","","","","","","","","","","","","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","fullscreen","2","5501","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","instructions","3","40524","0.0-4.0","[{""page_index"":0,""viewing_time"":35022}]","35022","","","","","","","","","","",""
"","","","blurwarn","1","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","4","50173","0.0-5.0-0.0-0.0","","9648","","","49","","","","","","","",""
"","","","choice","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","5","53032","0.0-5.0-1.0","","2597","","img/2to1/1.png","1","225","292","0.5","0.5","2","1","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","animation","6","54321","0.0-5.0-2.0","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":102},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":302},{""stimulus"":""img/2to1/4.png"",""time"":412},{""stimulus"":""img/2to1/5.png"",""time"":507},{""stimulus"":""img/2to1/6.png"",""time"":603},{""stimulus"":""img/2to1/7.png"",""time"":697},{""stimulus"":""img/2to1/8.png"",""time"":807},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":992},{""stimulus"":""img/2to1/11.png"",""time"":1091},{""stimulus"":""img/2to1/12.png"",""time"":1203}]","[]"
"","","","observe","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","7","54673","0.0-5.0-1.1","","null","","img/1to3/1.png","null","224","350","0.5","0.5","1","3","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","animation","8","55961","0.0-5.0-2.1","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":113},{""stimulus"":""img/1to3/2.png"",""time"":199},{""stimulus"":""img/1to3/3.png"",""time"":298},{""stimulus"":""img/1to3/4.png"",""time"":398},{""stimulus"":""img/1to3/5.png"",""time"":504},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":803},{""stimulus"":""img/1to3/9.png"",""time"":893},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1104},{""stimulus"":""img/1to3/12.png"",""time"":1198}]","[]"
"","","","observe","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","9","56835","0.0-5.0-1.2","","null","","img/3to2/1.png","null","223","871","0.5","0.5","3","2","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","animation","10","58135","0.0-5.0-2.2","","","","","","223","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":111},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":298},{""stimulus"":""img/3to2/4.png"",""time"":398},{""stimulus"":""img/3to2/5.png"",""time"":508},{""stimulus"":""img/3to2/6.png"",""time"":603},{""stimulus"":""img/3to2/7.png"",""time"":699},{""stimulus"":""img/3to2/8.png"",""time"":793},{""stimulus"":""img/3to2/9.png"",""time"":892},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1094},{""stimulus"":""img/3to2/12.png"",""time"":1189}]","[]"
"","","","choice","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","11","58473","0.0-5.0-1.3","","338","","img/2to1/1.png","1","222","835","0.5","0.5","2","1","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","animation","12","59761","0.0-5.0-2.3","","","","","","222","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":202},{""stimulus"":""img/2to1/3.png"",""time"":313},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":708},{""stimulus"":""img/2to1/8.png"",""time"":793},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":994},{""stimulus"":""img/2to1/11.png"",""time"":1089},{""stimulus"":""img/2to1/12.png"",""time"":1201}]","[]"
"","","","observe","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","13","60007","0.0-5.0-1.4","","null","","img/1to3/1.png","null","221","246","0.5","0.5","1","2","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","animation","14","61296","0.0-5.0-2.4","","","","","","221","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":107},{""stimulus"":""img/1to2/2.png"",""time"":200},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":398},{""stimulus"":""img/1to2/5.png"",""time"":497},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":696},{""stimulus"":""img/1to2/8.png"",""time"":808},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":996},{""stimulus"":""img/1to2/11.png"",""time"":1092},{""stimulus"":""img/1to2/12.png"",""time"":1203}]","[]"
"","","","choice","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","image-keyboard-response","15","61611","0.0-5.0-1.5","","315","","img/2to1/1.png","2","220","285","0.5","0.5","2","3","",""
"","","","","","63d7a0c6fe36d852418ac97a","bdp_cybrbll","Tue Mar 28 2023 15:55:13 GMT-0400 (Eastern Daylight Time)","443807","1","3","animation","16","62898","0.0-5.0-2.5","","","","","","220","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":311},{""stimulus"":""img/2to3/4.png"",""time"":407},{""stimulus"":""img/2to3/5.png"",""time"":502},{""stimulus"":""img/2to3/6.png"",""time"":598},{""stimulus"":""img/2to3/7.png"",""time"":708},{""stimulus"":""img/2to3/8.png"",""time"":804},{""stimulus"":""img/2to3/9.png"",""time"":900},{""stimulus"":""img/2to3/10.png"",""time"":990},{""stimulus"":""img/2to3/11.png"",""time"":1090},{""stimulus"":""img/2to3/12.png"",""time"":1202}]","[]"
