"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","1","0.0-0.0","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","3485","0.0-1.0","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","[{""page_index"":0,""viewing_time"":3483}]","3483","","","","","","","","","","","","","","",""
"","","","","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","fullscreenenter","2","5537","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","6536","0.0-2.0","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","36184","0.0-4.0","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","[{""page_index"":0,""viewing_time"":29647}]","29647","","","","","","","","","","","","","","",""
"image-keyboard-response","4","38003","0.0-5.0-1.0","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","1819","","","","choice","","img/2to1/1.png","1","225","1189","0.5","0.5","2","1","",""
"animation","5","39291","0.0-5.0-2.0","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":198},{""stimulus"":""img/2to1/3.png"",""time"":307},{""stimulus"":""img/2to1/4.png"",""time"":400},{""stimulus"":""img/2to1/5.png"",""time"":508},{""stimulus"":""img/2to1/6.png"",""time"":602},{""stimulus"":""img/2to1/7.png"",""time"":695},{""stimulus"":""img/2to1/8.png"",""time"":803},{""stimulus"":""img/2to1/9.png"",""time"":896},{""stimulus"":""img/2to1/10.png"",""time"":1005},{""stimulus"":""img/2to1/11.png"",""time"":1098},{""stimulus"":""img/2to1/12.png"",""time"":1188}]","[]"
"image-keyboard-response","6","40128","0.0-5.0-1.1","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","null","","","","observe","","img/1to3/1.png","null","224","836","0.5","0.5","1","2","",""
"animation","7","41416","0.0-5.0-2.1","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":105},{""stimulus"":""img/1to2/2.png"",""time"":213},{""stimulus"":""img/1to2/3.png"",""time"":297},{""stimulus"":""img/1to2/4.png"",""time"":399},{""stimulus"":""img/1to2/5.png"",""time"":508},{""stimulus"":""img/1to2/6.png"",""time"":594},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":803},{""stimulus"":""img/1to2/9.png"",""time"":896},{""stimulus"":""img/1to2/10.png"",""time"":1004},{""stimulus"":""img/1to2/11.png"",""time"":1089},{""stimulus"":""img/1to2/12.png"",""time"":1188}]","[]"
"image-keyboard-response","8","42166","0.0-5.0-1.2","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","750","","","","choice","","img/2to1/1.png","2","223","764","0.5","0.5","2","3","",""
"animation","9","43454","0.0-5.0-2.2","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":114},{""stimulus"":""img/2to3/2.png"",""time"":207},{""stimulus"":""img/2to3/3.png"",""time"":300},{""stimulus"":""img/2to3/4.png"",""time"":409},{""stimulus"":""img/2to3/5.png"",""time"":502},{""stimulus"":""img/2to3/6.png"",""time"":595},{""stimulus"":""img/2to3/7.png"",""time"":704},{""stimulus"":""img/2to3/8.png"",""time"":797},{""stimulus"":""img/2to3/9.png"",""time"":906},{""stimulus"":""img/2to3/10.png"",""time"":999},{""stimulus"":""img/2to3/11.png"",""time"":1092},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","10","44669","0.0-5.0-1.3","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","null","","","","observe","","img/3to2/1.png","null","222","1199","0.5","0.5","3","1","",""
"animation","11","45957","0.0-5.0-2.3","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","","","","222","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":201},{""stimulus"":""img/3to1/3.png"",""time"":297},{""stimulus"":""img/3to1/4.png"",""time"":396},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":605},{""stimulus"":""img/3to1/7.png"",""time"":694},{""stimulus"":""img/3to1/8.png"",""time"":806},{""stimulus"":""img/3to1/9.png"",""time"":892},{""stimulus"":""img/3to1/10.png"",""time"":991},{""stimulus"":""img/3to1/11.png"",""time"":1090},{""stimulus"":""img/3to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","12","46266","0.0-5.0-1.4","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","null","","","","observe","","img/1to3/1.png","null","221","298","0.5","0.5","1","3","",""
"animation","13","47568","0.0-5.0-2.4","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","","","","","","","","","221","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":198},{""stimulus"":""img/1to3/3.png"",""time"":310},{""stimulus"":""img/1to3/4.png"",""time"":396},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":605},{""stimulus"":""img/1to3/7.png"",""time"":693},{""stimulus"":""img/1to3/8.png"",""time"":792},{""stimulus"":""img/1to3/9.png"",""time"":891},{""stimulus"":""img/1to3/10.png"",""time"":992},{""stimulus"":""img/1to3/11.png"",""time"":1089},{""stimulus"":""img/1to3/12.png"",""time"":1188}]","[]"
"image-keyboard-response","14","47880","0.0-5.0-1.5","63f93d2de413ad49cf0dbff1","bdp_cybrbll","Mon Mar 27 2023 10:39:50 GMT-0700 (Pacific Daylight Time)","434154","1","3","","null","","","","observe","","img/3to2/1.png","null","220","311","0.5","0.5","3","2","",""
