"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","6","0.0-0.0","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","","","","","","","","","","","","","","","",""
"instructions","1","2708","0.0-1.0","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","[{""page_index"":0,""viewing_time"":2701}]","2701","","","","","","","","","","","","","","",""
"","","","","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","","fullscreenenter","2","5550","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","6489","0.0-2.0","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","","","","","","true","","","","","","","","","",""
"instructions","3","42588","0.0-4.0","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","[{""page_index"":0,""viewing_time"":36098}]","36098","","","","","","","","","","","","","","",""
"image-keyboard-response","4","48593","0.0-5.0-1.0","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","6002","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","49202","0.0-5.0-2.0","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":56},{""stimulus"":""img/green_wl/2.jpg"",""time"":104},{""stimulus"":""img/green_wl/3.jpg"",""time"":152},{""stimulus"":""img/green_wl/4.jpg"",""time"":208},{""stimulus"":""img/green_wl/5.jpg"",""time"":256},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":352},{""stimulus"":""img/green_wl/8.jpg"",""time"":408},{""stimulus"":""img/green_wl/9.jpg"",""time"":456},{""stimulus"":""img/green_wl/10.jpg"",""time"":504},{""stimulus"":""img/green_wl/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","6","50944","0.0-5.0-1.1","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","1742","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","51553","0.0-5.0-2.1","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":57},{""stimulus"":""img/green_wl/2.jpg"",""time"":105},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":209},{""stimulus"":""img/green_wl/5.jpg"",""time"":257},{""stimulus"":""img/green_wl/6.jpg"",""time"":305},{""stimulus"":""img/green_wl/7.jpg"",""time"":353},{""stimulus"":""img/green_wl/8.jpg"",""time"":409},{""stimulus"":""img/green_wl/9.jpg"",""time"":457},{""stimulus"":""img/green_wl/10.jpg"",""time"":505},{""stimulus"":""img/green_wl/11.jpg"",""time"":553}]","[]"
"image-keyboard-response","8","52883","0.0-5.0-1.2","58016c9f551314000145af58","bdp_lott","Fri Mar 24 2023 19:31:57 GMT-0400 (Eastern Daylight Time)","334196","red","green","","1329","","","","choice","","img/green_wl/choose11.jpg","1","223","green","0.5","0.5","0.5","l","",""
