"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses","numBlurs"
"focus","0","0","focusevent","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","","","","","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","pavlovia","0","35","0.0-0.0","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","instructions","1","6719","0.0-1.0","[{""page_index"":0,""viewing_time"":6683}]","6683","","","","","","","","","","","",""
"fullscreenexit","2","11324","fullscreenexit","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","","","","","","","","","","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","fullscreen","2","12081","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","image-keyboard-response","3","16582","0.0-3.0-0.0","","4497","","","32","","","","","","","","",""
"","","","","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","instructions","4","96038","0.0-4.0","[{""page_index"":0,""viewing_time"":79185}]","79186","","","","","","","","","","","",""
"","","","choice","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","image-keyboard-response","5","97960","0.0-5.0-1.0","","1919","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","","",""
"","","","","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","animation","6","98695","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":63},{""stimulus"":""img/green_wl/2.jpg"",""time"":120},{""stimulus"":""img/green_wl/3.jpg"",""time"":181},{""stimulus"":""img/green_wl/4.jpg"",""time"":246},{""stimulus"":""img/green_wl/5.jpg"",""time"":306},{""stimulus"":""img/green_wl/6.jpg"",""time"":366},{""stimulus"":""img/green_wl/7.jpg"",""time"":429},{""stimulus"":""img/green_wl/8.jpg"",""time"":489},{""stimulus"":""img/green_wl/9.jpg"",""time"":550},{""stimulus"":""img/green_wl/10.jpg"",""time"":612},{""stimulus"":""img/green_wl/11.jpg"",""time"":671}]","[]",""
"","","","choice","5e03f8517f08edece67a3137","bdp_lott","Sat Mar 25 2023 16:57:14 GMT-0700 (Pacific Daylight Time)","474550","green","red","image-keyboard-response","7","101542","0.0-5.0-1.1","","2845","","img/green_wl/choose11.jpg","2","224","red","0.5","0.5","0.5","l","","",""
