"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","2905","0.0-1.0","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","[{""page_index"":0,""viewing_time"":2902}]","2902","","","","","","","","","","","","","","",""
"","","","","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","","fullscreenenter","2","4475","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5467","0.0-2.0","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","32716","0.0-4.0","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","[{""page_index"":0,""viewing_time"":27248}]","27248","","","","","","","","","","","","","","",""
"image-keyboard-response","4","34478","0.0-5.0-1.0","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","1761","","","","choice","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"animation","5","35079","0.0-5.0-2.0","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":58},{""stimulus"":""img/red_lw/2.jpg"",""time"":105},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":214},{""stimulus"":""img/red_lw/5.jpg"",""time"":258},{""stimulus"":""img/red_lw/6.jpg"",""time"":301},{""stimulus"":""img/red_lw/7.jpg"",""time"":354},{""stimulus"":""img/red_lw/8.jpg"",""time"":402},{""stimulus"":""img/red_lw/9.jpg"",""time"":465},{""stimulus"":""img/red_lw/10.jpg"",""time"":511},{""stimulus"":""img/red_lw/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","6","36755","0.0-5.0-1.1","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","1676","","","","choice","","img/red_lw/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","37356","0.0-5.0-2.1","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":62},{""stimulus"":""img/green_ww/2.jpg"",""time"":108},{""stimulus"":""img/green_ww/3.jpg"",""time"":156},{""stimulus"":""img/green_ww/4.jpg"",""time"":201},{""stimulus"":""img/green_ww/5.jpg"",""time"":265},{""stimulus"":""img/green_ww/6.jpg"",""time"":311},{""stimulus"":""img/green_ww/7.jpg"",""time"":358},{""stimulus"":""img/green_ww/8.jpg"",""time"":406},{""stimulus"":""img/green_ww/9.jpg"",""time"":452},{""stimulus"":""img/green_ww/10.jpg"",""time"":501},{""stimulus"":""img/green_ww/11.jpg"",""time"":563}]","[]"
"image-keyboard-response","8","38671","0.0-5.0-1.2","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","1315","","","","choice","","img/green_ww/choose11.jpg","1","223","green","0.5","0.5","0.5","l","",""
"animation","9","39285","0.0-5.0-2.2","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","","","","","","","","","223","","","","","","[{""stimulus"":""img/green_lw/1.jpg"",""time"":53},{""stimulus"":""img/green_lw/2.jpg"",""time"":115},{""stimulus"":""img/green_lw/3.jpg"",""time"":162},{""stimulus"":""img/green_lw/4.jpg"",""time"":209},{""stimulus"":""img/green_lw/5.jpg"",""time"":257},{""stimulus"":""img/green_lw/6.jpg"",""time"":303},{""stimulus"":""img/green_lw/7.jpg"",""time"":365},{""stimulus"":""img/green_lw/8.jpg"",""time"":412},{""stimulus"":""img/green_lw/9.jpg"",""time"":458},{""stimulus"":""img/green_lw/10.jpg"",""time"":505},{""stimulus"":""img/green_lw/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","10","40199","0.0-5.0-1.3","5ecbd383243b3438410dae19","bdp_lott","Sat Mar 25 2023 18:30:56 GMT-0500 (Central Daylight Time)","310256","green","red","","913","","","","choice","","img/green_lw/choose11.jpg","2","222","red","0.5","0.5","0.5","l","",""
