"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","4","0.0-0.0","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","2417","0.0-1.0","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","[{""page_index"":0,""viewing_time"":2411}]","2412","","","","","","","","","","","","","","",""
"","","","","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","","fullscreenenter","2","4827","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5818","0.0-2.0","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","19225","0.0-4.0","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","[{""page_index"":0,""viewing_time"":13401}]","13401","","","","","","","","","","","","","","",""
"image-keyboard-response","4","23016","0.0-5.0-1.0","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","3788","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","23622","0.0-5.0-2.0","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":55},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":150},{""stimulus"":""img/green_wl/4.jpg"",""time"":205},{""stimulus"":""img/green_wl/5.jpg"",""time"":255},{""stimulus"":""img/green_wl/6.jpg"",""time"":305},{""stimulus"":""img/green_wl/7.jpg"",""time"":355},{""stimulus"":""img/green_wl/8.jpg"",""time"":405},{""stimulus"":""img/green_wl/9.jpg"",""time"":455},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":555}]","[]"
"image-keyboard-response","6","24916","0.0-5.0-1.1","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","1291","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","25522","0.0-5.0-2.1","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":57},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":152},{""stimulus"":""img/green_wl/4.jpg"",""time"":206},{""stimulus"":""img/green_wl/5.jpg"",""time"":252},{""stimulus"":""img/green_wl/6.jpg"",""time"":306},{""stimulus"":""img/green_wl/7.jpg"",""time"":356},{""stimulus"":""img/green_wl/8.jpg"",""time"":406},{""stimulus"":""img/green_wl/9.jpg"",""time"":456},{""stimulus"":""img/green_wl/10.jpg"",""time"":502},{""stimulus"":""img/green_wl/11.jpg"",""time"":556}]","[]"
"image-keyboard-response","8","26324","0.0-5.0-1.2","5f5691fb24d1090e6bcdf1ec","bdp_lott","Sat Mar 25 2023 09:29:23 GMT-0500 (Central Daylight Time)","251858","green","red","","799","","","","choice","","img/green_wl/choose11.jpg","1","223","green","0.5","0.5","0.5","w","",""
