"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","6","0.0-0.0","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","2788","0.0-1.0","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","[{""page_index"":0,""viewing_time"":2779}]","2780","","","","","","","","","","","","","","",""
"","","","","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","","fullscreenenter","2","5587","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","6517","0.0-2.0","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","32646","0.0-4.0","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","[{""page_index"":0,""viewing_time"":26127}]","26127","","","","","","","","","","","","","","",""
"image-keyboard-response","4","34228","0.0-5.0-1.0","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","1579","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","34839","0.0-5.0-2.0","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":152},{""stimulus"":""img/green_wl/4.jpg"",""time"":203},{""stimulus"":""img/green_wl/5.jpg"",""time"":254},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":355},{""stimulus"":""img/green_wl/8.jpg"",""time"":406},{""stimulus"":""img/green_wl/9.jpg"",""time"":457},{""stimulus"":""img/green_wl/10.jpg"",""time"":508},{""stimulus"":""img/green_wl/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","6","37432","0.0-5.0-1.1","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","2592","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"animation","7","38045","0.0-5.0-2.1","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":155},{""stimulus"":""img/green_ll/4.jpg"",""time"":206},{""stimulus"":""img/green_ll/5.jpg"",""time"":257},{""stimulus"":""img/green_ll/6.jpg"",""time"":308},{""stimulus"":""img/green_ll/7.jpg"",""time"":359},{""stimulus"":""img/green_ll/8.jpg"",""time"":409},{""stimulus"":""img/green_ll/9.jpg"",""time"":460},{""stimulus"":""img/green_ll/10.jpg"",""time"":511},{""stimulus"":""img/green_ll/11.jpg"",""time"":562}]","[]"
"image-keyboard-response","8","39204","0.0-5.0-1.2","60ff4339f5ffb265d16b144f","bdp_lott","Mon Mar 27 2023 16:17:48 GMT-0400 (Eastern Daylight Time)","247988","green","red","","1158","","","","choice","","img/green_ll/choose11.jpg","2","223","red","0.5","0.5","0.5","w","",""
