"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"blur","0","0","blurevent","1","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","","","","","","","","","","","","","","","","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","instructions","1","5940","0.0-1.0","[{""page_index"":0,""viewing_time"":5936}]","5936","","","","","","","","","","",""
"fullscreenenter","2","9986","fullscreenenter","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","","","","","","","","","","","","","","","","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","fullscreen","2","10940","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","instructions","3","79451","0.0-4.0","[{""page_index"":0,""viewing_time"":68508}]","68508","","","","","","","","","","",""
"","","","blurwarn","1","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","4","91105","0.0-5.0-0.0-0.0","","11652","","","49","","","","","","","",""
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","5","92625","0.0-5.0-1.0","","1267","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","6","93284","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":103},{""stimulus"":""img/green_wl/3.jpg"",""time"":154},{""stimulus"":""img/green_wl/4.jpg"",""time"":205},{""stimulus"":""img/green_wl/5.jpg"",""time"":256},{""stimulus"":""img/green_wl/6.jpg"",""time"":307},{""stimulus"":""img/green_wl/7.jpg"",""time"":358},{""stimulus"":""img/green_wl/8.jpg"",""time"":418},{""stimulus"":""img/green_wl/9.jpg"",""time"":477},{""stimulus"":""img/green_wl/10.jpg"",""time"":538},{""stimulus"":""img/green_wl/11.jpg"",""time"":599}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","7","94518","0.0-5.0-1.1","","1233","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","8","95205","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":205},{""stimulus"":""img/green_wl/5.jpg"",""time"":255},{""stimulus"":""img/green_wl/6.jpg"",""time"":306},{""stimulus"":""img/green_wl/7.jpg"",""time"":384},{""stimulus"":""img/green_wl/8.jpg"",""time"":444},{""stimulus"":""img/green_wl/9.jpg"",""time"":504},{""stimulus"":""img/green_wl/10.jpg"",""time"":564},{""stimulus"":""img/green_wl/11.jpg"",""time"":624}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","9","95887","0.0-5.0-1.2","","680","","img/green_wl/choose11.jpg","2","223","red","0.5","0.5","0.5","l","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","10","96554","0.0-5.0-2.2","","","","","","223","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":52},{""stimulus"":""img/red_wl/2.jpg"",""time"":103},{""stimulus"":""img/red_wl/3.jpg"",""time"":154},{""stimulus"":""img/red_wl/4.jpg"",""time"":205},{""stimulus"":""img/red_wl/5.jpg"",""time"":256},{""stimulus"":""img/red_wl/6.jpg"",""time"":306},{""stimulus"":""img/red_wl/7.jpg"",""time"":365},{""stimulus"":""img/red_wl/8.jpg"",""time"":425},{""stimulus"":""img/red_wl/9.jpg"",""time"":485},{""stimulus"":""img/red_wl/10.jpg"",""time"":546},{""stimulus"":""img/red_wl/11.jpg"",""time"":605}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","11","97076","0.0-5.0-1.3","","521","","img/red_wl/choose11.jpg","1","222","green","0.5","0.5","0.5","w","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","12","97754","0.0-5.0-2.3","","","","","","222","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":52},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":154},{""stimulus"":""img/green_wl/4.jpg"",""time"":205},{""stimulus"":""img/green_wl/5.jpg"",""time"":256},{""stimulus"":""img/green_wl/6.jpg"",""time"":306},{""stimulus"":""img/green_wl/7.jpg"",""time"":376},{""stimulus"":""img/green_wl/8.jpg"",""time"":436},{""stimulus"":""img/green_wl/9.jpg"",""time"":496},{""stimulus"":""img/green_wl/10.jpg"",""time"":556},{""stimulus"":""img/green_wl/11.jpg"",""time"":616}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","13","98324","0.0-5.0-1.4","","567","","img/green_wl/choose11.jpg","1","221","green","0.5","0.5","0.5","w","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","14","98984","0.0-5.0-2.4","","","","","","221","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":102},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":204},{""stimulus"":""img/green_wl/5.jpg"",""time"":255},{""stimulus"":""img/green_wl/6.jpg"",""time"":306},{""stimulus"":""img/green_wl/7.jpg"",""time"":358},{""stimulus"":""img/green_wl/8.jpg"",""time"":419},{""stimulus"":""img/green_wl/9.jpg"",""time"":479},{""stimulus"":""img/green_wl/10.jpg"",""time"":538},{""stimulus"":""img/green_wl/11.jpg"",""time"":598}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","15","99414","0.0-5.0-1.5","","429","","img/green_wl/choose11.jpg","1","220","green","0.5","0.5","0.5","w","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","16","100094","0.0-5.0-2.5","","","","","","220","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":103},{""stimulus"":""img/green_wl/3.jpg"",""time"":154},{""stimulus"":""img/green_wl/4.jpg"",""time"":205},{""stimulus"":""img/green_wl/5.jpg"",""time"":256},{""stimulus"":""img/green_wl/6.jpg"",""time"":307},{""stimulus"":""img/green_wl/7.jpg"",""time"":380},{""stimulus"":""img/green_wl/8.jpg"",""time"":440},{""stimulus"":""img/green_wl/9.jpg"",""time"":500},{""stimulus"":""img/green_wl/10.jpg"",""time"":560},{""stimulus"":""img/green_wl/11.jpg"",""time"":620}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","17","100445","0.0-5.0-1.6","","350","","img/green_wl/choose11.jpg","1","219","green","0.5","0.5","0.5","l","",""
"","","","","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","animation","18","101114","0.0-5.0-2.6","","","","","","219","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":152},{""stimulus"":""img/green_ll/4.jpg"",""time"":202},{""stimulus"":""img/green_ll/5.jpg"",""time"":253},{""stimulus"":""img/green_ll/6.jpg"",""time"":304},{""stimulus"":""img/green_ll/7.jpg"",""time"":369},{""stimulus"":""img/green_ll/8.jpg"",""time"":429},{""stimulus"":""img/green_ll/9.jpg"",""time"":489},{""stimulus"":""img/green_ll/10.jpg"",""time"":549},{""stimulus"":""img/green_ll/11.jpg"",""time"":609}]","[]"
"","","","choice","","62ded68be9e12bf448a7ffdb","bdp_lott","Sat Mar 25 2023 19:27:02 GMT-0700 (Pacific Daylight Time)","344432","green","red","image-keyboard-response","19","101608","0.0-5.0-1.7","","493","","img/green_ll/choose11.jpg","2","218","red","0.5","0.5","0.5","l","",""
