"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","6","0.0-0.0","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","","","","","","","","","","","","","","","",""
"instructions","1","3484","0.0-1.0","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","[{""page_index"":0,""viewing_time"":3476}]","3476","","","","","","","","","","","","","","",""
"","","","","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","","fullscreenenter","2","8529","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","9534","0.0-2.0","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","","","","","","true","","","","","","","","","",""
"instructions","3","13473","0.0-4.0","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","[{""page_index"":0,""viewing_time"":3938}]","3938","","","","","","","","","","","","","","",""
"image-keyboard-response","4","16912","0.0-5.0-1.0","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","3436","","","","choice","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"animation","5","17513","0.0-5.0-2.0","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":103},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":201},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":302},{""stimulus"":""img/red_lw/7.jpg"",""time"":351},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":451},{""stimulus"":""img/red_lw/10.jpg"",""time"":506},{""stimulus"":""img/red_lw/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","6","19312","0.0-5.0-1.1","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","1798","","","","choice","","img/red_lw/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","19913","0.0-5.0-2.1","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":57},{""stimulus"":""img/green_ww/2.jpg"",""time"":104},{""stimulus"":""img/green_ww/3.jpg"",""time"":165},{""stimulus"":""img/green_ww/4.jpg"",""time"":207},{""stimulus"":""img/green_ww/5.jpg"",""time"":251},{""stimulus"":""img/green_ww/6.jpg"",""time"":302},{""stimulus"":""img/green_ww/7.jpg"",""time"":351},{""stimulus"":""img/green_ww/8.jpg"",""time"":415},{""stimulus"":""img/green_ww/9.jpg"",""time"":452},{""stimulus"":""img/green_ww/10.jpg"",""time"":501},{""stimulus"":""img/green_ww/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","8","20760","0.0-5.0-1.2","631e8c52a408a788b7e62e11","bdp_lott","Sun Apr 09 2023 18:34:12 GMT-0500 (Central Daylight Time)","205656","red","green","","846","","","","choice","","img/green_ww/choose11.jpg","2","223","red","0.5","0.5","0.5","l","",""
