"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","13","0.0-0.0","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","1786","0.0-1.0","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","[{""page_index"":0,""viewing_time"":1770}]","1771","","","","","","","","","","","","","","",""
"","","","","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","fullscreenenter","2","4731","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5687","0.0-2.0","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","6987","0.0-4.0","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","[{""page_index"":0,""viewing_time"":1287}]","1287","","","","","","","","","","","","","","",""
"image-keyboard-response","4","8188","0.0-5.0-1.0","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","1195","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","8799","0.0-5.0-2.0","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":58},{""stimulus"":""img/green_wl/2.jpg"",""time"":106},{""stimulus"":""img/green_wl/3.jpg"",""time"":152},{""stimulus"":""img/green_wl/4.jpg"",""time"":208},{""stimulus"":""img/green_wl/5.jpg"",""time"":257},{""stimulus"":""img/green_wl/6.jpg"",""time"":304},{""stimulus"":""img/green_wl/7.jpg"",""time"":352},{""stimulus"":""img/green_wl/8.jpg"",""time"":408},{""stimulus"":""img/green_wl/9.jpg"",""time"":456},{""stimulus"":""img/green_wl/10.jpg"",""time"":505},{""stimulus"":""img/green_wl/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","6","8958","0.0-5.0-1.1","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","157","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"animation","7","9563","0.0-5.0-2.1","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":56},{""stimulus"":""img/green_ll/2.jpg"",""time"":104},{""stimulus"":""img/green_ll/3.jpg"",""time"":152},{""stimulus"":""img/green_ll/4.jpg"",""time"":208},{""stimulus"":""img/green_ll/5.jpg"",""time"":256},{""stimulus"":""img/green_ll/6.jpg"",""time"":304},{""stimulus"":""img/green_ll/7.jpg"",""time"":353},{""stimulus"":""img/green_ll/8.jpg"",""time"":408},{""stimulus"":""img/green_ll/9.jpg"",""time"":457},{""stimulus"":""img/green_ll/10.jpg"",""time"":504},{""stimulus"":""img/green_ll/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","8","9862","0.0-5.0-1.2","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","296","","","","choice","","img/green_ll/choose11.jpg","2","223","red","0.5","0.5","0.5","w","",""
"animation","9","10471","0.0-5.0-2.2","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","","","","223","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":57},{""stimulus"":""img/red_lw/2.jpg"",""time"":104},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":209},{""stimulus"":""img/red_lw/5.jpg"",""time"":257},{""stimulus"":""img/red_lw/6.jpg"",""time"":304},{""stimulus"":""img/red_lw/7.jpg"",""time"":352},{""stimulus"":""img/red_lw/8.jpg"",""time"":409},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":505},{""stimulus"":""img/red_lw/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","10","10671","0.0-5.0-1.3","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","197","","","","choice","","img/red_lw/choose11.jpg","2","222","red","0.5","0.5","0.5","w","",""
"animation","11","11277","0.0-5.0-2.3","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","","","","222","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":58},{""stimulus"":""img/red_lw/2.jpg"",""time"":104},{""stimulus"":""img/red_lw/3.jpg"",""time"":152},{""stimulus"":""img/red_lw/4.jpg"",""time"":209},{""stimulus"":""img/red_lw/5.jpg"",""time"":256},{""stimulus"":""img/red_lw/6.jpg"",""time"":304},{""stimulus"":""img/red_lw/7.jpg"",""time"":352},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":505},{""stimulus"":""img/red_lw/11.jpg"",""time"":553}]","[]"
"image-keyboard-response","12","11427","0.0-5.0-1.4","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","149","","","","choice","","img/red_lw/choose11.jpg","2","221","red","0.5","0.5","0.5","l","",""
"animation","13","12030","0.0-5.0-2.4","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","","","","","","","","","221","","","","","","[{""stimulus"":""img/red_ll/1.jpg"",""time"":59},{""stimulus"":""img/red_ll/2.jpg"",""time"":108},{""stimulus"":""img/red_ll/3.jpg"",""time"":158},{""stimulus"":""img/red_ll/4.jpg"",""time"":203},{""stimulus"":""img/red_ll/5.jpg"",""time"":253},{""stimulus"":""img/red_ll/6.jpg"",""time"":307},{""stimulus"":""img/red_ll/7.jpg"",""time"":356},{""stimulus"":""img/red_ll/8.jpg"",""time"":403},{""stimulus"":""img/red_ll/9.jpg"",""time"":459},{""stimulus"":""img/red_ll/10.jpg"",""time"":507},{""stimulus"":""img/red_ll/11.jpg"",""time"":556}]","[]"
"image-keyboard-response","14","12160","0.0-5.0-1.5","63614cab87b22b72231c66e0","bdp_lott","Sat Mar 25 2023 20:57:10 GMT-0400 (Eastern Daylight Time)","201367","green","red","","127","","","","choice","","img/red_ll/choose11.jpg","2","220","red","0.5","0.5","0.5","l","",""
