"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","4","0.0-0.0","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","7010","0.0-1.0","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","[{""page_index"":0,""viewing_time"":7005}]","7005","","","","","","","","","","","","","","",""
"","","","","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","fullscreenenter","2","9027","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","10024","0.0-2.0","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","57470","0.0-4.0","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","[{""page_index"":0,""viewing_time"":47441}]","47441","","","","","","","","","","","","","","",""
"image-keyboard-response","4","60662","0.0-5.0-1.0","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","3190","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","61272","0.0-5.0-2.0","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":65},{""stimulus"":""img/green_wl/2.jpg"",""time"":110},{""stimulus"":""img/green_wl/3.jpg"",""time"":157},{""stimulus"":""img/green_wl/4.jpg"",""time"":204},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":360},{""stimulus"":""img/green_wl/8.jpg"",""time"":408},{""stimulus"":""img/green_wl/9.jpg"",""time"":455},{""stimulus"":""img/green_wl/10.jpg"",""time"":516},{""stimulus"":""img/green_wl/11.jpg"",""time"":563}]","[]"
"image-keyboard-response","6","62351","0.0-5.0-1.1","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","1077","","","","choice","","img/green_wl/choose11.jpg","2","224","red","0.5","0.5","0.5","w","",""
"animation","7","62962","0.0-5.0-2.1","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/red_ww/1.jpg"",""time"":61},{""stimulus"":""img/red_ww/2.jpg"",""time"":107},{""stimulus"":""img/red_ww/3.jpg"",""time"":155},{""stimulus"":""img/red_ww/4.jpg"",""time"":201},{""stimulus"":""img/red_ww/5.jpg"",""time"":265},{""stimulus"":""img/red_ww/6.jpg"",""time"":302},{""stimulus"":""img/red_ww/7.jpg"",""time"":359},{""stimulus"":""img/red_ww/8.jpg"",""time"":407},{""stimulus"":""img/red_ww/9.jpg"",""time"":454},{""stimulus"":""img/red_ww/10.jpg"",""time"":501},{""stimulus"":""img/red_ww/11.jpg"",""time"":564}]","[]"
"image-keyboard-response","8","63550","0.0-5.0-1.2","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","587","","","","choice","","img/red_ww/choose11.jpg","2","223","red","0.5","0.5","0.5","w","",""
"animation","9","64162","0.0-5.0-2.2","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","","","","","","","","223","","","","","","[{""stimulus"":""img/red_ww/1.jpg"",""time"":53},{""stimulus"":""img/red_ww/2.jpg"",""time"":101},{""stimulus"":""img/red_ww/3.jpg"",""time"":151},{""stimulus"":""img/red_ww/4.jpg"",""time"":209},{""stimulus"":""img/red_ww/5.jpg"",""time"":252},{""stimulus"":""img/red_ww/6.jpg"",""time"":301},{""stimulus"":""img/red_ww/7.jpg"",""time"":351},{""stimulus"":""img/red_ww/8.jpg"",""time"":401},{""stimulus"":""img/red_ww/9.jpg"",""time"":458},{""stimulus"":""img/red_ww/10.jpg"",""time"":501},{""stimulus"":""img/red_ww/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","10","64661","0.0-5.0-1.3","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","497","","","","choice","","img/red_ww/choose11.jpg","1","222","green","0.5","0.5","0.5","l","",""
"animation","11","65266","0.0-5.0-2.3","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","","","","","","","","","222","","","","","","[{""stimulus"":""img/green_lw/1.jpg"",""time"":63},{""stimulus"":""img/green_lw/2.jpg"",""time"":111},{""stimulus"":""img/green_lw/3.jpg"",""time"":151},{""stimulus"":""img/green_lw/4.jpg"",""time"":204},{""stimulus"":""img/green_lw/5.jpg"",""time"":251},{""stimulus"":""img/green_lw/6.jpg"",""time"":312},{""stimulus"":""img/green_lw/7.jpg"",""time"":358},{""stimulus"":""img/green_lw/8.jpg"",""time"":405},{""stimulus"":""img/green_lw/9.jpg"",""time"":451},{""stimulus"":""img/green_lw/10.jpg"",""time"":512},{""stimulus"":""img/green_lw/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","12","65771","0.0-5.0-1.4","636182d3f52ff78fc3f7de50","bdp_lott","Sun Mar 26 2023 15:47:32 GMT-0500 (Central Daylight Time)","280609","green","red","","505","","","","choice","","img/green_lw/choose11.jpg","1","221","green","0.5","0.5","0.5","w","",""
