"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","4","0.0-0.0","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","","","","","","","","","","","","","","","",""
"instructions","1","5084","0.0-1.0","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","[{""page_index"":0,""viewing_time"":5078}]","5079","","","","","","","","","","","","","","",""
"","","","","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","","fullscreenenter","2","9274","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","10186","0.0-2.0","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","","","","","","true","","","","","","","","","",""
"instructions","3","70168","0.0-4.0","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","[{""page_index"":0,""viewing_time"":59981}]","59981","","","","","","","","","","","","","","",""
"image-keyboard-response","4","72308","0.0-5.0-1.0","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","2139","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","l","",""
"animation","5","72919","0.0-5.0-2.0","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":101},{""stimulus"":""img/green_ll/3.jpg"",""time"":152},{""stimulus"":""img/green_ll/4.jpg"",""time"":203},{""stimulus"":""img/green_ll/5.jpg"",""time"":254},{""stimulus"":""img/green_ll/6.jpg"",""time"":304},{""stimulus"":""img/green_ll/7.jpg"",""time"":355},{""stimulus"":""img/green_ll/8.jpg"",""time"":406},{""stimulus"":""img/green_ll/9.jpg"",""time"":457},{""stimulus"":""img/green_ll/10.jpg"",""time"":508},{""stimulus"":""img/green_ll/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","6","74673","0.0-5.0-1.1","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","1753","","","","choice","","img/green_ll/choose11.jpg","2","224","red","0.5","0.5","0.5","w","",""
"animation","7","75284","0.0-5.0-2.1","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":51},{""stimulus"":""img/red_lw/2.jpg"",""time"":102},{""stimulus"":""img/red_lw/3.jpg"",""time"":153},{""stimulus"":""img/red_lw/4.jpg"",""time"":203},{""stimulus"":""img/red_lw/5.jpg"",""time"":254},{""stimulus"":""img/red_lw/6.jpg"",""time"":305},{""stimulus"":""img/red_lw/7.jpg"",""time"":357},{""stimulus"":""img/red_lw/8.jpg"",""time"":408},{""stimulus"":""img/red_lw/9.jpg"",""time"":459},{""stimulus"":""img/red_lw/10.jpg"",""time"":509},{""stimulus"":""img/red_lw/11.jpg"",""time"":559}]","[]"
"image-keyboard-response","8","76939","0.0-5.0-1.2","63bc9e8cd8106f8d94c636d4","bdp_lott","Sun Mar 26 2023 17:10:11 GMT-0400 (Eastern Daylight Time)","321786","red","green","","1654","","","","choice","","img/red_lw/choose11.jpg","2","223","red","0.5","0.5","0.5","w","",""
