"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","1","0.0-0.0","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","","","","","","","","","","","","","","",""
"instructions","1","2534","0.0-1.0","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","[{""page_index"":0,""viewing_time"":2533}]","2533","","","","","","","","","","","","","","",""
"","","","","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","fullscreenenter","2","7756","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","8756","0.0-2.0","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","","","","","true","","","","","","","","","",""
"instructions","3","12198","0.0-4.0","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","[{""page_index"":0,""viewing_time"":3441}]","3441","","","","","","","","","","","","","","",""
"image-keyboard-response","4","13182","0.0-5.0-1.0","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","983","","","","choice","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"animation","5","13787","0.0-5.0-2.0","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":66},{""stimulus"":""img/red_lw/2.jpg"",""time"":101},{""stimulus"":""img/red_lw/3.jpg"",""time"":155},{""stimulus"":""img/red_lw/4.jpg"",""time"":208},{""stimulus"":""img/red_lw/5.jpg"",""time"":251},{""stimulus"":""img/red_lw/6.jpg"",""time"":306},{""stimulus"":""img/red_lw/7.jpg"",""time"":354},{""stimulus"":""img/red_lw/8.jpg"",""time"":401},{""stimulus"":""img/red_lw/9.jpg"",""time"":457},{""stimulus"":""img/red_lw/10.jpg"",""time"":501},{""stimulus"":""img/red_lw/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","6","14950","0.0-5.0-1.1","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","1162","","","","choice","","img/red_lw/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","15551","0.0-5.0-2.1","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ww/1.jpg"",""time"":57},{""stimulus"":""img/green_ww/2.jpg"",""time"":100},{""stimulus"":""img/green_ww/3.jpg"",""time"":151},{""stimulus"":""img/green_ww/4.jpg"",""time"":200},{""stimulus"":""img/green_ww/5.jpg"",""time"":253},{""stimulus"":""img/green_ww/6.jpg"",""time"":301},{""stimulus"":""img/green_ww/7.jpg"",""time"":351},{""stimulus"":""img/green_ww/8.jpg"",""time"":400},{""stimulus"":""img/green_ww/9.jpg"",""time"":451},{""stimulus"":""img/green_ww/10.jpg"",""time"":501},{""stimulus"":""img/green_ww/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","8","16334","0.0-5.0-1.2","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","783","","","","choice","","img/green_ww/choose11.jpg","2","223","red","0.5","0.5","0.5","l","",""
"animation","9","16934","0.0-5.0-2.2","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","","","","","","","","223","","","","","","[{""stimulus"":""img/red_wl/1.jpg"",""time"":53},{""stimulus"":""img/red_wl/2.jpg"",""time"":102},{""stimulus"":""img/red_wl/3.jpg"",""time"":152},{""stimulus"":""img/red_wl/4.jpg"",""time"":200},{""stimulus"":""img/red_wl/5.jpg"",""time"":251},{""stimulus"":""img/red_wl/6.jpg"",""time"":301},{""stimulus"":""img/red_wl/7.jpg"",""time"":353},{""stimulus"":""img/red_wl/8.jpg"",""time"":400},{""stimulus"":""img/red_wl/9.jpg"",""time"":455},{""stimulus"":""img/red_wl/10.jpg"",""time"":502},{""stimulus"":""img/red_wl/11.jpg"",""time"":550}]","[]"
"image-keyboard-response","10","17622","0.0-5.0-1.3","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","687","","","","choice","","img/red_wl/choose11.jpg","1","222","green","0.5","0.5","0.5","w","",""
"animation","11","18222","0.0-5.0-2.3","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","","","","","","","","","222","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":55},{""stimulus"":""img/green_wl/2.jpg"",""time"":100},{""stimulus"":""img/green_wl/3.jpg"",""time"":150},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":250},{""stimulus"":""img/green_wl/6.jpg"",""time"":300},{""stimulus"":""img/green_wl/7.jpg"",""time"":365},{""stimulus"":""img/green_wl/8.jpg"",""time"":400},{""stimulus"":""img/green_wl/9.jpg"",""time"":450},{""stimulus"":""img/green_wl/10.jpg"",""time"":500},{""stimulus"":""img/green_wl/11.jpg"",""time"":550}]","[]"
"image-keyboard-response","12","18998","0.0-5.0-1.4","63d85999228b7d6b636dd96c","bdp_lott","Mon Mar 27 2023 11:50:14 GMT-0500 (Central Daylight Time)","421727","red","green","","775","","","","choice","","img/green_wl/choose11.jpg","2","221","red","0.5","0.5","0.5","w","",""
