"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","9","0.0-0.0","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","3251","0.0-1.0","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","[{""page_index"":0,""viewing_time"":3240}]","3240","","","","","","","","","","","","","","",""
"","","","","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","","fullscreenenter","2","9976","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","10447","0.0-2.0","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","51635","0.0-4.0","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","[{""page_index"":0,""viewing_time"":41186}]","41186","","","","","","","","","","","","","","",""
"image-keyboard-response","4","53121","0.0-5.0-1.0","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","1482","","","","choice","","img/red_ll/initchoose11.jpg","2","225","red","0.5","0.5","0.5","w","",""
"animation","5","53730","0.0-5.0-2.0","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/red_lw/1.jpg"",""time"":58},{""stimulus"":""img/red_lw/2.jpg"",""time"":106},{""stimulus"":""img/red_lw/3.jpg"",""time"":151},{""stimulus"":""img/red_lw/4.jpg"",""time"":202},{""stimulus"":""img/red_lw/5.jpg"",""time"":252},{""stimulus"":""img/red_lw/6.jpg"",""time"":302},{""stimulus"":""img/red_lw/7.jpg"",""time"":352},{""stimulus"":""img/red_lw/8.jpg"",""time"":405},{""stimulus"":""img/red_lw/9.jpg"",""time"":452},{""stimulus"":""img/red_lw/10.jpg"",""time"":516},{""stimulus"":""img/red_lw/11.jpg"",""time"":562}]","[]"
"image-keyboard-response","6","54897","0.0-5.0-1.1","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","1165","","","","choice","","img/red_lw/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"animation","7","55510","0.0-5.0-2.1","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_lw/1.jpg"",""time"":63},{""stimulus"":""img/green_lw/2.jpg"",""time"":111},{""stimulus"":""img/green_lw/3.jpg"",""time"":154},{""stimulus"":""img/green_lw/4.jpg"",""time"":203},{""stimulus"":""img/green_lw/5.jpg"",""time"":251},{""stimulus"":""img/green_lw/6.jpg"",""time"":301},{""stimulus"":""img/green_lw/7.jpg"",""time"":363},{""stimulus"":""img/green_lw/8.jpg"",""time"":409},{""stimulus"":""img/green_lw/9.jpg"",""time"":452},{""stimulus"":""img/green_lw/10.jpg"",""time"":503},{""stimulus"":""img/green_lw/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","8","56648","0.0-5.0-1.2","63dcc00d97b599698e60a1a6","bdp_lott","Sun Mar 26 2023 02:28:16 GMT-0400 (Eastern Daylight Time)","354389","green","red","","1137","","","","choice","","img/green_lw/choose11.jpg","1","223","green","0.5","0.5","0.5","l","",""
