"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"focus","0","0","focusevent","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","instructions","1","1216","0.0-1.0","[{""page_index"":0,""viewing_time"":1208}]","1208","","","","","","","","","","",""
"fullscreenexit","2","4270","fullscreenexit","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","","","","","","","","","","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","fullscreen","2","5071","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","image-keyboard-response","3","6282","0.0-3.0-0.0","","1204","","","32","","","","","","","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","instructions","4","14481","0.0-4.0","[{""page_index"":0,""viewing_time"":7936}]","7936","","","","","","","","","","",""
"","","","choice","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","image-keyboard-response","5","15817","0.0-5.0-1.0","","1333","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","animation","6","16555","0.0-5.0-2.0","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":57},{""stimulus"":""img/green_wl/2.jpg"",""time"":118},{""stimulus"":""img/green_wl/3.jpg"",""time"":180},{""stimulus"":""img/green_wl/4.jpg"",""time"":241},{""stimulus"":""img/green_wl/5.jpg"",""time"":302},{""stimulus"":""img/green_wl/6.jpg"",""time"":363},{""stimulus"":""img/green_wl/7.jpg"",""time"":425},{""stimulus"":""img/green_wl/8.jpg"",""time"":488},{""stimulus"":""img/green_wl/9.jpg"",""time"":550},{""stimulus"":""img/green_wl/10.jpg"",""time"":612},{""stimulus"":""img/green_wl/11.jpg"",""time"":676}]","[]"
"","","","choice","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","image-keyboard-response","7","17800","0.0-5.0-1.1","","1242","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","animation","8","18538","0.0-5.0-2.1","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":55},{""stimulus"":""img/green_ll/2.jpg"",""time"":117},{""stimulus"":""img/green_ll/3.jpg"",""time"":179},{""stimulus"":""img/green_ll/4.jpg"",""time"":243},{""stimulus"":""img/green_ll/5.jpg"",""time"":305},{""stimulus"":""img/green_ll/6.jpg"",""time"":367},{""stimulus"":""img/green_ll/7.jpg"",""time"":429},{""stimulus"":""img/green_ll/8.jpg"",""time"":492},{""stimulus"":""img/green_ll/9.jpg"",""time"":554},{""stimulus"":""img/green_ll/10.jpg"",""time"":615},{""stimulus"":""img/green_ll/11.jpg"",""time"":677}]","[]"
"","","","choice","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","image-keyboard-response","9","19418","0.0-5.0-1.2","","877","","img/green_ll/choose11.jpg","1","223","green","0.5","0.5","0.5","w","",""
"","","","","63f78c9346da47f7f8f3aef9","bdp_lott","Sun Apr 09 2023 16:52:28 GMT-0600 (Mountain Daylight Time)","211593","green","red","animation","10","20161","0.0-5.0-2.2","","","","","","223","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":64},{""stimulus"":""img/green_wl/2.jpg"",""time"":125},{""stimulus"":""img/green_wl/3.jpg"",""time"":187},{""stimulus"":""img/green_wl/4.jpg"",""time"":249},{""stimulus"":""img/green_wl/5.jpg"",""time"":311},{""stimulus"":""img/green_wl/6.jpg"",""time"":373},{""stimulus"":""img/green_wl/7.jpg"",""time"":435},{""stimulus"":""img/green_wl/8.jpg"",""time"":497},{""stimulus"":""img/green_wl/9.jpg"",""time"":558},{""stimulus"":""img/green_wl/10.jpg"",""time"":620},{""stimulus"":""img/green_wl/11.jpg"",""time"":682}]","[]"
