"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","1","0.0-0.0","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","","","","","","","","","","",""
"instructions","1","2828","0.0-1.0","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","[{""page_index"":0,""viewing_time"":2827}]","2827","","","","","","","","","","","","","","",""
"","","","","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","fullscreenenter","2","4386","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","5366","0.0-2.0","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","true","","","","","","","","","",""
"instructions","3","27605","0.0-4.0","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","[{""page_index"":0,""viewing_time"":22239}]","22239","","","","","","","","","","","","","","",""
"image-keyboard-response","4","28826","0.0-5.0-1.0","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","1220","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","29430","0.0-5.0-2.0","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":60},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":153},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":262},{""stimulus"":""img/green_wl/6.jpg"",""time"":301},{""stimulus"":""img/green_wl/7.jpg"",""time"":355},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":512},{""stimulus"":""img/green_wl/11.jpg"",""time"":558}]","[]"
"image-keyboard-response","6","30539","0.0-5.0-1.1","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","1109","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","w","",""
"animation","7","31139","0.0-5.0-2.1","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":50},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":254},{""stimulus"":""img/green_wl/6.jpg"",""time"":316},{""stimulus"":""img/green_wl/7.jpg"",""time"":350},{""stimulus"":""img/green_wl/8.jpg"",""time"":409},{""stimulus"":""img/green_wl/9.jpg"",""time"":456},{""stimulus"":""img/green_wl/10.jpg"",""time"":500},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","8","31655","0.0-5.0-1.2","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","516","","","","choice","","img/green_wl/choose11.jpg","1","223","green","0.5","0.5","0.5","w","",""
"animation","9","32262","0.0-5.0-2.2","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","","","","223","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":155},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":251},{""stimulus"":""img/green_wl/6.jpg"",""time"":311},{""stimulus"":""img/green_wl/7.jpg"",""time"":357},{""stimulus"":""img/green_wl/8.jpg"",""time"":401},{""stimulus"":""img/green_wl/9.jpg"",""time"":452},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":561}]","[]"
"image-keyboard-response","10","32583","0.0-5.0-1.3","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","321","","","","choice","","img/green_wl/choose11.jpg","1","222","green","0.5","0.5","0.5","l","",""
"animation","11","33196","0.0-5.0-2.3","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","","","","222","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":51},{""stimulus"":""img/green_ll/2.jpg"",""time"":100},{""stimulus"":""img/green_ll/3.jpg"",""time"":159},{""stimulus"":""img/green_ll/4.jpg"",""time"":206},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":301},{""stimulus"":""img/green_ll/7.jpg"",""time"":363},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":457},{""stimulus"":""img/green_ll/10.jpg"",""time"":504},{""stimulus"":""img/green_ll/11.jpg"",""time"":566}]","[]"
"image-keyboard-response","12","33800","0.0-5.0-1.4","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","604","","","","choice","","img/green_ll/choose11.jpg","1","221","green","0.5","0.5","0.5","l","",""
"animation","13","34413","0.0-5.0-2.4","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","","","","","","","","","221","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":50},{""stimulus"":""img/green_ll/2.jpg"",""time"":100},{""stimulus"":""img/green_ll/3.jpg"",""time"":150},{""stimulus"":""img/green_ll/4.jpg"",""time"":207},{""stimulus"":""img/green_ll/5.jpg"",""time"":250},{""stimulus"":""img/green_ll/6.jpg"",""time"":301},{""stimulus"":""img/green_ll/7.jpg"",""time"":350},{""stimulus"":""img/green_ll/8.jpg"",""time"":401},{""stimulus"":""img/green_ll/9.jpg"",""time"":458},{""stimulus"":""img/green_ll/10.jpg"",""time"":505},{""stimulus"":""img/green_ll/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","14","34897","0.0-5.0-1.5","64057cd2806cfdca58f0de34","bdp_lott","Sat Mar 25 2023 19:35:10 GMT-0700 (Pacific Daylight Time)","207565","green","red","","484","","","","choice","","img/green_ll/choose11.jpg","1","220","green","0.5","0.5","0.5","l","",""
