"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairMachine","unfairMachine","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","roundsLeft","chosen","pFairMachWin","pUnfairMachWin","pTrialWin","outcome","animation_sequence","responses"
"pavlovia","0","14","0.0-0.0","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","","","","","","","","","","","","","","","",""
"instructions","1","9905","0.0-1.0","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","[{""page_index"":0,""viewing_time"":9889}]","9889","","","","","","","","","","","","","","",""
"","","","","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","","fullscreenenter","2","12938","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","13892","0.0-2.0","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","","","","","","true","","","","","","","","","",""
"instructions","3","86168","0.0-4.0","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","[{""page_index"":0,""viewing_time"":72273}]","72274","","","","","","","","","","","","","","",""
"image-keyboard-response","4","90497","0.0-5.0-1.0","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","4325","","","","choice","","img/red_ll/initchoose11.jpg","1","225","green","0.5","0.5","0.5","w","",""
"animation","5","91099","0.0-5.0-2.0","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","","","","","","","","","225","","","","","","[{""stimulus"":""img/green_wl/1.jpg"",""time"":51},{""stimulus"":""img/green_wl/2.jpg"",""time"":101},{""stimulus"":""img/green_wl/3.jpg"",""time"":151},{""stimulus"":""img/green_wl/4.jpg"",""time"":201},{""stimulus"":""img/green_wl/5.jpg"",""time"":252},{""stimulus"":""img/green_wl/6.jpg"",""time"":315},{""stimulus"":""img/green_wl/7.jpg"",""time"":351},{""stimulus"":""img/green_wl/8.jpg"",""time"":407},{""stimulus"":""img/green_wl/9.jpg"",""time"":451},{""stimulus"":""img/green_wl/10.jpg"",""time"":501},{""stimulus"":""img/green_wl/11.jpg"",""time"":551}]","[]"
"image-keyboard-response","6","95057","0.0-5.0-1.1","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","3957","","","","choice","","img/green_wl/choose11.jpg","1","224","green","0.5","0.5","0.5","l","",""
"animation","7","95660","0.0-5.0-2.1","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","","","","","","","","","224","","","","","","[{""stimulus"":""img/green_ll/1.jpg"",""time"":52},{""stimulus"":""img/green_ll/2.jpg"",""time"":102},{""stimulus"":""img/green_ll/3.jpg"",""time"":151},{""stimulus"":""img/green_ll/4.jpg"",""time"":201},{""stimulus"":""img/green_ll/5.jpg"",""time"":251},{""stimulus"":""img/green_ll/6.jpg"",""time"":302},{""stimulus"":""img/green_ll/7.jpg"",""time"":352},{""stimulus"":""img/green_ll/8.jpg"",""time"":402},{""stimulus"":""img/green_ll/9.jpg"",""time"":451},{""stimulus"":""img/green_ll/10.jpg"",""time"":501},{""stimulus"":""img/green_ll/11.jpg"",""time"":552}]","[]"
"image-keyboard-response","8","96631","0.0-5.0-1.2","641359eb0e2dc93999637e35","bdp_lott","Sun Apr 09 2023 20:06:06 GMT-0700 (Pacific Daylight Time)","385189","red","green","","971","","","","choice","","img/green_ll/choose11.jpg","2","223","red","0.5","0.5","0.5","l","",""
