"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","13","0.0-0.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","","","","","","","","","","","","","",""
"instructions","1","11373","0.0-1.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","[{""page_index"":0,""viewing_time"":11358}]","11358","","","","","","","","","","","","",""
"","","","","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","","fullscreenenter","2","13483","fullscreenenter","","","","","","","","",""
"fullscreen","2","14474","0.0-2.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","","","","","","true","","","","","","","",""
"instructions","3","135604","0.0-4.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","[{""page_index"":0,""viewing_time"":77694},{""page_index"":1,""viewing_time"":5895},{""page_index"":2,""viewing_time"":37537}]","121127","","","","","","","","","","","","",""
"html-keyboard-response","4","136110","0.0-5.0-1.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","139021","0.0-5.0-2.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","2907","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$6<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$6","$13","0","6","13","SURE"
"html-keyboard-response","6","139277","0.0-5.0-3.0","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$6<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$13<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$6","$13","0","6","13",""
"html-keyboard-response","7","139780","0.0-5.0-1.1","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","141307","0.0-5.0-2.1","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","1524","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$46<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$65<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$46","$65","0","46","65","SURE"
"html-keyboard-response","9","141560","0.0-5.0-3.1","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$46<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$65<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$46","$65","0","46","65",""
"html-keyboard-response","10","142064","0.0-5.0-1.2","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","143797","0.0-5.0-2.2","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","1730","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14","$29","1","14","29","SURE"
"html-keyboard-response","12","144051","0.0-5.0-3.2","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14","$29","1","14","29",""
"html-keyboard-response","13","144553","0.0-5.0-1.3","55d86f3569dbc30012b6869f","bdp_rd","Wed Mar 29 2023 18:13:47 GMT-0400 (Eastern Daylight Time)","267320","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
