"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","1","0.0-0.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","","","","","","","","","","","","","",""
"instructions","1","1845","0.0-1.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","[{""page_index"":0,""viewing_time"":1843}]","1843","","","","","","","","","","","","",""
"","","","","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","","fullscreenenter","2","3978","fullscreenenter","","","","","","","","",""
"fullscreen","2","4950","0.0-2.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","","","","","","true","","","","","","","",""
"instructions","3","37100","0.0-4.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","[{""page_index"":0,""viewing_time"":14254},{""page_index"":1,""viewing_time"":9703},{""page_index"":2,""viewing_time"":8192}]","32149","","","","","","","","","","","","",""
"html-keyboard-response","4","37601","0.0-5.0-1.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","41216","0.0-5.0-2.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","3613","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$51<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$19","$51","0","19","51","RISKY"
"html-keyboard-response","6","41468","0.0-5.0-3.0","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$19<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$51<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$19","$51","0","19","51",""
"html-keyboard-response","7","41970","0.0-5.0-1.1","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","45434","0.0-5.0-2.1","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","3463","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$86<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$45","$86","1","45","86","RISKY"
"html-keyboard-response","9","45686","0.0-5.0-3.1","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$86<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$45<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$45","$86","1","45","86",""
"html-keyboard-response","10","46188","0.0-5.0-1.2","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","49647","0.0-5.0-2.2","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","3458","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$27<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$27","0","12","27","RISKY"
"html-keyboard-response","12","49899","0.0-5.0-3.2","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$27<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$27","0","12","27",""
"html-keyboard-response","13","50400","0.0-5.0-1.3","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","53236","0.0-5.0-2.3","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","2835","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$95<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$40","$95","0","40","95","RISKY"
"html-keyboard-response","15","53488","0.0-5.0-3.3","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$95<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$40","$95","0","40","95",""
"html-keyboard-response","16","53990","0.0-5.0-1.4","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","17","57778","0.0-5.0-2.4","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","3787","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$100<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$63","$100","1","63","10","RISKY"
"html-keyboard-response","18","58029","0.0-5.0-3.4","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$100<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$63<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$63","$100","1","63","10",""
"html-keyboard-response","19","58531","0.0-5.0-1.5","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","20","60220","0.0-5.0-2.5","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","1689","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$54<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$25","$54","1","25","54","RISKY"
"html-keyboard-response","21","60472","0.0-5.0-3.5","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$54<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$25<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$25","$54","1","25","54",""
"html-keyboard-response","22","60974","0.0-5.0-1.6","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","23","63030","0.0-5.0-2.6","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","2055","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$32<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$9","$32","1","9","32","RISKY"
"html-keyboard-response","24","63281","0.0-5.0-3.6","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$32<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$9","$32","1","9","32",""
"html-keyboard-response","25","63782","0.0-5.0-1.7","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","26","65982","0.0-5.0-2.7","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","2198","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$17<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$43<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$17","$43","0","17","43","RISKY"
"html-keyboard-response","27","66234","0.0-5.0-3.7","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$17<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$43<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$17","$43","0","17","43",""
"html-keyboard-response","28","66736","0.0-5.0-1.8","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","29","67933","0.0-5.0-2.8","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","1196","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$92<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$26","$92","0","26","92","RISKY"
"html-keyboard-response","30","68185","0.0-5.0-3.8","59aae1188cef7d00011f8884","bdp_rd","Sat Mar 25 2023 20:51:03 GMT-0400 (Eastern Daylight Time)","178771","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$92<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$26","$92","0","26","92",""
