"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","2","0.0-0.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","","","","","","","","","","","","","",""
"instructions","1","1974","0.0-1.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","[{""page_index"":0,""viewing_time"":1972}]","1972","","","","","","","","","","","","",""
"","","","","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","","fullscreenenter","2","4157","fullscreenenter","","","","","","","","",""
"fullscreen","2","5149","0.0-2.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","","","","","","true","","","","","","","",""
"instructions","3","26370","0.0-4.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","[{""page_index"":0,""viewing_time"":14565},{""page_index"":1,""viewing_time"":3583},{""page_index"":2,""viewing_time"":3072}]","21220","","","","","","","","","","","","",""
"html-keyboard-response","4","26872","0.0-5.0-1.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","32942","0.0-5.0-2.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","6068","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$30<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$68<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$30","$68","0","30","68","SURE"
"html-keyboard-response","6","33195","0.0-5.0-3.0","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$30<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$68<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$30","$68","0","30","68",""
"html-keyboard-response","7","33697","0.0-5.0-1.1","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","35603","0.0-5.0-2.1","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","1905","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$17<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$43<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$17","$43","0","17","43","SURE"
"html-keyboard-response","9","35854","0.0-5.0-3.1","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$17<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$43<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$17","$43","0","17","43",""
"html-keyboard-response","10","36356","0.0-5.0-1.2","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","40450","0.0-5.0-2.2","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","4093","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$81<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$39<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$39","$81","1","39","81","SURE"
"html-keyboard-response","12","40702","0.0-5.0-3.2","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$81<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$39<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$39","$81","1","39","81",""
"html-keyboard-response","13","41203","0.0-5.0-1.3","5b1a3fa488ee7400012aef74","bdp_rd","Sun Mar 26 2023 02:20:32 GMT-0400 (Eastern Daylight Time)","239673","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
