"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","","","","","","","","","","","","","",""
"instructions","1","1664","0.0-1.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","[{""page_index"":0,""viewing_time"":1660}]","1660","","","","","","","","","","","","",""
"","","","","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","","fullscreenenter","2","2770","fullscreenenter","","","","","","","","",""
"fullscreen","2","3747","0.0-2.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","","","","","","true","","","","","","","",""
"instructions","3","46423","0.0-4.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","[{""page_index"":0,""viewing_time"":18596},{""page_index"":1,""viewing_time"":10808},{""page_index"":2,""viewing_time"":13271}]","42675","","","","","","","","","","","","",""
"html-keyboard-response","4","46930","0.0-5.0-1.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","48829","0.0-5.0-2.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","1898","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$18","$39","0","18","39","RISKY"
"html-keyboard-response","6","49088","0.0-5.0-3.0","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$39<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$18","$39","0","18","39",""
"html-keyboard-response","7","49590","0.0-5.0-1.1","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","51187","0.0-5.0-2.1","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","1596","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$16","$28","1","16","28","SURE"
"html-keyboard-response","9","51447","0.0-5.0-3.1","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$16","$28","1","16","28",""
"html-keyboard-response","10","51957","0.0-5.0-1.2","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","53330","0.0-5.0-2.2","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","1371","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$32<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$9","$32","1","9","32","RISKY"
"html-keyboard-response","12","53586","0.0-5.0-3.2","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$32<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$9","$32","1","9","32",""
"html-keyboard-response","13","54088","0.0-5.0-1.3","5df5b9f661721940c46c3cd3","bdp_rd","Sun Mar 26 2023 02:23:13 GMT-0400 (Eastern Daylight Time)","161743","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
