"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","","","","","","","","","","","","","",""
"instructions","1","1885","0.0-1.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","[{""page_index"":0,""viewing_time"":1881}]","1881","","","","","","","","","","","","",""
"","","","","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","","fullscreenenter","2","12576","fullscreenenter","","","","","","","","",""
"fullscreen","2","13564","0.0-2.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","","","","","","true","","","","","","","",""
"instructions","3","45697","0.0-4.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","[{""page_index"":0,""viewing_time"":28375},{""page_index"":1,""viewing_time"":1638},{""page_index"":2,""viewing_time"":2117}]","32131","","","","","","","","","","","","",""
"html-keyboard-response","4","46206","0.0-5.0-1.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","55006","0.0-5.0-2.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","8798","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$18<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$9","$18","0","9","18","RISKY"
"html-keyboard-response","6","55266","0.0-5.0-3.0","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$18<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$9","$18","0","9","18",""
"html-keyboard-response","7","55773","0.0-5.0-1.1","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","57364","0.0-5.0-2.1","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","1590","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14","$22","1","14","22","SURE"
"html-keyboard-response","9","57619","0.0-5.0-3.1","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$22<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14","$22","1","14","22",""
"html-keyboard-response","10","58125","0.0-5.0-1.2","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","59481","0.0-5.0-2.2","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","1355","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$64<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$2","$64","1","2","64","RISKY"
"html-keyboard-response","12","59741","0.0-5.0-3.2","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$64<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$2<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$2","$64","1","2","64",""
"html-keyboard-response","13","60253","0.0-5.0-1.3","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","61810","0.0-5.0-2.3","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","1555","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$62<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$11","$62","1","11","62","RISKY"
"html-keyboard-response","15","62066","0.0-5.0-3.3","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$62<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$11","$62","1","11","62",""
"html-keyboard-response","16","62572","0.0-5.0-1.4","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","17","63929","0.0-5.0-2.4","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","1355","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$28<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$28","$89","1","28","89","SURE"
"html-keyboard-response","18","64189","0.0-5.0-3.4","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$89<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$28<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$28","$89","1","28","89",""
"html-keyboard-response","19","64701","0.0-5.0-1.5","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","20","66543","0.0-5.0-2.5","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","1841","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$3","$12","1","3","12","RISKY"
"html-keyboard-response","21","66803","0.0-5.0-3.5","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$12<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$3","$12","1","3","12",""
"html-keyboard-response","22","67309","0.0-5.0-1.6","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","23","69812","0.0-5.0-2.6","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","2501","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$66<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$33","$66","1","33","66","RISKY"
"html-keyboard-response","24","70067","0.0-5.0-3.6","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$66<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$33<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$33","$66","1","33","66",""
"html-keyboard-response","25","70573","0.0-5.0-1.7","5f934f7fdc89a111b5712011","bdp_rd","Sun Mar 26 2023 14:34:36 GMT-0400 (Eastern Daylight Time)","200464","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
