"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","2","0.0-0.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","","","","","","","","","","","","","",""
"instructions","1","1994","0.0-1.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","[{""page_index"":0,""viewing_time"":1992}]","1992","","","","","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","","fullscreenenter","2","3931","fullscreenenter","","","","","","","","",""
"","","","","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","","fullscreenenter","2","3931","fullscreenenter","","","","","","","","",""
"fullscreen","2","4880","0.0-2.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","","","","","","true","","","","","","","",""
"instructions","3","34794","0.0-4.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","[{""page_index"":0,""viewing_time"":18273},{""page_index"":1,""viewing_time"":6596},{""page_index"":2,""viewing_time"":5044}]","29913","","","","","","","","","","","","",""
"html-keyboard-response","4","35296","0.0-5.0-1.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","36927","0.0-5.0-2.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","1629","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$45<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$8","$45","0","8","45","RISKY"
"html-keyboard-response","6","37179","0.0-5.0-3.0","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$8<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$45<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$8","$45","0","8","45",""
"html-keyboard-response","7","37681","0.0-5.0-1.1","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","39219","0.0-5.0-2.1","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","1537","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$16","$28","0","16","28","SURE"
"html-keyboard-response","9","39471","0.0-5.0-3.1","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$16<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$28<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$16","$28","0","16","28",""
"html-keyboard-response","10","39972","0.0-5.0-1.2","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","41803","0.0-5.0-2.2","5f9873550513db147c9d2958","bdp_rd","Sat Mar 25 2023 22:09:42 GMT-0400 (Eastern Daylight Time)","200542","","1830","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$26","1","11","26","SURE"
