"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","","","","","","","","","","","","","",""
"instructions","1","1885","0.0-1.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","[{""page_index"":0,""viewing_time"":1881}]","1881","","","","","","","","","","","","",""
"","","","","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","","fullscreenenter","2","31625","fullscreenenter","","","","","","","","",""
"fullscreen","2","32617","0.0-2.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","","","","","","true","","","","","","","",""
"instructions","3","73656","0.0-4.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","[{""page_index"":0,""viewing_time"":29214},{""page_index"":1,""viewing_time"":4597},{""page_index"":2,""viewing_time"":7227}]","41038","","","","","","","","","","","","",""
"html-keyboard-response","4","74158","0.0-5.0-1.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","76285","0.0-5.0-2.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","2124","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$29<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$29","$46","0","29","46","SURE"
"html-keyboard-response","6","76537","0.0-5.0-3.0","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$29<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$46<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$29","$46","0","29","46",""
"html-keyboard-response","7","77039","0.0-5.0-1.1","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","78686","0.0-5.0-2.1","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","1646","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$47<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$27","$47","0","27","47","RISKY"
"html-keyboard-response","9","78939","0.0-5.0-3.1","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$27<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$47<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$27","$47","0","27","47",""
"html-keyboard-response","10","79442","0.0-5.0-1.2","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","81286","0.0-5.0-2.2","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","1842","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$35<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$35","0","12","35","RISKY"
"html-keyboard-response","12","81538","0.0-5.0-3.2","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$35<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$35","0","12","35",""
"html-keyboard-response","13","82040","0.0-5.0-1.3","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","14","84888","0.0-5.0-2.3","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","2846","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$14","$29","0","14","29","SURE"
"html-keyboard-response","15","85141","0.0-5.0-3.3","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$14<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$14","$29","0","14","29",""
"html-keyboard-response","16","85642","0.0-5.0-1.4","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","17","88238","0.0-5.0-2.4","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","2595","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$9","$18","1","9","18","RISKY"
"html-keyboard-response","18","88491","0.0-5.0-3.4","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$18<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$9<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$9","$18","1","9","18",""
"html-keyboard-response","19","88992","0.0-5.0-1.5","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","20","94213","0.0-5.0-2.5","5fa935b3d330fa0429da624a","bdp_rd","Wed Mar 29 2023 11:51:20 GMT-0400 (Eastern Daylight Time)","245102","","5219","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$16<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$5<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$5","$16","1","5","16","RISKY"
