"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","3","0.0-0.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","","","","","","","","","","","","","",""
"instructions","1","1598","0.0-1.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","[{""page_index"":0,""viewing_time"":1594}]","1594","","","","","","","","","","","","",""
"","","","","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","","fullscreenenter","2","2695","fullscreenenter","","","","","","","","",""
"fullscreen","2","3682","0.0-2.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","","","","","","true","","","","","","","",""
"instructions","3","28031","0.0-4.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","[{""page_index"":0,""viewing_time"":15936},{""page_index"":1,""viewing_time"":5740},{""page_index"":2,""viewing_time"":2672}]","24348","","","","","","","","","","","","",""
"html-keyboard-response","4","28533","0.0-5.0-1.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","33132","0.0-5.0-2.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","4598","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$81<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$39<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$39","$81","1","39","81","RISKY"
"html-keyboard-response","6","33385","0.0-5.0-3.0","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$81<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$39<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$39","$81","1","39","81",""
"html-keyboard-response","7","33886","0.0-5.0-1.1","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","35343","0.0-5.0-2.1","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","1457","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$18<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$18","$39","0","18","39","SURE"
"html-keyboard-response","9","35595","0.0-5.0-3.1","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$18<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$39<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$18","$39","0","18","39",""
"html-keyboard-response","10","36096","0.0-5.0-1.2","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","37683","0.0-5.0-2.2","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","1586","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$11<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$11","$26","1","11","26","SURE"
"html-keyboard-response","12","37935","0.0-5.0-3.2","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$26<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$11<br>for<br>sure</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$11","$26","1","11","26",""
"html-keyboard-response","13","38436","0.0-5.0-1.3","5fa9fffcf843322ce7456283","bdp_rd","Sun Mar 26 2023 13:24:12 GMT-0400 (Eastern Daylight Time)","227268","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
