"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"pavlovia","0","12","0.0-0.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","","","","","","","","","","","","","",""
"instructions","1","2325","0.0-1.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","[{""page_index"":0,""viewing_time"":2310}]","2311","","","","","","","","","","","","",""
"","","","","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","","fullscreenenter","2","7076","fullscreenenter","","","","","","","","",""
"fullscreen","2","8068","0.0-2.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","","","","","","true","","","","","","","",""
"instructions","3","28686","0.0-4.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","[{""page_index"":0,""viewing_time"":9512},{""page_index"":1,""viewing_time"":3969},{""page_index"":2,""viewing_time"":7123}]","20605","","","","","","","","","","","","",""
"html-keyboard-response","4","29194","0.0-5.0-1.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","5","32301","0.0-5.0-2.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","3099","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$24<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$13","$24","1","13","24","RISKY"
"html-keyboard-response","6","32560","0.0-5.0-3.0","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$24<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$13<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$13","$24","1","13","24",""
"html-keyboard-response","7","33065","0.0-5.0-1.1","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","8","35677","0.0-5.0-2.1","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","2606","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$40<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$10","$40","1","10","40","RISKY"
"html-keyboard-response","9","35933","0.0-5.0-3.1","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$40<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$10<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$10","$40","1","10","40",""
"html-keyboard-response","10","36437","0.0-5.0-1.2","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"html-keyboard-response","11","39113","0.0-5.0-2.2","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","2672","","","","offer","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$21<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$21","$25","0","21","25","SURE"
"html-keyboard-response","12","39367","0.0-5.0-3.2","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","offerFB","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$21<br>for<br>sure</font></div></div><div class='cr'><div class='vertical-center'>$25<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$21","$25","0","21","25",""
"html-keyboard-response","13","39875","0.0-5.0-1.3","62dc4a5fef307ee53c61afcc","bdp_rd","Tue Mar 28 2023 21:08:43 GMT-0800 (Alaska Daylight Time)","171068","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
