"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","sureOffer","riskyOffer","riskyLeft","sureAmt","riskyAmt","chosen"
"focus","0","0","focusevent","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","pavlovia","0","8","0.0-0.0","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","instructions","1","5744","0.0-1.0","[{""page_index"":0,""viewing_time"":5732}]","5733","","","","","","","","",""
"fullscreenexit","2","9314","fullscreenexit","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","","","","","","","","","","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","fullscreen","2","10305","0.0-2.0","","","true","","","","","","","",""
"","","","fullscreenfail","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","image-keyboard-response","3","11115","0.0-3.0-0.0","","807","","","32","","","","","",""
"","","","","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","instructions","4","59394","0.0-4.0","[{""page_index"":0,""viewing_time"":37209},{""page_index"":1,""viewing_time"":5179},{""page_index"":2,""viewing_time"":5612}]","48000","","","","","","","","",""
"","","","FIX","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","5","59902","0.0-5.0-1.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","6","64364","0.0-5.0-2.0","","4458","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$29<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$14","$29","0","14","29","RISKY"
"","","","offerFB","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","7","64635","0.0-5.0-3.0","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$14<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$29<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$14","$29","0","14","29",""
"","","","FIX","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","8","65152","0.0-5.0-1.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","9","67873","0.0-5.0-2.1","","2718","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$3","$12","1","3","12","RISKY"
"","","","offerFB","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","10","68127","0.0-5.0-3.1","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$12<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$3","$12","1","3","12",""
"","","","FIX","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","11","68644","0.0-5.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","12","70791","0.0-5.0-2.2","","2145","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$17<br>with a<br>50% chance</div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","E","$3","$17","1","3","17","RISKY"
"","","","offerFB","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","13","71052","0.0-5.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'><font style='color:orange'>$17<br>with a<br>50% chance</font></div></div><div class='cr'><div class='vertical-center'>$3<br>for<br>sure</div></div><div class='respDivL'><div class='vertical-center'><font style='color:orange'>(E)</font></div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","null","$3","$17","1","3","17",""
"","","","FIX","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","14","71554","0.0-5.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
"","","","offer","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","15","73066","0.0-5.0-2.3","","1510","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'>$27<br>with a<br>50% chance</div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'>(I)</div></div></div>","I","$12","$27","0","12","27","RISKY"
"","","","offerFB","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","16","73329","0.0-5.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div><div class='cl'><div class='vertical-center'>$12<br>for<br>sure</div></div><div class='cr'><div class='vertical-center'><font style='color:orange'>$27<br>with a<br>50% chance</font></div></div><div class='respDivL'><div class='vertical-center'>(E)</div></div><div class='respDivR'><div class='vertical-center'><font style='color:orange'>(I)</font></div></div></div>","null","$12","$27","0","12","27",""
"","","","FIX","631b428359f449b8159625f8","bdp_rd","Mon Mar 27 2023 10:37:48 GMT-0400 (Eastern Daylight Time)","262134","html-keyboard-response","17","73831","0.0-5.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src=img/fixation3.jpg></div></div>","null","","","","","",""
